2452946.799607,43.65077,0.00427,7.30551,0.01501,0.144351,0.008933
2452989.650439,43.65645,0.00251,7.30688,0.02852,0.137017,0.003258
2452998.599374,43.64705,0.00526,7.29255,0.01591,0.164585,0.011050
2453781.611693,43.63297,0.00224,7.31075,0.02349,0.142071,0.003154
2453788.535974,43.62297,0.00239,7.31318,0.02295,0.153646,0.003556
2453789.535539,43.62565,0.00273,7.33536,0.02051,0.144785,0.004433
2453980.871134,43.62521,0.00228,7.31374,0.02606,0.154264,0.003159
2454047.732722,43.63015,0.00227,7.31665,0.02505,0.158690,0.003042
2454314.899284,43.63758,0.00319,7.31343,0.02765,0.159547,0.004877
2454390.754105,43.64134,0.00349,7.31658,0.03949,0.172909,0.006055
2454430.690567,43.63541,0.00352,7.30757,0.01833,0.141330,0.005674
2454437.704225,43.64828,0.00282,7.29662,0.03543,0.146197,0.004145
2454478.672241,43.64567,0.00276,7.31409,0.03312,0.160671,0.004520
2454487.565471,43.64572,0.00251,7.31173,0.02528,0.151687,0.003757
2454649.943379,43.65596,0.00148,7.31781,0.02390,0.152487,0.001487
2454732.775602,43.63895,0.00718,7.37621,0.02331,0.171557,0.014268
2454813.776427,43.65544,0.00390,7.29445,0.02207,0.145016,0.006732
2454850.554917,43.65413,0.00193,7.32487,0.02205,0.157746,0.002203
2455091.893427,43.64887,0.00372,7.30757,0.01903,0.141004,0.006027
2455105.778709,43.64911,0.00523,7.31097,0.03091,0.134824,0.009753
2455107.805014,43.64618,0.00213,7.31326,0.02724,0.159760,0.002542
2455217.664108,43.64875,0.00254,7.31519,0.02513,0.167034,0.003468
2455218.632378,43.64437,0.00287,7.32418,0.02401,0.167304,0.004560
2455261.532199,43.64173,0.00387,7.32428,0.01488,0.178030,0.006743
