8488.663795,8295.55,1.26,8043.43,2.53,55.76,0.02,-40.29,2.53,0.164,0.001,-4.980,0.008
8488.727220,8296.71,1.22,8059.53,2.44,55.75,0.02,-42.53,2.44,0.173,0.001,-4.932,0.008
8489.624408,8301.44,1.24,8054.09,2.48,55.74,0.02,-46.64,2.48,0.166,0.001,-4.971,0.008
8489.683100,8302.71,1.31,8055.43,2.62,55.72,0.02,-40.60,2.62,0.169,0.001,-4.956,0.008
8489.756805,8301.51,2.19,8049.06,4.38,55.67,0.03,-46.85,4.38,0.173,0.003,-4.934,0.020
8491.553230,8296.10,1.18,8046.52,2.37,55.72,0.02,-35.94,2.37,0.166,0.001,-4.972,0.007
8491.661222,8296.82,1.14,8053.20,2.27,55.72,0.02,-39.10,2.27,0.169,0.001,-4.956,0.006
8492.554191,8304.55,1.73,8061.12,3.46,55.64,0.02,-38.70,3.46,0.177,0.002,-4.917,0.013
8492.708667,8299.16,1.43,8043.65,2.86,55.73,0.02,-45.13,2.86,0.171,0.002,-4.946,0.010
8495.749575,8306.06,1.35,8055.70,2.70,55.77,0.02,-36.47,2.70,0.170,0.002,-4.949,0.009
8495.784720,8304.94,1.57,8055.60,3.14,55.78,0.02,-37.46,3.14,0.171,0.002,-4.945,0.012
8502.602565,8307.98,1.37,8055.72,2.74,55.74,0.02,-37.79,2.74,0.166,0.002,-4.970,0.009
8503.610435,8299.67,0.91,8051.75,1.82,55.73,0.01,-36.13,1.82,0.168,0.001,-4.962,0.004
8503.694649,8298.56,1.14,8050.10,2.28,55.77,0.02,-35.95,2.28,0.170,0.001,-4.949,0.007
8504.586748,8296.45,1.30,8054.65,2.59,55.77,0.02,-34.23,2.59,0.166,0.001,-4.972,0.008
8504.683209,8299.07,1.49,8055.18,2.98,55.78,0.02,-40.97,2.98,0.172,0.002,-4.937,0.011
8516.673049,8302.18,1.34,8064.10,2.68,55.68,0.02,-39.96,2.68,0.173,0.001,-4.933,0.008
8517.515517,8299.22,1.43,8057.43,2.87,55.70,0.02,-33.53,2.87,0.172,0.002,-4.937,0.009
8518.621975,8303.13,2.45,8067.72,4.89,55.70,0.03,-37.80,4.89,0.170,0.004,-4.951,0.025
8519.714128,8299.57,3.18,8039.82,6.36,55.73,0.04,-39.70,6.36,0.173,0.007,-4.935,0.039
8520.636303,8303.71,1.48,8045.04,2.95,55.82,0.02,-38.98,2.95,0.169,0.002,-4.957,0.011
8521.621304,8303.26,0.98,8047.95,1.97,55.76,0.01,-39.10,1.97,0.168,0.001,-4.961,0.005
8522.565664,8302.89,1.30,8055.17,2.61,55.79,0.02,-37.99,2.61,0.165,0.001,-4.975,0.008
8523.507029,8314.48,1.14,8052.57,2.28,55.74,0.02,-38.86,2.28,0.168,0.001,-4.963,0.007
8523.695779,8313.08,1.71,8057.05,3.41,55.77,0.02,-38.12,3.41,0.172,0.002,-4.941,0.014
8524.606692,8306.39,1.18,8058.87,2.36,55.72,0.02,-41.80,2.36,0.170,0.001,-4.951,0.007
8525.498330,8309.77,2.27,8072.84,4.54,55.68,0.03,-35.56,4.54,0.169,0.004,-4.956,0.021
8526.495257,8312.30,1.15,8055.80,2.30,55.74,0.02,-36.56,2.30,0.171,0.001,-4.946,0.006
8526.662132,8307.64,1.45,8057.51,2.90,55.70,0.02,-41.13,2.90,0.166,0.002,-4.972,0.010
8527.464271,8305.00,1.34,8060.34,2.68,55.70,0.02,-41.65,2.68,0.167,0.001,-4.965,0.009
8527.549821,8304.41,1.30,8065.46,2.60,55.70,0.02,-35.01,2.60,0.167,0.001,-4.967,0.008
8528.478264,8306.55,1.48,8058.36,2.95,55.72,0.02,-31.84,2.95,0.170,0.002,-4.949,0.010
8528.557070,8308.16,1.49,8064.28,2.97,55.72,0.02,-33.03,2.97,0.165,0.002,-4.976,0.010
8531.559565,8308.92,1.41,8051.71,2.82,55.75,0.02,-38.43,2.82,0.171,0.002,-4.942,0.009
8531.640622,8308.14,1.56,8043.38,3.12,55.75,0.02,-37.72,3.12,0.165,0.002,-4.975,0.011
8536.471969,8312.91,2.26,8041.61,4.53,55.67,0.03,-34.75,4.53,0.170,0.004,-4.948,0.021
8536.657516,8306.88,1.85,8054.28,3.70,55.71,0.03,-38.27,3.70,0.165,0.003,-4.976,0.016
8537.518709,8301.60,1.52,8052.07,3.04,55.74,0.02,-36.20,3.04,0.169,0.002,-4.954,0.011
8537.636413,8304.69,3.03,8060.77,6.06,55.62,0.04,-43.52,6.06,0.158,0.006,-5.020,0.038
8538.536005,8304.27,1.91,8039.57,3.81,55.78,0.03,-39.01,3.81,0.160,0.003,-5.004,0.017
8538.649573,8306.74,2.28,8054.49,4.55,55.68,0.03,-40.16,4.55,0.164,0.004,-4.985,0.023
