2459270.70771,-19.8722,0.0025,22.4143,627,55,7.521,0.023,-0.016,0.007,0.165,0.041,0.2505,0.0018
2459278.65511,-19.8427,0.0030,22.7614,1477,47,7.484,0.022,-0.031,0.011,0.149,0.040,0.2491,0.0031
2459328.63428,-19.8602,0.0024,15.0975,861,59,7.501,0.024,-0.017,0.012,0.211,0.042,0.2514,0.0019
2459336.53217,-19.8474,0.0035,12.9076,1800,38,7.509,0.024,0.015,0.011,0.198,0.044,0.2498,0.0034
2459340.58941,-19.8611,0.0025,11.4775,902,55,7.518,0.023,-0.034,0.014,0.237,0.044,0.2501,0.0015
2459348.48389,-19.8607,0.0028,8.9598,1800,48,7.505,0.023,-0.025,0.004,0.262,0.047,0.2421,0.0018
2459360.43069,-19.8593,0.0025,4.6977,1265,56,7.504,0.023,-0.027,0.005,0.185,0.040,0.2338,0.0018
2459362.50511,-19.8664,0.0025,3.7888,593,55,7.539,0.024,-0.027,0.006,0.206,0.041,0.2459,0.0018
2459391.50390,-19.8607,0.0025,-7.0632,905,56,7.506,0.024,-0.031,0.008,0.179,0.040,0.2487,0.0017
2459392.47824,-19.8545,0.0025,-7.3612,1187,55,7.531,0.025,-0.013,0.006,0.184,0.040,0.2520,0.0014
2459395.49367,-19.8672,0.0025,-8.4551,1738,55,7.519,0.023,-0.024,0.014,0.181,0.039,0.2445,0.0019
2459396.51007,-19.8612,0.0025,-8.8397,1200,56,7.511,0.023,-0.018,0.004,0.228,0.044,0.2457,0.0020
2459403.50659,-19.8557,0.0025,-11.2073,892,56,7.518,0.023,-0.009,0.008,0.184,0.043,0.2481,0.0018
2459406.41548,-19.8538,0.0025,-11.9824,1007,57,7.514,0.024,-0.023,0.014,0.182,0.042,0.2488,0.0015
2459417.37289,-19.8645,0.0025,-15.1647,718,57,7.533,0.022,-0.008,0.008,0.143,0.038,0.2514,0.0016
2459420.46780,-19.8599,0.0023,-16.1737,1170,58,7.533,0.024,-0.031,0.007,0.187,0.041,0.2497,0.0016
2459421.40228,-19.8594,0.0025,-16.2998,766,57,7.516,0.023,-0.024,0.009,0.192,0.041,0.2582,0.0019
2459423.40030,-19.8619,0.0025,-16.8058,1800,55,7.523,0.024,-0.011,0.010,0.122,0.037,0.2510,0.0025
2459439.42347,-19.8689,0.0024,-20.2294,871,58,7.525,0.023,-0.031,0.017,0.220,0.043,0.2445,0.0016
2459441.39841,-19.8609,0.0024,-20.5047,717,56,7.518,0.023,-0.039,0.009,0.188,0.040,0.2419,0.0027
