2458832.865,-26.319,2.321,0.1455,0.001,HIRES,
2458852.737,-9.605,1.478,0.1482,0.001,HIRES,
2458869.761,-21.530,1.724,0.1432,0.001,HIRES,
2458878.735,-12.072,1.771,0.1509,0.001,HIRES,
2459012.113,-16.509,2.012,0.149,0.001,HIRES,
2459032.055,-9.699,1.942,0.1508,0.001,HIRES,
2459089.037,-12.457,1.558,0.1444,0.001,HIRES,
2459091.087,-22.231,1.532,0.1466,0.001,HIRES,
2459093.034,-22.969,2.074,0.1473,0.001,HIRES,
2459097.983,-7.821,1.977,0.1394,0.001,HIRES,
2459100.058,-14.746,2.110,0.1299,0.001,HIRES,
2459101.01,-19.254,1.736,0.1424,0.001,HIRES,
2459102.067,-6.515,1.657,0.146,0.001,HIRES,
2459116.057,1.486,1.941,0.1508,0.001,HIRES,
2459119.065,-7.931,2.480,0.1356,0.001,HIRES,
2459120.991,-17.255,2.322,0.1382,0.001,HIRES,
2459122.961,-4.475,2.205,0.1471,0.001,HIRES,
2459151.839,-2.182,1.686,0.1539,0.001,HIRES,
2459153.912,9.833,1.790,0.1536,0.001,HIRES,
2459161.948,5.541,1.878,0.161,0.001,HIRES,
2459189.879,9.986,2.188,0.1607,0.001,HIRES,
2459208.798,14.878,1.769,0.175,0.001,HIRES,
2459232.729,-0.918,1.749,0.1775,0.001,HIRES,
2459238.736,7.351,1.892,0.162,0.001,HIRES,
2459380.074,-1.498,1.381,0.1743,0.001,HIRES,
2459380.091,-2.807,1.545,0.1725,0.001,HIRES,
2459386.119,11.955,1.495,0.1814,0.001,HIRES,
2459388.103,18.298,1.443,0.1798,0.001,HIRES,
2459389.079,19.295,1.540,0.1805,0.001,HIRES,
2459390.095,26.899,1.534,0.1771,0.001,HIRES,
2459396.081,11.629,1.486,0.1662,0.001,HIRES,
2459398.021,9.324,1.582,0.172,0.001,HIRES,
2459400.042,13.260,1.489,0.1771,0.001,HIRES,
2459405.109,-4.148,1.409,0.1726,0.001,HIRES,
2459406.093,-0.602,1.473,0.1755,0.001,HIRES,
2459412.079,2.275,1.695,0.1611,0.001,HIRES,
2459413.096,7.276,1.497,0.1698,0.001,HIRES,
2459414.067,5.777,1.434,0.1716,0.001,HIRES,
2459415.102,14.213,1.565,0.1721,0.001,HIRES,
2459415.932,20.609,1.638,0.174,0.001,HIRES,
2459418.066,17.384,1.472,0.1792,0.001,HIRES,
2459422.951,2.960,1.443,0.1734,0.001,HIRES,
2459435.928,-2.619,1.489,0.1771,0.001,HIRES,
2459441.117,7.007,1.600,0.1743,0.001,HIRES,
2459442.111,9.806,1.619,0.1748,0.001,HIRES,
2459443.908,11.692,1.517,0.1706,0.001,HIRES,
2459445.103,9.736,1.500,0.17,0.001,HIRES,
2459446.965,15.817,1.743,0.1699,0.001,HIRES,
2459449.102,-3.049,1.622,0.1686,0.001,HIRES,
2459450.042,-6.684,1.827,0.1701,0.001,HIRES,
2459452.067,-3.678,1.767,0.173,0.001,HIRES,
2459452.912,2.873,1.640,0.173,0.001,HIRES,
2459457.08,-7.924,1.710,0.1711,0.001,HIRES,
2459469.913,6.469,1.614,0.165,0.001,HIRES,
2459470.913,11.839,1.681,0.165,0.001,HIRES,
2459472.921,17.845,1.624,0.1713,0.001,HIRES,
2459474.923,2.567,1.668,0.1732,0.001,HIRES,
2459476.91,-6.622,1.709,0.172,0.001,HIRES,
2459506.848,-13.790,1.725,0.1692,0.001,HIRES,
2459537.853,-12.767,1.898,0.1812,0.001,HIRES,
2459546.89,-2.400,1.901,0.1737,0.001,HIRES,
2459741.105,-14.955,1.488,0.1709,0.001,HIRES,
2459742.091,-19.769,1.479,0.1719,0.001,HIRES,
