13190.8330,4.64847190000,2.9838200
13197.8340,13.24519700000,2.6978500
13198.8560,12.33708600000,2.6201300
13199.8380,-3.80614850000,2.7794700
13604.7550,-108.51614000000,1.4332300,0.1790
13754.1280,-2.49696960000,1.1586100,0.1720
13776.1540,-25.83892100000,1.6794700,0.1740
13777.1190,-24.83298200000,1.5904700,0.1740
13838.0150,-131.78196000000,1.5561600,0.1790
13841.9490,-135.52668000000,1.6913300,0.1760
13927.7900,-144.46505000000,1.4304800,0.1810
13961.7510,-127.85915000000,1.5194200,0.1830
13962.7410,-135.45800000000,1.3571600,0.1820
13981.7290,-131.19851000000,1.4122900,0.1820
13983.7400,-131.46418000000,1.4988900,0.1820
13984.7280,-125.47539000000,1.5421200,0.1820
14130.1340,-67.29106000000,1.5837000,0.1860
14139.1240,-52.84319000000,1.5023600,0.1860
14251.8280,36.48948500000,1.3713800,0.1850
14318.7790,111.71956000000,1.0485200,0.1830
14545.0800,6.03564220000,1.4246600,0.1850
14549.0170,3.09887330000,1.5334700,0.1820
14633.8490,33.17652600000,1.3296000,0.1800
14634.8460,40.77596800000,1.3918400,0.1810
14639.8620,44.41051100000,1.3735200,0.1790
14674.7860,48.12561100000,1.1982200,0.1760
14839.1230,168.07939000000,1.3457600,0.1780
14956.9980,32.89621800000,1.7550000,0.1770
14984.8440,27.56349600000,1.4105900,0.1780
15015.8340,2.89820810000,1.1247500,0.1760
15044.8060,-7.72281380000,1.6971500,0.1700
15231.1300,0.19777982000,1.4275400,0.1770
15343.7800,49.14384800000,1.3639500,0.1820
15344.8210,52.62121800000,1.3236100,0.1830
15350.9080,52.30627800000,1.3801000,0.1840
15351.8140,40.09402500000,1.2897500,0.1810
15372.7810,58.07164500000,1.3658400,0.1810
15373.7650,63.69224300000,1.1784000,0.1810
15374.9100,66.95902400000,1.1821000,0.1780
15375.7510,63.27119400000,1.2551500,0.1780
15376.7610,59.91981700000,1.1815200,0.1790
15377.7940,74.64245500000,1.1401200,0.1810
15379.7550,78.13457400000,1.1931800,0.1830
15380.7800,70.24829500000,1.2691000,0.1830
15395.8820,92.73342600000,1.1829900,0.1800
15396.8370,83.60736600000,1.4397900,0.1810
15400.8160,83.66423800000,1.1791600,0.1800
15402.7960,90.49438200000,1.3293100,0.1820
15403.7770,102.49174000000,1.1592300,0.1840
15404.8210,102.77304000000,1.1655400,0.1830
15405.7980,85.78152500000,1.1643600,0.1840
15406.7980,91.79637100000,1.2047200,0.1840
15407.7840,95.60201400000,1.2578000,0.1830
15410.7670,88.29092200000,1.1816500,0.1800
15435.7240,90.54703900000,1.2044300,0.1800
15585.1590,-97.83597500000,1.3313700,0.1820
15607.1250,-91.37951800000,1.2511000,0.1790
15636.0620,-87.72127700000,1.2694100,0.1810
15663.9030,-99.00841700000,1.4776200,0.1860
15668.9880,-100.42465000000,1.3201300,0.1800
15700.7940,-107.45522000000,1.5305600,0.1810
15733.8130,-100.63993000000,1.2716700,0.1820
15762.7800,-89.48976600000,1.1980400,0.1850
15794.7440,-85.65029400000,1.3411700,0.1750
15961.0880,4.06783940000,1.3478700,0.1770
16000.0400,-16.57317900000,1.4329800,0.1750
16073.8500,-148.57182000000,1.5307100,0.1760
16451.8250,-80.26855000000,1.4633000,0.1840
16826.8310,-127.14203000000,1.3042700,0.1830
17062.1440,54.19839000000,1.3873400,0.1810
17209.8180,-35.47267200000,1.2955500,0.1810
17618.7520,173.14402000000,1.1280900,0.1940
