11536.0640,-43.83,4.75,
12705.8382,-25.21,2.74,
13744.9815,-40.34,4.30,24
13753.0361,-53.52,2.95,
14135.8630,24.39,2.32,
14598.7489,-40.52,3.10,24
13755.8982,-41.94,5.04,
14165.8471,30.47,3.34,
14622.7505,-41.29,2.42,24
13773.8466,-51.29,4.91,
14196.8162,35.39,3.14,
14623.7115,-34.55,2.52,24
13866.7278,-21.49,4.38,
14219.7662,24.68,3.08,
14784.0515,-31.13,5.10,24
13867.7226,-27.25,4.67,
14220.7881,33.23,3.26,
14785.0826,-34.05,4.85,24
13868.7523,-25.55,4.56,
14253.6937,27.72,2.73,
14845.0201,-30.72,1.74,24
13869.7295,-13.48,4.15,
14254.7002,24.49,2.65,
14847.9355,-26.93,3.42,24
14074.0693,34.48,3.23,
14427.0782,-6.25,4.40,
14848.9727,-30.86,2.74,24
14099.0854,40.26,3.15,
14450.0617,-10.65,3.41,
14849.9710,-27.88,3.09,24
14100.0667,32.10,3.21,
14462.0257,-16.81,2.42,
14850.9698,-31.85,3.06,24
14102.0466,36.94,3.38,
14547.9127,-27.51,3.24,
14863.9813,-27.92,4.26,24
14104.0288,36.91,4.44,
14574.8034,-52.51,1.79,
14864.9193,-29.72,5.10,24
14133.9656,32.61,4.66,
14578.8416,-41.13,2.11,
14865.9624,-19.55,5.54,24
14134.9264,25.80,2.71,24,
