2456379.428786,34880.0,5.2,a
2456380.432890,35438.1,8.6,a
2456381.399091,34807.5,6.4,a
2456382.480919,35427.8,3.5,a
2456396.371874,34840.5,5.2,a
2456396.463382,34799.5,5.9,a
2456397.416485,35356.4,4.7,a
2456397.479118,35382.3,7.3,a
2456406.460696,35353.6,8.4,a
2456407.445147,34864.5,6.9,a
2456408.424785,35489.5,5.7,a
2456418.418685,35113.5,12.1,a
2456420.408537,34874.5,7.8,a
2456424.413196,34865.2,5.9,a
2456434.369567,35403.5,4.0,a
2456435.388329,34886.4,6.3,a
2456436.380971,35356.8,4.9,a
2456437.388555,34839.9,4.0,a
2456653.545175,35084.3,4.3,a
2456653.751077,34903.4,4.7,a
2456656.515283,34831.4,11.2,a
2456657.524904,35248.1,17.0,a
2456658.521063,34758.5,6.4,a
2456658.721361,34881.9,5.9,a
2456693.431319,35246.2,5.5,a
2456693.646189,35373.5,6.2,a
2456694.421710,34892.4,6.7,a
2456694.641047,34730.9,5.7,a
2456695.462423,35066.7,9.0,a
2456695.636703,35189.9,12.0,a
2456696.414872,35032.6,11.1,a
2456696.580586,34857.3,8.1,a
2456697.398614,34879.7,4.0,a
2456697.588206,35045.9,3.4,a
2456720.401727,34715.2,5.8,a
2456720.541476,34667.6,5.8,a
2456723.383218,35043.9,6.7,a
2456723.530721,35170.4,7.2,a
2456762.448538,35185.4,5.8,a
2456763.386306,34636.0,5.7,a
2456769.377066,34935.2,5.5,a
2456798.369631,34827.0,4.1,a
2456800.371173,34778.4,5.3,a
2456801.371002,35066.3,4.1,a
2456802.371503,34628.5,5.4,a
2456986.621626,34591.2,5.9,a
2456986.727400,34584.0,5.8,a
2456987.622979,35135.7,4.3,a
2456987.753014,35165.5,5.0,a
2456993.755484,34992.0,6.3,a
2457068.473957,34621.3,8.1,a
2457068.571986,34686.8,10.7,a
2457068.648940,34726.2,20.8,a
2457070.442402,34600.7,10.8,a
2457070.649895,34685.7,8.8,a
2457074.457291,34601.4,9.5,a
2457095.368430,35146.3,6.0,a
2457095.533869,35011.1,5.6,a
2457097.364411,35160.5,5.4,a
2457097.555057,35036.5,5.8,a
2457099.375387,35199.2,5.9,a
2457099.546347,35173.3,8.2,a
2457108.348799,35034.2,7.1,a
2457115.371735,34573.0,4.3,a
2457116.391886,35166.3,4.1,a
2457117.372192,34692.2,4.1,a
2457118.398348,35120.0,5.9,a
2457119.373699,34795.4,6.7,a
2457121.428544,34826.3,5.2,a
2457122.365378,34793.4,4.3,a
2455986.772469,-18.3,26.7,b
2455987.720173,472.6,22.0,b
2455988.721647,-133.4,30.1,b
2455996.712495,296.7,27.5,b
2455997.756835,64.5,22.1,b
2455998.662804,466.3,20.9,b
2456021.718405,398.7,17.2,b
2456022.663111,154.0,18.0,b
2456023.652315,262.9,19.3,b
2456024.663761,253.1,20.6,b
2456025.714329,164.2,19.7,b
2456026.737242,334.8,30.6,b
2456028.698447,483.6,18.8,b
2456029.716110,-5.4,21.8,b
2456030.741939,546.5,25.1,b
2456031.720485,-83.9,36.3,b
2456032.715065,553.1,24.4,b
2456033.654720,-51.6,17.9,b
2456352.913742,431.4,27.0,b
2456353.748089,-10.2,15.6,b
2456354.863757,526.1,21.2,b
2456384.764878,564.1,13.5,b
2456390.672685,229.4,14.2,b
2456405.722447,235.2,22.2,b
2456432.684154,64.5,44.7,b
2456436.683641,267.9,18.5,b
2456669.903132,390.8,25.1,b
2456696.777469,-169.5,24.3,b
2456697.681630,215.5,17.2,b
2456724.824131,-225.9,19.8,b
2456741.783235,-159.1,24.5,b
2456760.716667,126.7,21.4,b
2456768.694529,286.1,21.8,b
2456793.686929,-333.1,20.6,b
2456993.925435,214.3,23.4,b
2456996.922953,-69.6,30.5,b
2457014.928744,-186.0,22.9,b
2457020.998340,-360.4,22.7,b
2457024.965127,-140.1,20.6,b
2457046.848944,-263.1,22.0,b
2457050.882005,-315.2,18.8,b
2457062.887083,309.8,23.1,b
2457064.873648,323.9,21.4,b
2457078.833520,-264.4,34.0,b
2457080.748151,-83.1,20.7,b
2457081.845289,141.5,28.3,b
2457089.741439,-320.9,21.6,b
2457114.711006,164.8,22.5,b
2457118.739880,285.3,19.8,b
2457122.743004,218.8,24.0,b
2457141.696471,-62.9,25.0,b
2457145.729187,-262.4,24.3,b
2457148.712442,373.7,33.9,b
2457153.668830,-56.2,35.7,b
