2458638.90562,24211.8,10.5,1.0,12.0,0.1104,0.0106,FEROS
2458643.92198,24161.3,9.4,32.0,11.0,0.1418,0.0083,FEROS
2458657.87399,24189.2,8.6,-10.0,10.0,0.1126,0.0066,FEROS
2458669.78376,24237.9,10.3,18.0,11.0,0.1082,0.0100,FEROS
2458672.86255,24195.5,13.6,7.0,14.0,0.1224,0.0154,FEROS
2458674.83206,24222.9,10.9,-1.0,12.0,0.0825,0.0102,FEROS
2458677.80976,24176.6,9.0,3.0,10.0,0.1118,0.0072,FEROS
2458718.74463,24163.7,8.4,17.0,10.0,0.1142,0.0053,FEROS
2458720.86753,24193.1,10.0,23.0,11.0,0.1279,0.0074,FEROS
2458721.73473,24200.2,8.3,23.0,10.0,0.1144,0.0056,FEROS
2458722.65878,24209.8,8.9,1.0,10.0,0.1171,0.0084,FEROS
2458723.72286,24221.4,8.4,25.0,10.0,0.1333,0.0057,FEROS
2458724.75950,24186.2,8.6,26.0,10.0,0.1247,0.0053,FEROS
2458804.54908,24172.1,8.9,20.0,10.0,0.1120,0.0058,FEROS
2458806.64046,24168.8,7.9,11.0,9.0,0.1259,0.0045,FEROS
2458811.55163,24195.1,8.9,28.0,10.0,0.1217,0.0059,FEROS
2458868.54192,24180.9,3.7,26.0,4.0,0.0910,0.0046,HARPS
2458882.52530,24184.8,3.6,14.0,4.0,0.1211,0.0043,HARPS
2458887.53163,24170.3,6.3,27.0,7.0,0.1123,0.0071,HARPS
2458894.53413,24170.3,4.3,35.0,5.0,0.0819,0.0062,HARPS
2459177.57799,24207.5,2.2,28.0,3.0,0.0955,0.0024,HARPS
2459180.59324,24197.7,2.3,31.0,3.0,0.1004,0.0032,HARPS
2459188.65338,24178.9,3.6,16.0,4.0,0.0651,0.0048,HARPS
2459190.61839,24173.8,2.6,29.0,3.0,0.0642,0.0035,HARPS
2459203.62224,24184.2,6.3,42.0,7.0,0.0164,0.0081,HARPS
2459212.57340,24201.4,2.1,25.0,2.0,0.0874,0.0030,HARPS
2459227.53972,24183.7,3.1,28.0,4.0,0.1170,0.0041,HARPS
2459238.52967,24209.0,5.2,45.0,6.0,0.0298,0.0068,HARPS
2459591.61768,24192.6,4.4,31.0,5.0,0.0713,0.0071,HARPS
2458653.89959,24159.9,34.0,76.0,50.0,0.0635,0.0229,CORALIE
2458654.88763,24133.4,27.0,-10.0,39.0,0.1214,0.0173,CORALIE
2458777.58283,24104.7,84.0,-71.0,119.0,-0.0661,0.0688,CORALIE
2458811.58403,24201.0,38.0,28.0,10.0,-0.0292,0.0265,CORALIE
2458816.59435,24201.4,21.0,-73.2,30.0,0.0884,0.0126,CORALIE
2458828.57083,24161.6,32.0,27.0,46.0,0.0877,0.0198,CORALIE
2458844.54217,24208.0,20.0,23.0,28.0,0.0903,0.0121,CORALIE
2458853.57521,24201.5,24.0,27.0,35.0,0.1060,0.0160,CORALIE
2458860.58682,24170.2,26.0,53.0,37.0,0.1450,0.0201,CORALIE
2458871.57541,24156.5,28.0,-16.0,40.0,0.0405,0.0232,CORALIE
2458881.53702,24219.4,20.0,17.0,29.0,0.1258,0.0158,CORALIE
2458891.52810,24161.2,26.0,-33.0,37.3,0.2506,0.0223,CORALIE
2458896.52697,24195.3,50.0,-11.3,71.6,0.1010,0.0454,CORALIE
2458899.52732,24189.7,25.0,9.3,35.7,0.1347,0.0191,CORALIE
2458700.94030,24.2,14.0,84.0,20.0,CHIRON
2458702.87470,0.0,13.7,2.0,14.0,CHIRON
2458704.90410,-42.5,11.9,-57.0,18.0,CHIRON
