1753.5769,29707.60,0.52,35.02,1.03,4670.48,1.03,39.5875,0.0088,0.482761,0.000057,1.76984,0.00112,-4.78301,0.00030,0.125283,0.000037,ESPR19,
1754.7193,29712.75,0.46,37.02,0.92,4668.00,0.92,39.5745,0.0078,0.480980,0.000050,1.75916,0.00090,-4.78587,0.00024,0.124547,0.000032,ESPR19,
1769.6861,29716.74,1.06,33.33,2.13,4707.57,2.13,39.2408,0.0177,0.500313,0.000141,1.86356,0.00359,-4.75866,0.00091,0.128678,0.000097,ESPR19,
1773.5490,29714.85,0.73,36.25,1.47,4711.28,1.47,39.1645,0.0122,0.509285,0.000090,1.94779,0.00199,-4.73789,0.00048,0.130218,0.000060,ESPR19,
1776.5199,29712.59,0.57,39.92,1.14,4702.67,1.14,39.2789,0.0096,0.501934,0.000065,1.89209,0.00132,-4.75151,0.00033,0.128994,0.000043,ESPR19,
1777.6919,29711.22,0.59,41.38,1.17,4692.57,1.17,39.3719,0.0098,0.497104,0.000067,1.87383,0.00138,-4.75607,0.00035,0.129282,0.000045,ESPR19,
1787.5724,29710.15,0.71,33.99,1.43,4665.82,1.43,39.5871,0.0121,0.452101,0.000083,1.69261,0.00199,-4.80415,0.00056,0.121037,0.000057,ESPR19,
1799.5679,29720.36,0.59,34.24,1.19,4701.24,1.19,39.2351,0.0099,0.522633,0.000067,2.00830,0.00150,-4.72355,0.00035,0.130735,0.000044,ESPR19,
1803.6971,29723.61,0.69,36.21,1.38,4706.29,1.38,39.2106,0.0115,0.500291,0.000077,1.89962,0.00203,-4.74964,0.00050,0.129240,0.000053,ESPR19,
1806.5335,29718.00,0.70,37.16,1.41,4700.31,1.41,39.2757,0.0118,0.495717,0.000083,1.82852,0.00195,-4.76760,0.00050,0.126518,0.000056,ESPR19,
1810.6921,29710.00,1.37,35.11,2.74,4671.23,2.74,39.5611,0.0232,0.466239,0.000185,1.67344,0.00594,-4.80956,0.00169,0.122401,0.000132,ESPR19,
1814.5040,29709.67,0.79,33.18,1.59,4649.60,1.59,39.8121,0.0136,0.441038,0.000098,1.59682,0.00227,-4.83189,0.00068,0.118887,0.000067,ESPR19,
1821.5392,29718.65,0.50,28.76,1.00,4668.72,1.00,39.5613,0.0085,0.459229,0.000054,1.65604,0.00105,-4.81453,0.00030,0.122176,0.000036,ESPR19,
1838.5526,29717.64,0.90,38.46,1.81,4694.63,1.81,39.3131,0.0151,0.475470,0.000115,1.79821,0.00288,-4.77549,0.00076,0.123840,0.000078,ESPR19,
1838.5664,29716.51,0.85,37.87,1.70,4693.28,1.70,39.3116,0.0142,0.477970,0.000106,1.78083,0.00262,-4.78008,0.00070,0.125544,0.000072,ESPR19,
1846.5277,29705.59,0.68,29.93,1.36,4637.40,1.36,39.8114,0.0117,0.440417,0.000078,1.59287,0.00188,-4.83307,0.00056,0.116660,0.000053,ESPR19,
1858.5617,29716.52,0.94,41.54,1.89,4684.26,1.89,39.3992,0.0159,0.498129,0.000118,1.80793,0.00328,-4.77295,0.00086,0.125457,0.000082,ESPR19,
