4928.94934,187.55,1.12,13.71,4.73,0.557,0.002,
4954.88137,284.38,1.12,7.07,3.69,0.556,0.002,
4955.79962,77.44,1.46,6.00,13.88,0.533,0.008,
4956.96383,-273.80,1.30,4.41,10.92,0.531,0.005,
4963.92157,-14.63,1.33,-0.17,6.57,0.570,0.002,
4983.82710,282.58,0.98,2.20,3.79,0.572,0.003,
4985.81064,-298.55,1.14,-2.81,2.96,0.560,0.002,
4986.84124,239.74,1.39,-7.48,6.58,0.553,0.003,
4988.83025,-300.15,1.31,-16.80,8.24,0.555,0.002,
5191.14866,-326.24,1.32,-0.33,5.00,0.843,0.003,
5193.10170,255.62,1.30,-8.71,6.79,0.835,0.003,
5193.93435,-192.43,1.38,5.08,5.27,0.843,0.004,
6295.6214561,12517.11,0.79
6298.7642665,12555.64,0.82
6299.6085258,12337.49,0.68
6322.6832476,12612.81,0.63
6323.6310805,12947.20,2.59
6344.4753290,12321.56,0.68
6365.6506613,12872.70,1.15
6375.5026138,12769.67,1.29
6377.6005131,12792.82,0.99
6382.5712975,12403.44,0.65
6407.5380482,12819.54,0.98
6622.7576970,12816.62,0.70
6631.7299753,12934.48,1.06
6700.4992492,12441.52,0.79
6702.4833282,12949.10,0.79
6724.4276005,12741.91,0.74
6728.6232469,12878.48,1.20
6751.4400623,12706.62,0.96
6751.4471568,12703.93,0.98
6751.4544364,12698.42,0.92
6751.4617044,12695.21,0.93
6751.4688683,12692.21,0.91
6751.4761016,12686.76,0.91
6751.4832539,12682.45,0.94
6751.4905914,12678.88,0.94
6751.4978363,12673.90,0.93
6751.6135578,12600.59,1.35
6751.6207101,12595.69,1.43
6751.6280707,12590.92,1.35
6751.6350263,12586.75,1.29
6751.6424332,12583.37,1.37
6751.6494235,12579.12,1.36
6751.6568304,12573.63,1.48
6998.6527078,12790.36,1.43
6999.7226329,12320.45,1.44
7069.6071593,12612.43,4.54
7472.4641639,12499.72,1.59
7526.4654365,12337.50,1.03
7549.3943908,12424.18,1.08
