2458425.6292,-17.5,190.0,3346.0,1061.7,183.4,234.8,0.919,0.005,0.866,0.006,0.820,0.005,HPF_1
2458425.6333,-144.2,108.2,1691.0,708.1,100.1,131.0,0.882,0.005,0.854,0.007,0.788,0.005,HPF_1
2458425.6371,-76.3,75.2,1424.3,973.8,1.2,95.3,0.875,0.005,0.788,0.007,0.771,0.006,HPF_1
2458425.8566,371.1,130.4,251.4,646.0,-103.6,161.5,0.907,0.004,0.859,0.005,0.794,0.004,HPF_1
2458425.8605,358.5,73.1,1613.4,592.2,-2.7,93.6,0.875,0.005,0.805,0.007,0.771,0.005,HPF_1
2458425.8644,313.5,146.2,-379.1,762.8,-112.3,182.3,0.882,0.004,0.840,0.005,0.779,0.004,HPF_1
2458436.6067,-146.1,67.9,-791.0,722.2,18.4,86.0,0.875,0.005,0.845,0.006,0.774,0.005,HPF_1
2458436.6107,-268.5,97.6,-697.6,751.3,-159.5,104.2,0.899,0.004,0.870,0.005,0.803,0.004,HPF_1
2458436.6146,36.2,115.6,707.6,803.3,90.6,141.7,0.898,0.004,0.838,0.006,0.790,0.005,HPF_1
2458436.6186,-116.9,137.6,305.5,814.0,84.5,169.4,0.925,0.004,0.887,0.006,0.831,0.005,HPF_1
2458436.8202,322.8,75.8,543.6,512.2,14.5,96.4,0.971,0.004,0.935,0.006,0.870,0.004,HPF_1
2458436.8241,347.9,72.0,119.3,688.4,-76.4,86.7,0.910,0.004,0.871,0.005,0.821,0.004,HPF_1
2458436.8280,452.5,143.9,907.0,866.1,-133.9,177.4,0.882,0.005,0.855,0.006,0.775,0.005,HPF_1
2458437.8224,308.3,95.8,892.7,301.8,-111.5,113.1,0.887,0.005,0.813,0.007,0.782,0.006,HPF_1
2458437.8263,332.5,124.2,748.9,714.4,-183.9,139.3,0.889,0.004,0.847,0.005,0.787,0.004,HPF_1
2458437.8303,237.5,93.1,115.4,721.8,40.3,116.4,0.896,0.004,0.849,0.005,0.792,0.004,HPF_1
2458437.8343,331.4,92.2,1069.8,412.0,-54.7,114.5,1.048,0.006,1.023,0.008,0.925,0.007,HPF_1
2458451.7777,-204.3,113.8,990.0,972.6,-92.5,139.6,0.910,0.004,0.867,0.005,0.815,0.004,HPF_1
2458451.7816,-103.0,155.9,-590.1,1007.4,358.8,132.0,0.934,0.004,0.887,0.005,0.834,0.004,HPF_1
2458451.7856,-428.4,114.5,791.6,1006.3,90.4,139.7,0.888,0.004,0.820,0.005,0.785,0.004,HPF_1
2458454.7769,166.9,101.7,-474.6,1299.3,191.3,101.7,0.926,0.005,0.864,0.007,0.811,0.006,HPF_1
2458454.7808,92.0,113.6,260.6,933.4,-11.8,145.8,0.925,0.005,0.892,0.007,0.820,0.006,HPF_1
2458454.7848,235.3,138.5,73.3,569.6,-30.7,175.6,0.898,0.004,0.843,0.005,0.782,0.004,HPF_1
2458675.9378,16.3,213.7,-985.5,1256.5,307.4,245.5,1.055,0.006,1.039,0.009,0.951,0.007,HPF_1
2458675.9417,465.5,170.0,292.4,1314.9,48.0,220.3,0.943,0.004,0.871,0.006,0.822,0.005,HPF_1
2458675.9456,101.6,141.2,528.5,351.9,250.5,153.9,0.905,0.004,0.859,0.005,0.800,0.004,HPF_1
2458741.7631,-288.4,120.9,469.4,790.5,-88.9,151.6,0.936,0.004,0.895,0.005,0.828,0.004,HPF_1
2458741.7669,-193.6,154.9,-719.7,1244.8,-222.8,177.5,0.934,0.004,0.892,0.006,0.834,0.005,HPF_1
2458741.7709,-317.5,147.8,-320.3,1059.5,-91.0,183.3,0.939,0.005,0.893,0.006,0.819,0.005,HPF_1
2458777.6734,-592.2,124.7,2669.3,1018.0,89.2,153.8,0.926,0.004,0.868,0.005,0.802,0.004,HPF_1
2458777.6773,-548.6,66.8,1594.7,977.1,79.2,78.2,0.900,0.004,0.849,0.005,0.796,0.004,HPF_1
2458777.6812,-231.8,104.7,1082.5,1515.2,-106.4,126.6,0.867,0.006,0.850,0.008,0.765,0.007,HPF_1
2458872.6197,-145.7,155.1,-746.9,1406.9,-309.3,155.1,0.882,0.006,0.849,0.008,0.766,0.006,HPF_1
2458872.6237,292.3,189.1,1433.5,1734.1,-375.9,188.7,0.899,0.004,0.855,0.005,0.803,0.004,HPF_1
2458872.6276,397.6,254.4,-1401.2,1603.1,246.2,310.5,0.969,0.005,0.948,0.006,0.863,0.005,HPF_1
2459041.9448,-83.1,107.6,-532.0,899.8,-40.6,136.7,0.896,0.004,0.872,0.006,0.796,0.004,HPF_1
2459041.9488,-69.4,138.0,313.3,706.2,64.5,174.8,0.899,0.006,0.835,0.008,0.788,0.007,HPF_1
2459041.9527,-220.0,126.1,100.0,1284.0,-97.0,158.9,0.903,0.004,0.869,0.005,0.802,0.004,HPF_1
2459046.9227,131.9,86.2,146.7,833.5,102.0,100.9,0.909,0.003,0.868,0.004,0.800,0.003,HPF_1
2459046.9266,161.5,142.5,1720.4,934.7,347.5,113.8,1.073,0.006,1.023,0.008,0.959,0.006,HPF_1
2459046.9305,141.9,87.0,-32.9,852.3,-7.3,111.6,0.922,0.005,0.907,0.006,0.830,0.005,HPF_1
2459058.8913,264.0,131.8,13.0,746.9,-54.5,166.6,0.880,0.005,0.828,0.007,0.769,0.006,HPF_1
2459058.8953,99.3,155.0,111.0,605.8,-126.8,187.4,0.917,0.004,0.864,0.005,0.810,0.004,HPF_1
2459058.8993,61.5,118.1,-635.0,465.8,202.7,126.3,0.881,0.003,0.839,0.005,0.788,0.004,HPF_1
2459104.9842,-330.7,110.9,3389.0,785.5,65.4,142.2,0.906,0.003,0.872,0.004,0.804,0.003,HPF_1
2459104.9881,-294.5,137.2,1217.0,519.8,-79.1,179.2,0.950,0.005,0.908,0.007,0.853,0.006,HPF_1
2459104.9921,-177.1,114.1,1614.4,1058.4,214.8,121.7,0.914,0.006,0.859,0.008,0.802,0.007,HPF_1
2459400.9444,-50.7,137.3,46.5,1697.5,-62.3,175.9,0.885,0.004,0.842,0.005,0.787,0.004,HPF_1
2459400.9485,-323.7,78.7,511.6,740.8,-24.9,101.4,0.990,0.005,0.946,0.006,0.874,0.005,HPF_1
2459400.9524,-85.6,114.8,-324.9,1476.3,6.0,148.7,0.887,0.004,0.836,0.005,0.780,0.004,HPF_1
2459401.9486,82.8,106.2,-894.4,1227.1,52.9,134.6,0.885,0.005,0.853,0.006,0.782,0.005,HPF_1
2459401.9524,82.6,105.9,-57.7,828.7,-102.3,128.9,0.894,0.006,0.854,0.009,0.785,0.007,HPF_1
2459401.9564,117.5,62.4,-671.6,877.2,-92.9,69.8,0.913,0.004,0.861,0.005,0.800,0.004,HPF_1
2459411.9133,-231.0,136.8,-895.4,807.7,-119.4,173.4,0.914,0.004,0.891,0.006,0.820,0.005,HPF_1
2459411.9173,-244.0,80.8,-185.5,1436.3,98.3,97.0,0.901,0.004,0.867,0.005,0.796,0.004,HPF_1
2459411.9213,-237.8,156.4,55.1,1373.5,80.8,201.3,0.912,0.004,0.890,0.005,0.813,0.004,HPF_1
2459423.8914,-347.1,244.4,4045.9,1976.9,628.5,191.1,0.896,0.003,0.853,0.004,0.784,0.003,HPF_1
2459423.8953,-391.1,137.3,2182.3,1391.2,-172.4,166.6,0.926,0.004,0.882,0.006,0.821,0.005,HPF_1
2459423.8993,-274.3,113.3,1276.9,1382.9,49.0,147.7,0.917,0.004,0.870,0.005,0.811,0.004,HPF_1
2459426.8845,-83.0,96.8,-1617.2,1388.4,148.2,109.4,0.885,0.003,0.863,0.005,0.785,0.004,HPF_1
2459426.8884,-78.5,128.4,-558.8,841.1,-29.7,162.7,0.898,0.006,0.833,0.008,0.792,0.006,HPF_1
2459426.8922,322.0,107.1,764.7,942.5,187.1,116.6,0.896,0.004,0.868,0.005,0.801,0.004,HPF_1
2459806.8532,-97.8,189.9,-1311.9,1378.7,234.4,227.1,0.866,0.006,0.839,0.009,0.809,0.007,HPF_2
2459806.8572,-87.3,188.2,-578.3,933.8,57.0,242.8,0.879,0.005,0.839,0.007,0.805,0.006,HPF_2
2459806.8612,-6.1,207.1,2178.7,1154.6,-17.9,264.0,0.894,0.005,0.853,0.007,0.814,0.006,HPF_2
2459827.7790,166.7,198.2,3433.1,1527.6,-15.7,253.7,0.902,0.004,0.862,0.006,0.826,0.005,HPF_2
2459827.7831,187.1,213.5,1850.9,1244.2,150.3,266.7,0.873,0.004,0.831,0.005,0.792,0.004,HPF_2
2459827.7870,-29.1,215.6,2862.2,472.5,277.7,250.5,0.872,0.003,0.824,0.004,0.798,0.004,HPF_2
2459828.7889,200.4,134.9,734.7,822.9,-214.9,148.3,0.975,0.005,0.934,0.006,0.897,0.005,HPF_2
2459828.7930,250.6,96.1,-945.7,1387.6,80.4,117.3,0.891,0.004,0.852,0.005,0.812,0.004,HPF_2
2459828.7969,473.0,88.8,-1934.0,985.7,187.4,84.1,0.980,0.004,0.943,0.006,0.893,0.005,HPF_2
2459843.9687,108.7,145.1,153.8,1164.0,137.5,179.4,0.979,0.005,0.953,0.006,0.901,0.005,HPF_2
2459843.9726,503.7,104.7,-648.3,930.0,15.3,133.8,0.878,0.004,0.845,0.006,0.799,0.005,HPF_2
2459843.9766,443.3,120.7,-66.9,1021.6,-177.8,137.5,0.901,0.004,0.860,0.006,0.818,0.005,HPF_2
2459886.6248,-338.5,173.9,986.6,1477.8,4.2,222.7,0.899,0.005,0.870,0.007,0.811,0.006,HPF_2
2459886.6287,-367.5,147.8,85.6,1266.4,125.4,179.0,0.888,0.003,0.846,0.005,0.810,0.004,HPF_2
2459886.6327,-385.8,92.5,-794.3,967.1,-10.9,115.9,0.886,0.004,0.833,0.005,0.797,0.004,HPF_2
2459890.6280,-252.9,84.2,-397.4,780.5,-130.9,91.9,0.881,0.004,0.852,0.006,0.802,0.005,HPF_2
2459890.6320,-250.1,84.7,-431.2,843.3,-107.1,97.4,0.859,0.003,0.813,0.005,0.784,0.004,HPF_2
2459890.6360,-252.1,122.3,-1085.1,1131.8,-139.2,142.8,0.893,0.005,0.863,0.007,0.836,0.006,HPF_2
2459913.5496,64.0,119.9,-2167.1,1539.5,-47.9,153.7,0.902,0.004,0.859,0.005,0.813,0.004,HPF_2
2459913.5538,52.4,245.7,-432.6,1550.5,85.9,312.8,0.894,0.004,0.840,0.005,0.811,0.004,HPF_2
2459913.5577,34.5,178.7,-1463.2,2104.6,-283.8,198.2,0.902,0.004,0.850,0.006,0.825,0.005,HPF_2
