2453025.8918,9.6602,4.5043,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453245.2039,8.6282,3.7464,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453332.0253,26.7872,3.4127,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453582.2343,-23.8975,6.7349,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453656.1926,-12.5554,3.5733,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453693.0660,2.8939,3.1333,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453728.9033,-9.6517,4.7484,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453743.9595,-17.8565,4.0351,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453775.8991,-27.1306,4.4918,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453975.1185,5.0142,8.4083,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2453987.0780,26.3718,4.8664,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454089.0362,18.0367,4.4298,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454108.9121,0.8508,10.5917,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454256.2867,-14.4120,6.2003,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454338.1932,20.6806,5.2231,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454380.1447,7.0439,4.5057,nan,nan,nan,nan,nan,nan,nan,HIDESS,
2454677.2942,15.9383,3.6374,9.4158,231.2046,6.7091,0.1371,0.0224,1.0000,402.4623,HIDESS,
2455135.1507,-41.9129,4.5789,9.4420,220.5066,10.8096,0.1327,0.0646,1.0000,251.8005,HIDESS,
2455187.9657,-34.9793,4.1377,9.4484,212.5723,8.3431,0.1322,0.0305,1.0000,328.2498,HIDESS,
2455409.2511,-0.9466,4.3163,9.4043,185.2371,8.6277,0.1207,0.0248,1.0000,300.0284,HIDESS,
2455410.1495,-25.2100,3.9567,9.4287,200.9320,5.7456,0.1375,0.0218,1.0000,409.4480,HIDESS,
2455503.0654,-28.2672,3.9406,9.4505,212.3254,8.0661,0.1315,0.0233,1.0000,365.6013,HIDESS,
2455851.0578,12.4745,3.3215,9.4235,225.6460,7.2966,0.1384,0.0170,1.0000,439.7097,HIDESS,
2456507.1453,-13.9498,8.6856,9.4786,174.2984,19.6527,0.2276,0.0887,1.0000,103.8242,HIDESS,
2456510.2248,4.2480,5.8271,nan,nan,nan,0.1378,0.0482,1.0000,153.6879,HIDESS,
2456514.1693,8.5631,4.8719,9.7874,147.2165,4.8831,nan,nan,nan,409.8353,HIDESF1,
2456516.1773,15.2115,5.2059,9.7684,158.4322,7.1657,nan,nan,nan,340.8596,HIDESF1,
2456534.0907,-8.6533,5.8908,9.8138,166.5475,8.4316,nan,nan,nan,262.2011,HIDESF1,
2456553.0943,-33.5124,4.7493,9.8125,150.0596,5.8825,nan,nan,nan,392.7696,HIDESF1,
2456554.0386,-15.9127,4.4091,9.8052,180.1386,5.5094,nan,nan,nan,417.7655,HIDESF1,
2456576.0856,12.1509,3.9802,9.4327,179.2327,6.7325,0.1248,0.0257,1.0000,315.6507,HIDESS,
2456578.1161,-6.6149,3.8115,9.4389,223.1083,9.5578,0.1202,0.0229,1.0000,338.9616,HIDESS,
2456578.9520,11.1201,4.0606,9.4519,170.4392,9.0075,0.1287,0.0341,1.0000,281.5702,HIDESS,
2456579.0514,-6.1399,3.5112,9.4851,184.6244,7.5029,0.1442,0.0256,1.0000,310.2830,HIDESS,
2456579.0643,-4.3276,4.1398,9.4664,190.9449,7.2239,0.1296,0.0273,1.0000,294.6372,HIDESS,
2456579.2092,-11.8529,4.8766,9.4520,219.6188,15.9856,0.3267,0.1584,0.0000,162.6700,HIDESS,
2456580.1272,7.2088,4.2881,9.4113,190.1671,11.5235,0.1320,0.0389,1.0000,239.2740,HIDESS,
2456595.1468,1.2916,5.2554,9.8279,159.1020,9.6517,nan,nan,nan,292.8722,HIDESF1,
2456596.0060,0.5853,4.7733,9.7735,164.6858,7.5473,nan,nan,nan,354.0823,HIDESF1,
2456604.9218,0.4203,4.4061,9.7775,177.8567,6.5729,nan,nan,nan,345.5585,HIDESF1,
2456605.0009,3.5860,10.9779,nan,nan,nan,nan,nan,nan,98.5053,HIDESF1,
2456605.1036,3.8020,4.7149,9.7867,157.1301,10.8408,nan,nan,nan,276.0960,HIDESF1,
2456605.9223,10.3058,4.2565,9.7845,142.8391,7.1200,nan,nan,nan,318.8940,HIDESF1,
2456607.0325,21.8969,5.2337,9.7873,150.2552,7.8642,nan,nan,nan,259.4237,HIDESF1,
2456607.9846,2.8751,4.5620,9.7808,170.3998,10.2881,nan,nan,nan,276.2394,HIDESF1,
2456608.8881,0.9271,3.5629,9.7958,168.8523,7.2536,nan,nan,nan,381.0283,HIDESF1,
