2453482.96440,2.10,0.73,A
2453483.96117,5.56,0.60,A
2453485.07996,3.54,0.59,A
2453486.04514,0.25,0.48,A
2453488.13906,2.37,0.59,A
2453489.08696,3.00,0.61,A
2453516.04043,3.76,0.71,A
2453521.94298,1.94,0.96,A
2453569.90141,-4.25,0.83,A
2453570.94617,-3.47,0.57,A
2453571.94048,-1.64,0.63,A
2453573.87030,-2.32,0.64,A
2453575.87530,1.93,0.61,A
2453576.89023,4.07,0.55,A
2453577.86776,3.57,0.67,A
2453578.91377,-1.40,0.57,A
2453840.21603,4.18,0.77,A
2453841.16188,7.05,0.65,A
2453843.13891,10.21,0.62,A
2453844.08319,6.07,0.66,A
2453937.93317,-2.73,0.72,A
2453938.93436,0.21,0.64,A
2453943.88525,-2.85,0.53,A
2453944.88569,-5.13,0.47,A
2453945.88638,-6.74,0.55,A
2453946.88960,-3.68,0.55,A
2454111.21051,7.14,0.77,A
2454112.21939,6.16,0.60,A
2454113.22990,4.11,0.75,A
2454114.26145,3.12,0.90,A
2454119.24597,3.94,0.74,A
2454120.22002,3.31,0.70,A
2454121.21210,1.44,0.56,A
2454123.23541,-3.13,0.63,A
2454126.19788,-3.12,0.65,A
2454127.20219,-3.88,0.62,A
2454128.20519,-2.82,0.73,A
2454129.20022,0.69,0.52,A
2454130.19130,-4.28,0.53,A
2454131.20082,-5.25,0.53,A
2454132.20696,-4.95,0.73,A
2454135.19894,-7.04,0.67,A
2454136.21567,-4.83,0.56,A
2454137.21358,-0.90,0.49,A
2454138.19311,-1.62,0.82,A
2454139.18689,-3.61,0.72,A
2454141.21764,-0.05,0.71,A
2454142.20644,0.61,0.51,A
2454144.14374,-0.35,0.57,A
2454145.17237,2.53,0.58,A
2454146.19289,5.15,0.55,A
2454147.21096,-0.63,0.55,A
2454148.24103,-3.18,0.57,A
2454149.18109,2.16,0.63,A
2454150.21285,3.30,0.62,A
2454151.22296,0.56,0.64,A
2454152.09352,0.80,0.73,A
2454152.25396,-2.16,0.54,A
2454153.17187,2.83,0.68,A
2454154.09474,4.38,0.57,A
2454154.27050,3.11,0.66,A
2454155.06551,2.80,0.59,A
2454155.27322,2.43,0.64,A
2454156.18613,0.44,0.42,A
2454157.16889,2.37,0.89,A
2454158.18706,3.65,0.88,A
2454223.12188,8.13,0.54,A
2454224.15218,6.77,0.72,A
2454225.08458,10.59,0.62,A
2454226.02062,14.20,0.85,A
2454227.02043,8.15,0.68,A
2454252.97759,-0.11,0.80,A
2454254.01661,2.11,0.70,A
2454254.91868,5.69,0.85,A
2454255.98460,6.39,0.81,A
2454257.07180,1.58,0.83,A
2454333.86604,-0.54,1.34,A
2454334.86018,3.40,0.85,A
2454335.85304,8.92,0.80,A
2454336.84663,7.03,0.71,A
2454543.06967,0.10,0.71,A
2454550.11293,-2.14,0.85,A
2454551.09816,-2.56,0.86,A
2454552.14240,-5.26,0.93,A
2454553.10980,-2.94,1.00,A
2454897.20941,-4.86,1.06,A
2454900.19861,-0.16,1.03,A
2454901.16839,0.60,0.80,A
2454902.21654,-4.11,0.99,A
2454904.20346,-1.41,1.53,A
2454905.27335,3.23,0.80,A
2454906.22330,-0.55,0.93,A
2454907.21266,0.28,0.85,A
2454908.21531,7.41,0.75,A
2455013.83842,-0.28,0.61,A
2455015.83950,-1.99,0.68,A
2455017.84841,3.13,0.64,A
2455018.90225,0.90,0.70,A
2455018.95764,4.79,1.09,A
2455019.99765,-0.78,0.73,A
2455020.83414,0.35,0.60,A
2455021.88251,3.15,0.79,A
2455022.89587,3.61,0.74,A
2455023.87589,-0.93,0.89,A
2455029.86175,-0.04,0.59,A
2455030.97802,1.93,0.50,A
2455031.84137,-0.95,0.60,A
2455032.92564,-3.75,0.53,A
2455036.86026,-7.10,0.63,A
2455037.84849,-6.51,0.71,A
2455040.85306,-7.42,1.04,A
2455041.95419,-8.68,0.84,A
2455043.84520,-3.45,0.52,A
2455044.84224,-6.79,0.49,A
2455045.83918,-7.89,0.62,A
2455046.91766,-7.33,0.64,A
2455047.86724,-1.08,0.47,A
2455048.85263,-3.21,0.47,A
2455049.86609,-7.39,0.46,A
2455050.87397,-3.02,0.68,A
2455051.86595,-2.08,0.53,A
2455052.88848,-2.74,0.66,A
2455053.88182,-3.97,0.54,A
2455054.86448,-2.46,0.56,A
2455055.85374,2.20,0.53,A
2455058.89140,-1.51,0.59,A
2453369.16663,1.69,0.73,K
2453425.07667,7.30,0.61,K
2453479.96032,0.46,0.58,K
2453546.78158,2.94,0.44,K
2453547.76796,3.03,0.36,K
2453548.80045,-2.27,0.37,K
2453549.80104,-0.03,0.37,K
2453550.82365,-0.08,0.36,K
2453551.80855,-1.31,0.39,K
2453576.75813,6.56,0.44,K
2453602.72508,5.09,0.49,K
2453754.09220,0.80,0.59,K
2453776.17013,4.08,0.58,K
2453777.08603,1.79,0.56,K
2453806.94545,-1.23,0.58,K
2453926.74769,5.03,0.47,K
2453927.78252,0.49,0.42,K
2453931.82248,-1.03,0.44,K
2454131.14294,-7.91,0.65,K
2454246.81083,0.59,0.73,K
2454247.94552,-2.04,0.72,K
2454248.81966,-4.38,1.05,K
2454250.80828,0.78,1.09,K
2454251.81149,1.78,1.02,K
2454255.75898,7.13,0.77,K
2454277.73265,-2.06,0.51,K
2454278.73377,-5.19,0.86,K
2454279.73075,-0.88,0.83,K
2454280.74026,-0.24,1.00,K
2454285.76472,-6.15,0.63,K
2454294.73843,-5.39,0.51,K
2454304.73624,4.05,0.60,K
2454305.73658,4.59,0.61,K
2454306.80060,3.51,0.59,K
2454307.73485,-2.50,0.48,K
2454308.73551,2.89,0.56,K
2454309.73851,2.20,0.77,K
2454310.73545,-1.05,0.84,K
2454311.73296,2.89,0.84,K
2454312.73423,-0.92,0.53,K
2454313.73496,1.04,0.85,K
2454314.73608,-2.67,0.87,K
2454318.77353,1.92,0.51,K
2454455.16774,-0.98,1.19,K
2454456.15784,4.78,1.06,K
2454465.13890,0.74,1.13,K
2454491.10891,7.68,1.08,K
2454545.03961,-3.86,1.10,K
2454546.03027,4.83,1.21,K
2454547.03936,0.14,1.09,K
2454600.92698,8.84,1.07,K
2454601.87647,7.50,0.97,K
2454634.78181,8.36,0.94,K
2454666.78904,-4.45,0.30,K
2454667.78945,-1.98,0.29,K
2454671.80264,-2.79,0.30,K
2454672.78558,-1.72,0.30,K
2454673.79754,-2.59,0.29,K
2454675.79484,-2.07,0.51,K
2454701.73724,2.44,0.36,K
2454702.73348,4.02,0.35,K
2454703.73110,-1.75,0.46,K
2454819.16638,1.75,0.37,K
2454820.17627,3.19,0.47,K
2454821.14761,0.74,0.85,K
2454822.14603,-2.32,0.64,K
2454823.16898,0.83,0.38,K
2454873.10516,3.59,0.48,K
2454903.14262,-3.53,0.45,K
2454967.98451,0.49,0.40,K
2454968.97445,0.63,0.74,K
2455021.83208,4.26,0.32,K
2455022.84171,5.41,0.30,K
2455023.74658,3.31,0.30,K
2455024.84232,2.22,0.29,K
2455049.76443,-2.85,0.29,K
2455050.76541,-1.49,0.28,K
2455051.75441,-1.87,0.30,K
2455052.75467,-0.73,0.33,K
2455053.76245,-1.65,0.34,K
