7638.76180,115.46,21.30,-12.0,19.0,0.675,HARPS
7640.72862,-169.93,20.90,152.0,21.0,0.224,Coralie
7641.74826,40.97,19.50,48.0,19.0,0.508,Coralie
7642.76763,-11.93,20.70,-68.0,21.0,0.792,Coralie
7644.74749,-93.63,30.60,-33.0,29.0,0.344,Coralie
7646.77027,39.47,28.50,57.0,27.0,0.908,Coralie
7707.59017,82.37,33.70,118.0,32.0,0.868,Coralie
7707.62860,100.76,17.00,64.0,15.0,0.878,HARPS
7709.67405,43.17,42.50,-116.0,27.0,0.449,Coralie
7710.60079,241.17,20.90,12.0,20.0,0.707,Coralie
7714.58982,97.82,23.70,111.0,16.0,0.820,FEROS
7733.69340,-108.58,17.80,23.0,13.0,0.147,FEROS
7735.59347,107.72,16.30,72.0,12.0,0.676,FEROS
7737.67338,-156.58,15.50,29.0,13.0,0.256,FEROS
7738.68545,51.02,14.90,13.0,12.0,0.539,FEROS
7805.52691,-176.34,76.00,-190.0,64.0,0.177,HARPS
7806.51603,-32.74,29.90,-44.0,26.0,0.453,HARPS
7943.83747,152.52,13.20,40.0,11.0,0.744,FEROS
7949.81557,-134.78,30.20,-34.0,23.0,0.411,FEROS
7965.83368,193.82,36.50,255.0,24.0,0.878,FEROS
7970.92605,-102.18,19.30,43.0,14.0,0.298,FEROS
8034.71737,-72.08,16.10,-32.0,13.0,0.086,FEROS
8041.87936,-48.38,21.50,82.0,15.0,0.083,FEROS
