13197.9100,-55.53765900000,2.7908400
13198.9140,-145.60314000000,3.0407400
13199.8620,30.54901100000,3.1287500
13398.1650,-156.29447000000,1.1620300,0.1660
13399.1530,-25.24965800000,1.0362700,0.1670
13401.1510,26.09965800000,1.0126500,0.1670
13425.1690,102.14745000000,1.0223300,0.1680
13426.1640,-97.33615500000,1.1923100,0.1680
13427.1490,-113.07934000000,1.1558600,0.1670
13428.1540,88.14467900000,1.0521900,0.1680
13429.1070,126.56268000000,1.0405800,0.1670
13430.0400,-58.00346400000,1.0233200,0.1680
13431.1210,-132.38722000000,0.9490410,0.1680
13478.9560,-73.71640800000,1.2182100,0.1720
13480.0770,-128.48563000000,1.2303800,0.1710
13480.9320,51.71359000000,1.7090500,0.1710
13483.9280,-156.70006000000,1.4618600,0.1680
13546.8530,153.34920000000,1.6549600,0.1740
13547.7890,29.30870700000,1.4533100,0.1760
13548.9730,-141.22629000000,1.5470300,0.1740
13549.9060,15.27619100000,1.4739800,0.1740
13550.9030,158.76817000000,1.4667400,0.1740
13551.9090,11.64987400000,1.4574500,0.1720
13570.9230,125.78623000000,1.6252300,0.1740
13842.1320,-156.54362000000,1.8049000,0.1700
13926.9140,-86.60562500000,1.6266300,0.1720
14318.8200,-124.16904000000,1.1922100,0.1690
14545.1220,79.10322900000,1.1452600,0.1780
14547.1250,-79.86873700000,1.1498700,0.1780
14549.0270,99.44368200000,1.2936800,0.1780
14722.7250,40.74839000000,1.4238100,0.1760
14725.7360,-148.11104000000,1.3181600,0.1730
14964.0450,131.92564000000,1.4201000,0.1650
15016.9540,136.68767000000,1.2761400,0.1640
15286.0410,95.62489600000,1.3483300,0.1610
15350.9310,117.80325000000,1.3719200,0.1630
15395.9160,102.69473000000,1.4963000,0.1620
15471.7220,-18.64293000000,1.3915100,0.1670
15608.1190,20.31895500000,1.3120900,0.1700
15615.0780,144.01003000000,1.5188200,0.1700
15634.0840,-114.63140000000,1.3548400,0.1710
15668.9920,59.21641200000,1.4794900,0.1720
15673.9330,-116.30575000000,1.4151700,0.1710
15704.8330,155.72628000000,1.4525100,0.1730
15843.6980,136.25993000000,1.4248900,0.1670
16109.7820,-137.74467000000,1.3457300,0.1670
16533.7240,-145.70601000000,1.3225000,0.1540
16882.7300,-14.48753500000,1.3479800,0.1640
17232.8150,21.77727600000,1.3570200,0.1700
17791.1700,-99.60098000000,1.4469400,0.1520
