1507.7295,17781.57,0.86,-45.13,1.72,6270.60,1.72,64.0916,0.0176,0.232877,0.000104,0.02724,0.00065,99.00000,9.00000,0.178377,0.000074,ESPR18
1524.7193,17782.42,0.55,-51.39,1.09,6246.36,1.09,64.8458,0.0113,0.230858,0.000061,0.13113,0.00033,-5.54457,0.00338,0.176863,0.000042,ESPR18
1532.6583,17777.44,0.45,-42.06,0.91,6237.78,0.91,64.8323,0.0094,0.232868,0.000050,0.14201,0.00024,-5.44634,0.00196,0.182475,0.000034,ESPR18
1533.5905,17778.00,0.47,-46.29,0.94,6237.44,0.94,64.8208,0.0098,0.235509,0.000052,0.13485,0.00025,-5.50839,0.00234,0.182294,0.000036,ESPR18
1535.7242,17776.86,0.48,-43.85,0.97,6235.87,0.97,64.8668,0.0101,0.232384,0.000053,0.08207,0.00029,99.00000,9.00000,0.178278,0.000036,ESPR18
1536.5728,17774.85,0.40,-47.14,0.80,6230.00,0.80,64.9237,0.0083,0.233528,0.000044,0.15796,0.00019,-5.33354,0.00119,0.182538,0.000030,ESPR18
1538.6301,17778.50,0.63,-48.75,1.25,6240.48,1.25,64.7635,0.0130,0.235126,0.000071,0.10258,0.00041,-6.02031,0.01254,0.179989,0.000050,ESPR18
1541.5888,17780.01,0.48,-47.03,0.97,6242.11,0.97,64.7832,0.0100,0.233058,0.000054,0.15720,0.00026,-5.33832,0.00162,0.181832,0.000037,ESPR18
1543.5788,17782.71,0.38,-49.82,0.76,6242.24,0.76,64.8624,0.0079,0.233393,0.000041,0.16324,0.00017,-5.30181,0.00101,0.183252,0.000028,ESPR18
1544.6667,17778.73,0.43,-46.28,0.86,6239.18,0.86,64.8488,0.0090,0.233570,0.000047,0.14524,0.00023,-5.42100,0.00174,0.182981,0.000032,ESPR18
1555.5608,17775.39,0.69,-43.03,1.37,6258.51,1.37,64.6856,0.0142,0.238006,0.000080,0.15029,0.00045,-5.38415,0.00318,0.183600,0.000056,ESPR18
1561.5216,17783.19,0.40,-44.25,0.81,6260.98,0.81,64.7383,0.0083,0.236252,0.000044,0.20195,0.00019,-5.12109,0.00074,0.183931,0.000030,ESPR18
1562.5582,17779.51,0.52,-43.83,1.05,6258.01,1.05,64.8468,0.0109,0.238159,0.000061,0.20341,0.00031,-5.11552,0.00117,0.180552,0.000041,ESPR18
1568.5391,17776.39,0.48,-48.47,0.97,6243.89,0.97,64.8417,0.0101,0.233227,0.000055,0.15050,0.00026,-5.38268,0.00184,0.182286,0.000037,ESPR18
1609.4563,17782.59,0.50,-46.96,0.99,6265.95,0.99,64.5660,0.0102,0.240338,0.000056,0.21216,0.00028,-5.08374,0.00100,0.183978,0.000038,ESPR18
1706.8932,17776.96,0.40,-44.57,0.79,6279.66,0.79,64.5536,0.0081,0.243018,0.000039,0.19412,0.00022,-5.15206,0.00091,0.183810,0.000028,ESPR19
1721.9036,17776.28,0.39,-37.17,0.78,6304.30,0.78,64.4522,0.0080,0.248586,0.000039,0.22886,0.00020,-5.02883,0.00063,0.183840,0.000027,ESPR19
1725.8885,17775.56,0.68,-43.54,1.36,6282.45,1.36,64.4067,0.0139,0.245452,0.000072,0.17312,0.00050,-5.24805,0.00255,0.184551,0.000053,ESPR19
1731.8831,17781.80,0.35,-41.79,0.69,6287.82,0.69,64.6882,0.0071,0.246291,0.000035,0.20756,0.00017,-5.10015,0.00062,0.184109,0.000024,ESPR19
1737.8990,17780.71,0.35,-39.77,0.71,6285.31,0.71,64.7143,0.0073,0.243864,0.000036,0.21786,0.00017,-5.06420,0.00058,0.185215,0.000025,ESPR19
1741.8442,17779.28,0.56,-41.27,1.13,6285.83,1.13,64.7897,0.0116,0.245002,0.000062,0.20847,0.00039,-5.09687,0.00140,0.183821,0.000044,ESPR19
1754.8388,17780.13,0.31,-39.33,0.63,6302.09,0.63,64.6023,0.0064,0.246549,0.000031,0.22772,0.00014,-5.03237,0.00045,0.186835,0.000021,ESPR19
1777.8239,17779.68,0.35,-40.56,0.70,6302.94,0.70,64.6602,0.0072,0.244818,0.000035,0.22674,0.00018,-5.03544,0.00055,0.184643,0.000024,ESPR19
