2459308.60433,-2973.39498,0.61454,6474.14287,1.22907,-33.03754,1.22907,-4.70839,0.03
2459310.60679,-2970.17041,0.72325,6470.94096,1.44650,-33.05178,1.44650,-4.73384,0.03
2459316.52823,-2967.04268,0.74589,6494.71808,1.49178,-23.62498,1.49178,-4.71071,0.03
2459318.53033,-2968.97263,0.58634,6478.68992,1.17268,-29.05963,1.17268,-4.67625,0.03
2459324.54484,-2979.75469,0.81169,6513.79912,1.62337,-28.18052,1.62337,-4.68586,0.03
2459332.57219,-2979.72663,0.64735,6491.38232,1.29470,-26.73828,1.29470,-4.68235,0.03
2459339.48187,-2973.64985,0.59883,6468.71493,1.19766,-33.26671,1.19766,-4.71889,0.03
2459346.54064,-2972.23214,0.59588,6482.41981,1.19177,-24.88775,1.19177,-4.69299,0.03
2459373.49668,-2973.51891,0.54674,6462.90532,1.09348,-33.99091,1.09348,-4.63670,0.03
2459375.51475,-2971.67940,0.65131,6471.90904,1.30262,-32.59999,1.30262,-4.62645,0.03
2459406.50596,-2975.21079,0.72117,6492.23367,1.44234,-32.50447,1.44234,-4.61493,0.03
2459410.48054,-2971.88718,0.67589,6499.20800,1.35178,-30.20159,1.35178,-4.69778,0.03
2459415.50797,-2971.53555,0.81069,6491.25179,1.62138,-26.70041,1.62138,-4.66199,0.03
2459673.54348,-2977.41579,0.56837,6488.38996,1.13674,-34.25660,1.13674,-4.68937,0.03
2459675.51515,-2973.79468,0.94059,6487.91724,1.88118,-25.69355,1.88118,-4.64185,0.03
2459677.65231,-2972.69597,0.81513,6492.40548,1.63026,-31.64252,1.63026,-4.65797,0.03
2459683.53185,-2981.60896,0.46941,6497.32792,0.93881,-29.48257,0.93881,-4.63287,0.03
2459685.55122,-2980.40653,0.74578,6496.39434,1.49156,-24.51672,1.49156,-4.62026,0.03
2459687.52944,-2972.00700,0.44872,6495.49294,0.89744,-29.67212,0.89744,-4.64324,0.03
2459695.52289,-2967.31998,0.94864,6512.73962,1.89727,-29.56610,1.89727,-4.72992,0.03
2459697.58163,-2965.97269,0.57592,6511.96644,1.15184,-26.85813,1.15184,-4.66111,0.03
2459784.49262,-2977.56468,0.61283,6525.41017,1.22565,-22.48554,1.22565,-4.62480,0.03
2459904.83330,-2969.59186,0.43420,6487.45963,0.86839,-35.24880,0.86839,-4.64402,0.03
2459905.77809,-2970.11543,0.65332,6491.71953,1.30664,-34.62983,1.30664,-4.67966,0.03
2459906.80910,-2970.19757,0.45508,6492.16205,0.91016,-33.02784,0.91016,-4.63988,0.03
2459907.79772,-2969.74551,1.30284,6534.33656,2.60569,-38.11250,2.60569,-4.80747,0.03
2459910.75047,-2966.06855,0.72457,6503.36121,1.44913,-25.24811,1.44913,-4.69019,0.03
2459917.72905,-2978.06036,0.60639,6481.17031,1.21279,-33.99602,1.21279,-4.66728,0.03
