6396.517465,-16145.21,0.83,-104.71
6396.518460,-16136.13,0.83,-114.74
6396.519444,-16141.63,0.84,-109.08
6396.520439,-16141.12,0.80,-102.26
6396.521411,-16141.62,0.77,-98.87
6396.522407,-16140.13,0.79,-101.10
6396.523390,-16138.82,0.75,-94.68
6396.524374,-16139.25,0.77,-107.73
6396.525370,-16142.51,0.79,-107.47
6396.526365,-16136.58,0.76,-105.46
6396.527349,-16141.06,0.80,-102.27
6396.528333,-16140.15,0.73,-110.40
6396.529316,-16139.87,0.77,-92.20
6396.530300,-16135.60,0.76,-104.46
6396.531295,-16136.80,0.75,-107.26
6396.532279,-16134.48,0.77,-111.15
6396.533263,-16134.21,0.85,-104.95
6396.534247,-16135.46,0.82,-88.32
6396.535242,-16136.83,0.81,-97.51
6396.536226,-16134.84,0.83,-93.99
6396.537221,-16134.55,0.81,-100.46
6396.538205,-16136.38,0.83,-103.78
6396.539189,-16134.45,0.83,-110.72
6396.540173,-16129.22,0.81,-110.10
6396.541168,-16133.70,0.82,-102.69
6396.542152,-16134.16,0.82,-106.89
6396.543147,-16134.48,0.84,-97.25
6396.544131,-16128.71,0.84,-100.95
6396.545126,-16129.74,0.86,-96.27
6396.546110,-16131.13,0.86,-101.05
6397.521900,-16702.08,0.72,-97.95
6397.522872,-16699.84,0.74,-105.18
6397.523868,-16704.48,0.72,-94.64
6397.524852,-16705.73,0.72,-92.57
6397.525847,-16708.92,0.71,-94.71
6397.526831,-16707.10,0.73,-103.71
6397.527814,-16710.52,0.67,-89.11
6397.528798,-16714.45,0.68,-99.72
6397.529782,-16712.81,0.68,-92.54
6397.530777,-16711.57,0.72,-95.28
6397.531761,-16710.09,0.73,-105.51
6397.532745,-16713.71,0.72,-99.23
6397.533729,-16717.17,0.73,-90.04
6397.534724,-16717.87,0.80,-98.28
6397.535708,-16716.37,0.75,-104.30
6397.536703,-16717.04,0.75,-91.07
6397.537675,-16713.98,0.75,-97.79
6397.538671,-16718.75,0.76,-94.09
6397.539655,-16718.34,0.74,-99.41
6397.540650,-16720.07,0.71,-96.86
6397.541622,-16723.57,0.73,-93.14
6397.542618,-16728.39,0.73,-89.33
6397.543601,-16723.52,0.73,-82.35
6397.544597,-16726.64,0.76,-85.44
6397.545580,-16727.09,0.77,-86.47
