14400.061,11.46,1.61,Keck
14428.974,25.32,1.50,Keck
14543.837,21.29,1.65,Keck
14791.095,-6.22,1.44,Keck
14865.070,-23.07,1.55,Keck
14954.854,-38.79,1.63,Keck
14963.834,-33.30,1.46,Keck
14983.764,-35.61,1.60,Keck
15109.140,-14.08,1.66,Keck
15164.082,-7.46,1.47,Keck
15174.022,-13.96,1.58,Keck
15196.975,-1.04,1.61,Keck
15229.889,-13.35,1.50,Keck
15256.796,8.91,1.65,Keck
15285.848,13.82,1.62,Keck
15320.747,32.54,1.61,Keck
15342.751,28.13,1.58,Keck
15501.044,22.14,1.55,Keck
15606.016,17.55,1.72,Keck
15608.000,8.64,1.58,Keck
15722.748,-9.09,2.20,Keck
15843.083,-30.86,1.63,Keck
15904.954,-28.65,1.74,Keck
15931.975,-23.56,1.36,Keck
15945.024,-23.12,1.59,Keck
15960.921,-9.21,1.63,Keck
15973.034,-16.89,1.70,Keck
16076.736,5.08,1.70,Keck
16193.146,29.45,1.44,Keck
16319.851,26.70,1.72,Keck
16343.757,38.46,1.52,Keck
16639.176,-25.57,1.75,Keck
17297.140,12.84,1.48,Keck
