2455255.7322,-2.96,1.03,0.2681,0.03949,17240,
2455342.66134,-0.84,1.81,0.6097,0.05082,6564,
2455423.50522,2.75,1.56,0.4679,0.05022,6871,
2455437.47257,5.23,1.44,0.4713,0.04998,7527,
2455785.52424,5.55,1.71,0.6408,0.05044,5343,
2455787.50123,4.29,1.58,0.5024,0.05042,6782,
2455793.49665,0,2.74,0.9498,0.05275,3198,
2455796.52697,1.33,2.21,0.6912,0.05062,3804,
2455801.50064,-0.41,2.6,0.6665,0.05317,3256,
2455802.48336,-1.87,2.52,0.8015,0.05235,3236,
2455802.49089,2.99,4.08,0.6045,0.05228,2347,
2455803.49751,5.78,2.06,0.6305,0.05074,4124,
2455804.51336,6.2,2.46,0.8024,0.05122,3173,
2455958.86941,7.28,1.7,0.4351,0.04957,5545,
2456085.68322,0.21,1.99,0.5965,0.05015,5509,
2456094.5975,0.37,2.22,0.6373,0.05039,4013,
2456344.81656,-6.35,1.6,0.6323,0.04945,7260,
2456347.86443,-4.46,1.47,0.5509,0.04972,6454,
2456352.84684,-3.15,1.56,0.4161,0.04915,7537,
2456355.82826,-1.64,1.62,0.473,0.04994,5795,
2456357.83352,0.88,2.26,0.7276,0.05083,3488,
2456433.68066,-9.55,1.96,0.5104,0.0495,5171,
2456435.64872,-3.37,1.79,0.502,0.04961,7090,
2456505.53671,-1.55,1.89,0.5166,0.05004,5215,
2456505.54627,-2.26,1.8,0.5029,0.05041,4960,
2456693.83985,-3.02,1.65,0.6546,0.04985,7995,
2456696.85337,-4.25,1.66,0.4446,0.04991,7582,
2456698.88682,1.17,2.02,0.5201,0.05064,4152,
2456729.81559,-1.66,1.47,0.4786,0.04997,7362,
2456733.82888,3.99,1.76,0.4666,0.04992,6573,
2456734.82708,-2.76,1.64,0.5633,0.05004,6805,
2456817.66181,-3.13,2.28,0.7852,0.05095,4477,
2457067.85988,1.33,1.67,0.482,0.04926,6457,
2457120.74646,-3.59,1.71,0.5834,0.04968,8725,
2457204.58631,2.37,1.65,0.4521,0.05029,7820,
2457265.48913,1.58,1.5,0.5086,0.05034,7955,
2457449.88976,1.41,1.51,0.4015,0.04978,11195,
2457500.82204,-6.79,1.69,0.5521,0.04979,8611,
2457534.66035,4.6,1.92,0.7042,0.05033,5762,
2457557.60976,-9.73,1.77,0.452,0.04921,8042,
2457626.49196,4,1.52,0.5047,0.04976,7897,
2457825.8283,-5.28,1.76,0.5633,0.04923,8850,
2457850.80439,-4.94,1.82,0.4754,0.05018,6916,
2458264.68979,-3.07,1.46,-1,-1,4145,
