8613.913,3.214,4.236,1.099,1.842,-0.666,3.137,0.077,1.333,30.713,25.821,3.331,8.603,8.107,2.623,0
8615.903,-10.914,-9.892,-4.397,-2.087,-2.179,-5.494,0.131,0.995,14.085,9.194,2.488,9.677,9.182,2.113,0
8617.920,-7.063,-6.040,2.237,2.092,-0.062,-8.278,-0.207,1.062,-2.717,-7.609,2.655,3.356,2.861,1.985,0
8635.837,9.643,10.665,5.407,3.578,3.566,5.259,1.737,1.295,26.692,21.801,3.236,-4.060,-4.556,2.705,0
8635.927,4.503,5.525,0.013,-1.936,-1.025,5.512,-2.975,1.584,8.194,3.302,3.961,2.040,1.544,3.341,0
8636.841,10.565,11.587,4.367,1.806,2.511,7.220,-0.051,1.015,11.953,7.061,2.537,1.378,0.883,2.333,0
8636.926,8.260,9.282,1.989,-0.564,-0.291,7.293,-2.844,1.193,14.402,9.510,2.981,1.652,1.156,2.467,0
8637.895,11.543,12.565,5.496,3.792,5.905,7.069,4.201,0.955,6.999,2.107,2.387,3.738,3.242,2.259,0
8638.850,3.990,5.013,-0.072,-0.133,2.236,5.085,2.176,1.374,14.480,9.588,3.436,5.695,5.200,2.997,0
8638.934,5.553,6.576,1.737,1.828,4.014,4.839,4.106,1.417,5.467,0.575,3.544,-2.805,-3.301,2.858,0
8640.821,-4.414,-3.391,-1.141,1.165,-3.469,-2.251,-1.163,1.226,-3.401,-8.292,3.065,1.135,0.639,2.656,0
8640.905,-4.219,-3.197,-0.611,1.715,-2.613,-2.586,-0.288,1.271,0.021,-4.870,3.177,6.222,5.727,2.245,0
8641.862,-9.306,-8.283,-2.209,-0.220,-3.445,-6.074,-1.456,1.453,-5.538,-10.430,3.633,-5.217,-5.713,3.226,0
8641.900,-8.171,-7.149,-0.954,1.002,-2.542,-6.195,-0.587,1.490,-18.889,-23.781,3.725,7.138,6.642,2.740,0
8642.844,-12.625,-11.603,-3.051,-2.357,-1.242,-8.552,-0.548,1.103,-10.910,-15.802,2.756,-0.186,-0.682,2.439,0
8642.905,-14.477,-13.455,-4.800,-4.209,-3.511,-8.655,-2.920,1.577,-16.460,-21.351,3.941,8.476,7.980,2.958,0
8643.936,-9.571,-8.549,0.861,-0.399,3.157,-9.410,1.898,1.046,-17.600,-22.492,2.616,-6.672,-7.167,2.125,0
8644.860,-4.991,-3.969,4.503,2.087,3.689,-8.472,1.273,1.191,-22.254,-27.146,2.976,-9.022,-9.517,2.472,0
8644.940,-5.642,-4.620,3.704,1.238,3.803,-8.324,1.338,1.770,-35.038,-39.929,4.426,0.201,-0.295,4.135,0
