2452013.6719,34.5,10.8
2452115.4885,41.4,11.2
2452327.6601,21.6,20.1
2452394.7006,24.7,7.9
2452446.5757,5.1,12.1
2452774.5654,-8.4,7.0
2453129.6370,35.1,8.0
2453167.5469,19.7,9.6
2453246.4146,19.9,10.5
2453371.7370,26.5,13.5
2453574.4866,11.2,9.9
2453871.6669,27.7,6.8
2453898.5605,-5.6,5.9
2453901.5821,-25.9,9.8
2453960.4494,-8.1,6.8
2453961.4655,-8.3,7.6
2454099.7852,-30.3,12.2
2454100.7608,-17.8,9.0
2454160.6721,-11.6,9.4
2454161.6960,-39.2,8.1
2454190.6825,-38.1,9.0
2454220.6272,-15.3,8.7
2454221.6003,-9.8,6.6
2454250.5700,-28.6,10.7
2454251.5607,3.8,11.5
2454252.5992,-21.9,13.3
2454276.5130,-30.9,8.4
2454309.4731,-19.4,11.2
2454311.4120,-33.1,10.6
2454338.3729,-18.6,7.6
2454339.3680,-20.8,8.8
2454369.3643,-7.7,8.4
2454515.6764,-6.2,8.4
2454544.6558,2.0,11.3
2454605.5149,-10.8,12.0
2454609.5743,11.8,8.0
2454669.5191,29.4,13.1
2454670.5210,20.9,11.1
2454691.4526,19.9,9.9
2454961.4455,30.6,7.7
2454962.4523,17.1,7.4
2455054.4531,35.8,13.4
2455434.3939,18.0,13.3
2455449.3543,18.1,14.5
2455600.7241,4.9,7.4
2455643.7032,-22.2,9.3
2455658.6217,-41.3,11.9
