2455542.631324,4.89154,0.02603,-0.28687,WASP-79
2455573.652438,5.11408,0.02252,-0.18772,WASP-79
2455595.619446,5.07679,0.02672,-0.29849,WASP-79
2455832.815108,4.99124,0.02797,-0.37918,WASP-79
2455856.855012,4.92584,0.03192,-0.27761,WASP-79
2455858.834904,4.98225,0.03153,-0.12749,WASP-79
2455863.739490,4.97720,0.02318,-0.26127,WASP-79
2455864.824779,4.86875,0.02363,-0.29010,WASP-79
2455865.671139,4.95910,0.02820,-0.37850,WASP-79
2455867.861631,4.95656,0.02413,-0.29576,WASP-79
2455868.672687,4.92277,0.02672,-0.29614,WASP-79
2455869.702680,5.02982,0.02656,-0.26118,WASP-79
2455870.842570,5.01187,0.02487,-0.25038,WASP-79
2455871.798208,4.91018,0.02492,-0.34197,WASP-79
2455872.788741,4.97244,0.02508,-0.38955,WASP-79
2455873.831867,5.08477,0.02600,-0.30532,WASP-79
2455874.830894,5.13314,0.04859,-0.60880,WASP-79
2455883.768962,4.94806,0.02524,-0.20400,WASP-79
2455886.775602,4.93363,0.03004,-0.37740,WASP-79
2455888.675896,5.06330,0.02584,-0.19020,WASP-79
2455925.653542,5.05721,0.01995,-0.21092,WASP-79
2455964.627451,5.04094,0.02164,-0.32185,WASP-79
