56084.6020,-22.454,0.005,0.003,HD220842,SOPHIE+
56087.6010,-22.471,0.011,0.017,HD220842,SOPHIE+
56108.6009,-22.496,0.004,0.005,HD220842,SOPHIE+
56119.5517,-22.507,0.005,0.002,HD220842,SOPHIE+
56120.5240,-22.510,0.005,0.011,HD220842,SOPHIE+
56121.4793,-22.514,0.005,0.008,HD220842,SOPHIE+
56164.5128,-22.623,0.006,0.014,HD220842,SOPHIE+
56203.4307,-22.513,0.004,-0.003,HD220842,SOPHIE+
56225.3115,-22.442,0.004,0.014,HD220842,SOPHIE+
56252.2837,-22.432,0.004,0.014,HD220842,SOPHIE+
56285.3003,-22.453,0.005,0.011,HD220842,SOPHIE+
56486.5463,-22.470,0.005,0.012,HD220842,SOPHIE+
56518.6041,-22.498,0.005,0.005,HD220842,SOPHIE+
56519.5742,-22.497,0.005,0.006,HD220842,SOPHIE+
56554.4515,-22.543,0.004,-0.001,HD220842,SOPHIE+
56587.3166,-22.623,0.005,0.003,HD220842,SOPHIE+
56588.2650,-22.620,0.006,-0.005,HD220842,SOPHIE+
56589.4703,-22.625,0.005,0.010,HD220842,SOPHIE+
56590.3075,-22.635,0.006,0.002,HD220842,SOPHIE+
56591.3683,-22.633,0.005,-0.003,HD220842,SOPHIE+
56610.4386,-22.687,0.005,0.020,HD220842,SOPHIE+
56612.2732,-22.692,0.007,0.017,HD220842,SOPHIE+
56622.3415,-22.665,0.005,-0.002,HD220842,SOPHIE+
56627.3471,-22.638,0.005,0.015,HD220842,SOPHIE+
56631.2812,-22.606,0.005,0.008,HD220842,SOPHIE+
56654.2197,-22.502,0.005,0.004,HD220842,SOPHIE+
56657.2398,-22.491,0.005,0.009,HD220842,SOPHIE+
56672.2376,-22.477,0.005,0.011,HD220842,SOPHIE+
56680.2764,-22.478,0.005,0.016,HD220842,SOPHIE+
56706.2553,-22.490,0.005,0.021,HD220842,SOPHIE+
56847.5621,-22.663,0.005,0.013,HD220842,SOPHIE+
56914.5201,-22.504,0.005,0.014,HD220842,SOPHIE+
56940.3525,-22.522,0.005,0.001,HD220842,SOPHIE+
56999.2998,-22.604,0.007,0.005,HD220842,SOPHIE+
57030.2475,-22.679,0.005,-0.008,HD220842,SOPHIE+
57030.2523,-22.688,0.004,0.013,HD220842,SOPHIE+
57051.2323,-22.731,0.006,0.012,HD220842,SOPHIE+
57055.2405,-22.712,0.006,-0.007,HD220842,SOPHIE+
57065.2525,-22.679,0.005,-0.011,HD220842,SOPHIE+
57071.2552,-22.623,0.007,0.006,HD220842,SOPHIE+
57079.2624,-22.594,0.007,0.002,HD220842,SOPHIE+
57081.2682,-22.573,0.005,0.003,HD220842,SOPHIE+
