2459179.784703,-5.78804,0.00481,6.60745,0.00481,0.04822,0.00481,47.54407,4.80810,---,---,---,---,HARPS
2459180.753294,-5.77559,0.00474,6.61544,0.00474,0.04996,0.00474,47.40482,4.74282,---,---,---,---,HARPS
2459181.755740,-5.77961,0.00509,6.63599,0.00509,0.05503,0.00509,47.15883,5.09199,---,---,---,---,HARPS
2459188.772242,-5.73313,0.00524,6.64006,0.00524,0.05284,0.00524,47.14465,5.24392,---,---,---,---,HARPS
2459189.737605,-5.72191,0.00488,6.65528,0.00488,0.04724,0.00488,47.21540,4.88287,---,---,---,---,HARPS
2459190.774719,-5.72913,0.00491,6.66311,0.00491,0.05196,0.00491,47.22585,4.90930,---,---,---,---,HARPS
2459203.756402,-5.66422,0.00384,6.61345,0.00384,0.04381,0.00384,47.71425,3.83516,---,---,---,---,HARPS
2459204.704047,-5.66096,0.00451,6.60254,0.00451,0.04781,0.00451,47.71772,4.50561,---,---,---,---,HARPS
2459210.716224,-5.64664,0.00417,6.60961,0.00417,0.06847,0.00417,47.54183,4.16624,---,---,---,---,HARPS
2459222.706727,-5.58857,0.00411,6.63201,0.00411,0.05803,0.00411,47.60207,4.10857,---,---,---,---,HARPS
2459223.683581,-5.59025,0.00481,6.62472,0.00481,0.06000,0.00481,47.65663,4.80520,---,---,---,---,HARPS
2459225.719832,-5.59571,0.00459,6.60301,0.00459,0.05644,0.00459,47.76720,4.58768,---,---,---,---,HARPS
2459226.713822,-5.59591,0.00474,6.59736,0.00474,0.05585,0.00474,47.80061,4.73746,---,---,---,---,HARPS
2459227.705311,-5.58653,0.00513,6.60968,0.00513,0.05561,0.00513,47.66188,5.13328,---,---,---,---,HARPS
2459228.716277,-5.57908,0.00538,6.60309,0.00538,0.05153,0.00538,47.74645,5.38270,---,---,---,---,HARPS
2459230.654906,-5.58083,0.00484,6.61885,0.00484,0.04833,0.00484,47.59680,4.83524,---,---,---,---,HARPS
