,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
29,K2-141 b,K2-141,SE,1,2,0.2803244,0.00747,1.51,0.13471341,4.97,0.01563737,0.0,0.1,-0.1,,4570.0,0.681,0.708,0.0,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
30,K2-141 c,K2-141,SE,1,2,7.7485,0.0683,7.0,0.62449925,8.0,0.02517081,0.092,0.1,-0.1,,4570.0,0.681,0.708,0.0,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
31,TYC 3667-1280-1 b,TYC 3667-1280-1,WJ,1,1,26.468,0.21,,,1716.282,5.4,0.036,0.043,-0.014,,5130.0,6.26,1.87,-0.08,1.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...589L...1N/abstract target=ref>Niedzielski et al. 2016</a>
32,HAT-P-60 b,HAT-P-60,HJ,1,1,4.7947813,0.06277,18.28184752,1.631,182.43350562,0.574,0.25,0.1,-0.1,,6212.0,2.197,1.435,0.037,1.0,1.0,Transit,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>
33,K2-100 b,K2-100,HS,1,1,1.6739035,0.0301,3.88,0.34615101,21.8,0.06859047,0.0,0.1,-0.1,G0 V,5945.0,1.24,1.15,0.22,1.0,1.0,Transit,<a refstr=BARRAG_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..698B/abstract target=ref>Barrag&aacute;n et al. 2019</a>
34,xi Aql b,xi Aql,WJ,1,1,136.97,0.625,,,616.90493799,1.941,0.059,0.087,-0.037,K0 III,4841.0,10.86,1.74,-0.11,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>
35,K2-199 b,K2-199,SE,1,2,3.2253993,0.0382,1.73,0.15434053,6.9,0.02170983,0.02,0.03,-0.02,,4491.0,0.682,0.711,-0.01,1.0,0.0,Transit,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>
36,K2-199 c,K2-199,SE,1,2,7.3744897,0.0662,2.85,0.25426041,12.4,0.03901476,0.03,0.06,-0.03,,4491.0,0.682,0.711,-0.01,1.0,0.0,Transit,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>
37,gam1 Leo b,gam1 Leo,CJ,2,1,428.5,1.19,,,2790.43,8.78,0.144,0.046,-0.046,,4330.0,31.88,1.23,-0.51,1.0,0.0,Radial Velocity,<a refstr=HAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...509A..24H/abstract target=ref> Han et al. 2010 </a>
38,K2-265 b,K2-265,SE,2,1,2.369172,0.03376,1.71,0.15255598,6.54,0.02057704,0.084,0.079,-0.079,G8 V,5477.0,0.977,0.915,0.078,1.0,0.0,Transit,<a refstr=LAM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A..77L/abstract target=ref>Lam et al. 2018</a>
39,rho CrB b,rho CrB,WJ,1,4,39.8438,0.2245,,,347.38644885,1.093,0.038,0.0025,-0.0025,,5817.0,1.34,0.95,-0.2,2.0,0.0,Radial Velocity,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>
40,rho CrB c,rho CrB,CS,1,4,102.19,0.4206,,,28.2,0.08872712,0.096,0.053,-0.054,,5817.0,1.34,0.95,-0.2,1.0,0.0,Radial Velocity,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>
41,rho CrB d,rho CrB,CS,1,4,282.2,0.827,,,21.6,0.0679612,0.0,0.1,-0.1,,5817.0,1.34,0.95,-0.2,1.0,1.0,Radial Velocity,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>
42,rho CrB e,rho CrB,SE,1,4,12.949,0.1061,,,3.79,0.01192467,0.126,0.054,-0.078,,5817.0,1.34,0.95,-0.2,1.0,0.0,Radial Velocity,<a refstr=BREWER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230606888B/abstract target=ref>Brewer et al. 2023</a>
43,HAT-P-50 b,HAT-P-50,HJ,1,1,3.1220109,0.0453,14.437192,1.288,429.0705,1.35,0.115,0.1,-0.1,,6280.0,1.698,1.273,-0.18,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015AJ....150..168H/abstract target=ref>Hartman et al. 2015</a>
44,BD-08 2823 b,BD-08 2823,SE,1,2,5.6,0.056,,,14.4,0.045,0.15,0.15,-0.15,K3 V,4746.0,,0.74,-0.07,1.0,0.0,Radial Velocity,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>
45,BD-08 2823 c,BD-08 2823,CS,1,2,237.6,0.68,,,104.0,0.33,0.19,0.09,-0.09,K3 V,4746.0,,0.74,-0.07,1.0,0.0,Radial Velocity,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>
46,K2-38 b,K2-38,SE,1,2,4.01593,0.0503,1.655,0.14764946,7.7,0.02422691,0.11,0.1,-0.1,,5705.0,1.141,1.054,0.235,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
47,K2-38 c,K2-38,SE,1,2,10.56103,0.0959,2.49,0.2221433,7.4,0.023283,0.086,0.1,-0.1,,5705.0,1.141,1.054,0.235,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
48,K2-167 b,K2-167,SE,1,1,9.97748,0.091,2.3,0.20519261,6.5,0.02045129,0.47,0.1,-0.1,,6011.0,1.494,1.01,-0.4,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
49,tau Boo b,tau Boo,HJ,2,1,3.3124568,0.049,,,1373.0256,4.32,0.011,0.006,-0.006,,6466.27,1.42588,1.32,0.2642,1.0,0.0,Radial Velocity,<a refstr=BORSA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...578A..64B/abstract target=ref>Borsa et al. 2015</a>
50,K2-280 b,K2-280,CS,1,1,19.89526,0.1461,7.5,0.66910634,37.1,0.11672965,0.35,0.05,-0.04,,5500.0,1.28,1.03,0.33,1.0,0.0,Transit,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>
51,ome Ser b,ome Ser,WJ,2,1,278.59,0.838,,,233.92170755,0.736,0.18,0.066,-0.127,G8 III,4724.0,10.99,1.01,-0.12,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>
52,bet UMi b,bet UMi,CJ,1,1,522.3,1.4,,,1938.7,6.1,0.19,0.02,-0.02,K4 III,4126.0,38.3,1.4,-0.27,1.0,0.0,Radial Velocity,<a refstr=LEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...566A..67L/abstract target=ref> Lee et al. 2014</a>
53,HAT-P-24 b,HAT-P-24,HJ,2,1,3.3552479,0.04651,13.921578,1.242,229.79109,0.723,0.038,0.1,-0.1,,6373.0,1.317,1.191,-0.16,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
54,TYC 4282-00605-1 b,TYC 4282-00605-1,WJ,1,1,101.54,0.422,,,3426.2074,10.78,0.28,0.01,-0.01,,4300.0,16.21,0.97,-0.07,1.0,0.0,Radial Velocity,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..51G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2017</a>
55,HAT-P-66 b,HAT-P-66,HJ,1,1,2.972086,0.04363,17.82231,1.59,248.86089,0.783,0.09,0.1,-0.1,G0,6002.0,1.881,1.255,0.035,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..182H/abstract target=ref>Hartman et al. 2016</a>
56,HAT-P-13 b,HAT-P-13,HJ,1,2,2.9162381,0.0438407579414779,,,285.72917,0.899,0.0133,0.0047,-0.0044,,,,1.32,0.46,1.0,0.0,Transit,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>
57,HAT-P-13 c,HAT-P-13,CJ,1,2,445.82,1.258,,,4643.3,14.61,0.6551,0.0021,-0.0021,,,,1.32,0.46,7.0,0.0,Radial Velocity,<a refstr=KNUTSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..126K/abstract target=ref> Knutson et al. 2014 </a>
58,HAT-P-34 b,HAT-P-34,HJ,1,1,5.452654,0.06774,13.417173,1.197,1058.3739,3.33,0.432,0.029,-0.027,,6442.0,1.53,1.392,0.22,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
59,HAT-P-18 b,HAT-P-18,HS,1,1,5.508023,0.0559,11.153,0.995,62.61,0.197,0.084,0.048,-0.048,K2,4803.0,0.749,0.77,0.1,1.0,0.0,Transit,<a refstr=HARTMAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726...52H/abstract target=ref> Hartman et al. 2011 </a>
60,HAT-P-12 b,HAT-P-12,HS,1,1,3.2130598,0.0384,10.749,0.959,67.059,0.211,0.0,0.1,-0.1,K4,4650.0,0.701,0.733,-0.29,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>
61,HAT-P-31 b,HAT-P-31,HJ,1,1,5.005425,0.061,11.99363,1.07,682.38101,2.147,0.2617,0.0093,-0.0095,,6070.0,1.36,1.218,0.15,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
62,K2-25 b,K2-25,HS,1,1,3.48456408,0.0287,3.44,0.306,24.5,0.07708562,0.428,0.05,-0.049,M4.5 V,3207.0,0.2932,0.2634,0.15,1.0,0.0,Transit,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>
63,HAT-P-44 b,HAT-P-44,HS,1,2,4.301219,0.0507,13.922,1.242,111.871,0.352,0.044,0.052,-0.052,,5295.0,0.949,0.942,0.33,1.0,0.0,Transit,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>
64,HAT-P-44 c,HAT-P-44,CJ,1,2,872.2,1.752,,,1271.3,4.0,0.494,0.081,-0.081,,5295.0,0.949,0.942,0.33,3.0,0.0,Radial Velocity,<a refstr=HARTMAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..128H/abstract target=ref> Hartman et al. 2014 </a>
65,eps CrB b,eps CrB,CJ,1,1,417.9,1.3,,,2129.461,6.7,0.11,0.03,-0.03,K2 III,4406.0,21.0,1.7,-0.094,1.0,0.0,Radial Velocity,<a refstr=LEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...546A...5L/abstract target=ref> Lee et al. 2012 </a>
66,KELT-19 A b,KELT-19 A,HJ,2,1,4.6117093,0.0637,21.40919,1.91,1293.5681,4.07,,0.1,-0.1,A8 V,7500.0,1.83,1.62,-0.12,1.0,0.0,Transit,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>
67,WASP-94 A b,WASP-94 A,HS,2,2,3.9501907,0.055,19.28,1.72,143.653,0.452,0.13,0.1,-0.1,F8,6153.0,1.62,1.45,0.26,1.0,1.0,Transit,<a refstr=NEVEU_VANMALLE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..49N/abstract target=ref>Neveu-VanMalle et al. 2014</a>
68,K2-263 b,K2-263,SE,1,1,50.818947,0.2573,2.41,0.21500617,14.9,0.04688064,0.15,0.1,-0.1,,5368.0,0.85,0.88,-0.08,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
69,HAT-P-33 b,HAT-P-33,HJ,2,1,3.474474,0.04995,18.898374,1.686,209.7678,0.66,0.22,0.1,-0.1,,6446.0,1.637,1.375,0.05,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
70,K2-419 A b,K2-419 A,WJ,2,1,20.35847252,0.1208,10.55,0.941,196.0,0.617,0.042,0.045,-0.029,,3711.0,0.541,0.562,-0.11,1.0,0.0,Transit,<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>
71,ups And b,ups And,HJ,2,3,4.617033,0.05922166,,,218.531,0.6876,0.0215,0.0007,-0.0007,F8 V,,1.56,1.3,,1.0,0.0,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
72,ups And c,ups And,WJ,2,3,241.258,0.827774,,,629.595,1.981,0.2596,0.0079,-0.0079,F8 V,,1.56,1.3,,7.0,0.0,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
73,ups And d,ups And,CJ,2,3,1276.46,2.51329,,,1313.22,4.132,0.2987,0.0072,-0.0072,F8 V,,1.56,1.3,,77.0,0.0,Radial Velocity,<a refstr=CURIEL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...525A..78C/abstract target=ref> Curiel et al. 2011 </a>
74,BD-11 4672 b,BD-11 4672,CJ,1,2,1634.0,2.36,,,206.5895,0.65,0.05,0.05,-0.03,,4550.0,0.639,0.651,-0.35,2.0,0.0,Radial Velocity,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
75,BD-11 4672 c,BD-11 4672,SE,1,2,74.2,0.3,,,15.37,0.04835919,0.4,0.13,-0.15,,4550.0,0.639,0.651,-0.35,1.0,0.0,Radial Velocity,<a refstr=BARBATO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...641A..68B/abstract target=ref>Barbato et al. 2020</a>
76,HAT-P-21 b,HAT-P-21,HJ,1,1,4.124481,0.0495,11.478016,1.024,1261.7851,3.97,0.217,0.01,-0.01,,5588.0,1.105,0.947,0.01,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
77,HAT-P-69 b,HAT-P-69,HJ,1,1,4.7869491,0.06555,18.786284,1.676,1137.8314,3.58,0.0,0.1,-0.1,,7394.0,1.926,1.648,-0.069,1.0,1.0,Transit,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..141Z/abstract target=ref>Zhou et al. 2019</a>
