,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
95,gam Psc b,gam Psc,CJ,1,1,555.1,1.32,,,425.89006538,1.34,0.204,0.114,-0.141,G7 III,4742.0,11.2,0.99,-0.62,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>
96,GJ 676 A b,GJ 676 A,CJ,2,4,1051.44521,1.735,,,1840.86213334,5.792,0.319,0.003,-0.003,,,,0.626,,4.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
97,GJ 676 A c,GJ 676 A,CJ,2,4,13921.42302,9.726,,,4288.14086724,13.492,0.295,0.033,-0.049,,,,0.626,,52.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
98,GJ 676 A d,GJ 676 A,SE,2,4,3.60076,0.039,,,3.81394088,0.012,0.192,0.073,-0.079,,,,0.626,,1.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
99,GJ 676 A e,GJ 676 A,SE,2,4,35.47358,0.181,,,6.67439655,0.021,0.152,0.086,-0.06,,,,0.626,,1.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>
100,eps Eri b,eps Eri,CJ,1,1,2502.1,3.4,,,540.311,1.7,0.608,0.041,-0.041,,,,0.85,,1.0,0.0,Radial Velocity,<a refstr=HATZES_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000ApJ...544L.145H/abstract target=ref> Hatzes et al. 2000 </a>
101,eps Eri b,eps Eri,CJ,1,1,2671.0,3.53,,,209.76674862,0.66,0.07,0.07,-0.05,K2 V,,,0.82,,1.0,0.0,Radial Velocity,<a refstr=LLOP_SAYSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..181L/abstract target=ref>Llop-Sayson et al. 2021</a>
102,HAT-P-17 b,HAT-P-17,HJ,1,2,10.338523,0.0882,11.32109,1.01,170.67471,0.537,0.3417,0.0036,-0.0036,,5246.0,0.837,0.857,0.0,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
103,HAT-P-17 c,HAT-P-17,CJ,1,2,3972.0,4.67,,,915.3504,2.88,0.295,0.021,-0.021,,5246.0,0.837,0.857,0.0,7.0,0.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
104,K2-329 b,K2-329,CS,1,1,12.4551225,0.1016,8.675766,0.774,82.6358,0.26,0.0697,0.041,-0.04,,5282.0,0.822,0.901,0.098,1.0,0.0,Transit,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>
105,K2-12 b,K2-12,SE,1,1,8.28246,0.0792,2.44,0.21768259,5.2,0.01636103,0.5,0.1,-0.1,,5672.0,1.117,0.965,0.0,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
106,K2-110 b,K2-110,SE,1,1,13.86375,0.10207,2.592,0.23124315,15.9,0.05002699,0.13,0.1,-0.1,,5010.0,0.713,0.738,-0.34,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
107,HAT-P-32 b,HAT-P-32,HJ,2,1,2.15000825,0.03427,20.052901,1.789,238.3725,0.75,0.044,0.1,-0.1,,6207.0,1.219,1.16,-0.04,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
108,HAT-P-61 b,HAT-P-61,HJ,1,1,1.90231289,0.0301,10.07687365,0.899,335.9446262,1.057,0.113,0.1,-0.1,,5587.0,0.938,1.004,0.194,1.0,1.0,Transit,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>
109,gam Cep b,gam Cep,CJ,2,1,913.0,1.9955066636344956,,,2097.6674862,6.6,0.15,0.07,-0.05,K1 III-IV,4775.0,4.74,1.27,0.18,1.0,0.0,Radial Velocity,<a refstr=KNUDSTRUP_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.197K/abstract target=ref>Knudstrup et al. 2023</a>
110,GJ 160.2 b,GJ 160.2,SE,1,1,5.2354,0.053,,,10.2,0.03209263,0.06,0.2,-0.06,M0 V,4347.0,,0.69,,1.0,0.0,Radial Velocity,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>
111,TYC 1422-614-1 b,TYC 1422-614-1,WJ,1,2,198.4,0.69,,,794.5,2.5,0.06,0.06,-0.02,,4806.0,6.85,1.15,-0.2,1.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A..36N/abstract target=ref>Niedzielski et al. 2015</a>
