,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
22,22,TIC 139270665 c,TIC 139270665,CJ,1,2,1010.0,2.0,,,1554.18091023,4.89,0.566,0.12,-0.069,G2,5844.0,1.016,1.035,0.156,5.0,0.0,Radial Velocity,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,457.9039599997923,59.0
23,23,Kepler-93 b,Kepler-93,SE,1,2,4.72673978,0.05343,1.478,0.13185856,4.66,0.014662,0.0,0.1,-0.1,,5669.0,0.919,0.911,-0.18,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3016.7598639999997,121.0
24,24,Kepler-93 c,Kepler-93,CJ,1,2,1460.0,2.441858299493588,,,954.0,3.0,,0.1,-0.1,,5669.0,0.92,0.91,-0.18,2.0,0.0,Radial Velocity,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,3016.7598639999997,121.0
25,25,Kepler-94 b,Kepler-94,SE,1,2,2.50806,0.0336918644345068,3.51,0.313,10.84,0.034,,0.1,-0.1,,4781.0,0.76,0.81,0.34,1.0,0.0,Transit,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,798.9201810000004,29.0
26,26,Kepler-94 c,Kepler-94,CJ,1,2,820.3,1.5993673932525228,,,3126.0,9.836,,0.1,-0.1,,4781.0,0.76,0.81,0.34,2.0,0.0,Radial Velocity,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,798.9201810000004,29.0
27,27,Kepler-68 b,Kepler-68,SE,2,4,5.39875259,0.06135,2.357,0.21027782,8.03,0.02526521,0.09,0.1,-0.1,,5847.0,1.2564,1.057,0.11,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2311.771073,143.0
28,28,Kepler-68 c,Kepler-68,SE,2,4,9.605027,0.09008,0.979,0.08734068,1.3,0.00409026,0.099,0.1,-0.1,,5847.0,1.2564,1.057,0.11,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2311.771073,143.0
29,29,Kepler-68 d,Kepler-68,CJ,2,4,632.62,1.469,,,238.05347684,0.749,0.102,0.016,-0.016,,5847.0,1.2564,1.057,0.11,4.0,0.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2311.771073,143.0
30,30,Kepler-68 e,Kepler-68,CS,2,4,3455.0,4.6,,,86.4493267,0.272,0.33,0.11,-0.11,,5847.0,1.2564,1.057,0.11,1.0,0.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2311.771073,143.0
31,31,Kepler-56 b,Kepler-56,CS,1,3,10.5016,0.1028,6.51,0.581,22.1,0.07,,0.1,-0.1,,4840.0,4.23,1.32,0.2,1.0,0.0,Transit,<a refstr=HUBER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...342..331H/abstract target=ref> Huber et al. 2013 </a>,1489.7699999999968,43.0
32,32,Kepler-56 c,Kepler-56,WJ,1,3,21.40239,0.1652,9.8,0.874,181.0,0.57,,0.1,-0.1,,4840.0,4.23,1.32,0.2,5.0,0.0,Transit,<a refstr=HUBER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...342..331H/abstract target=ref> Huber et al. 2013 </a>,1489.7699999999968,43.0
33,33,Kepler-56 d,Kepler-56,CJ,1,3,1002.0,2.16,,,1784.0,5.61,0.2,0.01,-0.01,,4819.44,4.21799,,0.3631,55.0,0.0,Radial Velocity,<a refstr=OTOR_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..165O/abstract target=ref>Otor et al. 2016</a>,1489.7699999999968,43.0
34,34,Kepler-539 b,Kepler-539,WJ,1,2,125.63243,0.4988,8.373123,0.747,308.2951,0.97,0.39,0.1,-0.1,G2 V,5820.0,0.952,1.048,-0.01,1.0,1.0,Transit,<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...590A.112M/abstract target=ref>Mancini et al. 2016</a>,1149.8445959000019,20.0
35,35,Kepler-539 c,Kepler-539,CJ,1,2,1000.0,2.42,,,762.792,2.4,0.5,0.1,-0.1,G2 V,5820.0,0.952,1.048,-0.01,11.0,0.0,Transit Timing Variations,<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...590A.112M/abstract target=ref>Mancini et al. 2016</a>,1149.8445959000019,20.0
36,36,Kepler-48 b,Kepler-48,SE,1,5,4.778,0.0532267249391405,1.88,0.16772237,3.94,0.01239656,,0.1,-0.1,,5194.0,0.89,0.88,0.17,1.0,0.0,Transit,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,4670.963840000001,59.0
37,37,Kepler-48 c,Kepler-48,SE,1,5,9.67395,0.0851859962179406,2.71,0.24177001,14.61,0.04596797,,0.1,-0.1,,5194.0,0.89,0.88,0.17,1.0,0.0,Transit,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,4670.963840000001,59.0
38,38,Kepler-48 d,Kepler-48,SE,1,5,42.8961,0.2299204074722919,2.04,0.182,7.93,0.025,,0.1,-0.1,,5194.0,0.89,0.88,0.17,1.0,0.0,Transit,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,4670.963840000001,59.0
39,39,Kepler-48 e,Kepler-48,CJ,1,5,982.0,1.8537022323352297,,,657.0,2.067,,0.1,-0.1,,5194.0,0.89,0.88,0.17,8.0,0.0,Radial Velocity,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,4670.963840000001,59.0
40,40,Kepler-48 f,Kepler-48,CJ,1,5,5219.681854,5.719187877,,,298.5809968,0.93944088,0.015283,0.13506,-0.13506,,,,0.916,,104.0,0.0,Radial Velocity,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,4670.963840000001,59.0
41,41,Kepler-454 b,Kepler-454,SE,2,3,10.5737534,0.09528,2.37,0.2114376,5.4,0.0169903,0.32,0.1,-0.1,,5687.0,1.066,1.03,0.32,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3021.79172,111.0
42,42,Kepler-454 c,Kepler-454,CJ,2,3,524.19,1.287,,,1433.40611557,4.51,0.0053,0.1,-0.1,,5687.0,1.066,1.03,0.32,2.0,1.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3021.79172,111.0
43,43,Kepler-454 d,Kepler-454,CJ,2,3,4073.0,5.1,,,734.18362017,2.31,0.089,0.036,-0.027,,5687.0,1.066,1.03,0.32,26.0,0.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3021.79172,111.0
44,44,Kepler-432 b,Kepler-432,WJ,2,2,52.501129,0.301,12.834305,1.145,1719.4603,5.41,0.5134,0.0098,-0.0089,,4995.0,4.06,1.32,-0.07,1.0,0.0,Transit,<a refstr=QUINN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803...49Q/abstract target=ref>Quinn et al. 2015</a>,1182.7928300000003,84.0
45,45,Kepler-432 c,Kepler-432,CJ,2,2,406.2,1.1780290859792035,,,772.3269,2.43,0.498,0.029,-0.059,,4995.0,4.06,1.32,-0.07,11.0,0.0,Radial Velocity,<a refstr=QUINN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803...49Q/abstract target=ref>Quinn et al. 2015</a>,1182.7928300000003,84.0
46,46,Kepler-424 b,Kepler-424,HJ,1,2,3.3118644,0.044,9.98,0.89,327.35,1.03,,0.1,-0.1,,5460.0,0.94,1.01,0.44,1.0,0.0,Transit,<a refstr=ENDL_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795..151E/abstract target=ref>Endl et al. 2014</a>,653.2171999998391,27.0
47,47,Kepler-424 c,Kepler-424,WJ,1,2,223.3,0.73,,,2215.18,6.97,,0.1,-0.1,,5460.0,0.94,1.01,0.44,7.0,0.0,Radial Velocity,<a refstr=ENDL_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795..151E/abstract target=ref>Endl et al. 2014</a>,653.2171999998391,27.0
48,48,Kepler-407 b,Kepler-407,SE,1,2,0.66931,0.0149815345274591,1.07,0.095,3.2,0.01006828,,0.1,-0.1,,5476.0,1.01,1.0,0.33,1.0,0.0,Transit,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,749.9061810000003,17.0
49,49,Kepler-407 c,Kepler-407,CJ,1,2,3000.0,4.072729754740077,,,4000.0,12.6,,0.1,-0.1,,5476.0,1.01,1.0,0.33,2.0,0.0,Radial Velocity,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,749.9061810000003,17.0
50,50,KOI-142 b,KOI-142,SE,1,3,10.91647,0.0960294936654161,3.438,0.30671782,9.5,0.03,0.05561,0.00013,-0.00013,,5466.0,0.897,0.99,0.27,1.0,0.0,Transit,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,2438.1089709999997,55.0
51,51,KOI-142 c,KOI-142,WJ,1,3,22.26492,0.1544414656995748,,,214.1,0.674,0.05724,0.00045,-0.00045,,5466.0,0.897,0.99,0.27,2.0,0.0,Transit Timing Variations,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,2438.1089709999997,55.0
52,52,Kepler-88 d,KOI-142,CJ,1,3,1403.0,2.445616012539326,,,965.14699656,3.0504646,0.41,0.03,-0.03,,5466.0,0.897,0.99,0.27,22.0,0.0,Radial Velocity,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,2438.1089709999997,55.0
53,53,HIP 65407 b,HIP 65407,CS,1,2,28.125,0.177,,,136.03124,0.428,0.14,0.07,-0.07,K0,5460.0,,0.93,0.25,1.0,0.0,Radial Velocity,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,1516.8957999999984,65.0
54,54,HIP 65407 c,HIP 65407,WJ,1,2,67.3,0.316,,,249.17872,0.784,0.12,0.04,-0.04,K0,5460.0,,0.93,0.25,5.0,0.0,Radial Velocity,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,1516.8957999999984,65.0
55,55,HIP 14810 b,HIP 14810,HJ,1,3,6.673892,0.0696,,,1239.537,3.9,0.14399,0.00087,-0.00087,G5,5544.0,1.07,1.01,0.24,1.0,0.0,Radial Velocity,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,4072.093999999999,85.0
56,56,HIP 14810 c,HIP 14810,WJ,1,3,147.747,0.549,,,416.3573,1.31,0.1566,0.0099,-0.0099,G5,5544.0,1.07,1.01,0.24,7.0,0.0,Radial Velocity,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,4072.093999999999,85.0
57,57,HIP 14810 d,HIP 14810,CJ,1,3,981.8,1.94,,,187.5197,0.59,0.185,0.035,-0.035,G5,5544.0,1.07,1.01,0.24,77.0,0.0,Radial Velocity,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,4072.093999999999,85.0
58,58,HD 99706 b,HD 99706,CJ,1,2,841.0,1.98,,,390.9309,1.23,0.25,0.16,-0.16,,4862.0,5.52,1.46,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,3159.5819999999985,37.0
59,59,HD 99706 c,HD 99706,CJ,1,2,1278.0,2.7627068757200424,,,1808.4527,5.69,0.411,0.231,-0.178,,,,1.72,,13.0,0.0,Radial Velocity,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,3159.5819999999985,37.0
60,60,HD 9446 b,HD 9446,WJ,1,2,30.052,0.189,,,222.472,0.7,0.2,0.06,-0.06,G5 V,5793.0,1.0,1.0,0.09,1.0,0.0,Radial Velocity,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...513A..69H/abstract target=ref> Hebrard et al. 2010 </a>,850.81119999988,79.0
61,61,HD 9446 c,HD 9446,WJ,1,2,192.9,0.654,,,578.426,1.82,0.06,0.06,-0.06,G5 V,5793.0,1.0,1.0,0.09,11.0,0.0,Radial Velocity,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...513A..69H/abstract target=ref> Hebrard et al. 2010 </a>,850.81119999988,79.0
62,62,HD 92788 b,HD 92788,WJ,1,2,325.803,0.97,,,1195.0408,3.76,0.35,0.004,-0.005,G6 V,5744.0,1.14,1.15,0.27,1.0,0.0,Radial Velocity,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,850.81119999988,79.0
63,63,HD 92788 c,HD 92788,CJ,1,2,11611.2975,10.5,,,1166.4361,3.67,0.46,0.12,-0.03,G6 V,5744.0,1.14,1.15,0.27,11.0,0.0,Radial Velocity,<a refstr=RICKMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..71R/abstract target=ref>Rickman et al. 2019</a>,850.81119999988,79.0
64,64,HD 83443 b,HD 83443,HS,1,2,2.985628,0.0406,,,127.76701961,0.402,0.012,0.007,-0.006,K0 V,5442.0,0.94,1.0,0.34,1.0,0.0,Radial Velocity,<a refstr=ERRICO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..273E/abstract target=ref>Errico et al. 2022</a>,8055.808972389903,148.0
65,65,HD 83443 c,HD 83443,CJ,1,2,8241.0,8.0,,,476.7426105,1.5,0.76,0.046,-0.047,K0 V,5442.0,0.94,1.0,0.34,3.0,0.0,Radial Velocity,<a refstr=ERRICO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..273E/abstract target=ref>Errico et al. 2022</a>,8055.808972389903,148.0
66,66,HD 80653 b,HD 80653,SE,1,2,0.719573,0.01661,1.613,0.14390247,5.72,0.01799713,0.0,0.1,-0.1,,5959.0,1.22,1.18,0.255,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,932.7346529999995,207.0
67,67,K2-312 c,HD 80653,CJ,1,2,921.2,1.961,,,1719.45168187,5.41,0.853,0.011,-0.011,,5959.0,1.22,1.18,0.255,2.0,0.0,Radial Velocity,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,932.7346529999995,207.0
68,68,HD 75898 b,HD 75898,CJ,1,2,422.82,1.2025,,,810.46243785,2.55,0.105,0.009,-0.009,F8 V,6122.0,,1.295,0.29,1.0,0.0,Radial Velocity,<a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>,3798.7000000000044,122.0
69,69,HD 75898 c,HD 75898,CJ,1,2,6717.0,7.39,,,2698.36317543,8.49,0.08,0.01,-0.01,F8 V,6122.0,,1.295,0.29,13.0,0.0,Radial Velocity,<a refstr=RUGGIERI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.235R/abstract target=ref>Ruggieri et al. 2024</a>,3798.7000000000044,122.0
70,70,HD 75784 b,HD 75784,CJ,1,2,341.2,1.032,,,317.83,1.0,0.097,0.063,-0.063,,4867.0,3.4,1.26,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,4701.218999999999,88.0
71,71,HD 75784 c,HD 75784,CJ,1,2,7900.0,8.4,,,1792.5612,5.64,0.489,0.092,-0.092,,4867.0,3.4,1.26,,13.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,4701.218999999999,88.0
