,pl_name,hostname,pl_type,sy_snum,sy_pnum,companion_type,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_mass,st_met,discoverymethod
46,Kepler-48 e,Kepler48,CJ,1,5,8.0,982.0,1.8537022323352295,,,657.0,2.067,,0.1,-0.1,0.88,0.17,Radial Velocity
47,Kepler-48 f,Kepler48,CJ,1,5,104.0,5219.681854,5.719187877,,,298.5809968,0.93944088,0.015283,0.13506,-0.13506,0.916,0.17,Radial Velocity
48,Kepler-454 b,Kepler454,SE,2,3,1.0,10.5737534,0.09528,2.37,0.2114376,5.4,0.0169903,0.32,0.1,-0.1,1.03,0.32,Transit
49,Kepler-454 c,Kepler454,CJ,2,3,2.0,524.19,1.287,,,1433.40611557,4.51,0.0053,0.1,-0.1,1.03,0.32,Radial Velocity
50,Kepler-454 d,Kepler454,CJ,2,3,26.0,4073.0,5.1,,,734.18362017,2.31,0.089,0.036,-0.027,1.03,0.32,Radial Velocity
51,Kepler-432 b,Kepler432,WJ,2,2,1.0,52.501129,0.301,12.834305,1.145,1719.4603,5.41,0.5134,0.0098,-0.0089,1.32,-0.07,Transit
52,Kepler-432 c,Kepler432,CJ,2,2,11.0,406.2,1.1780290859792037,,,772.3269,2.43,0.498,0.029,-0.059,1.32,-0.07,Radial Velocity
53,Kepler-424 b,Kepler424,HJ,1,2,1.0,3.3118644,0.044,9.98,0.89,327.35,1.03,,0.1,-0.1,1.01,0.44,Transit
54,Kepler-424 c,Kepler424,WJ,1,2,7.0,223.3,0.73,,,2215.18,6.97,,0.1,-0.1,1.01,0.44,Radial Velocity
55,Kepler-407 b,Kepler407,SE,1,2,1.0,0.6693124,0.014931464380423882,1.19,0.10616487,1.93,0.00607246,,0.1,-0.1,0.99,0.35,Transit
56,Kepler-407 c,Kepler407,CJ,1,2,2.0,3000.0,4.072729754740077,,,4000.0,12.6,,0.1,-0.1,1.0,0.33,Radial Velocity
57,KOI-142 b,KOI142,SE,1,3,1.0,10.91647,0.09602949366541612,3.438,0.30671782,9.5,0.03,0.05561,0.00013,-0.00013,0.99,0.27,Transit
58,KOI-142 c,KOI142,WJ,1,3,2.0,22.26492,0.15444146569957487,,,214.1,0.674,0.05724,0.00045,-0.00045,0.99,0.27,Transit Timing Variations
59,Kepler-88 d,KOI142,CJ,1,3,22.0,1403.0,2.4456160125393254,,,965.14699656,3.0504646,0.41,0.03,-0.03,0.99,0.27,Radial Velocity
60,HIP 65407 b,HIP65407,CS,1,2,1.0,28.125,0.177,,,136.03124,0.428,0.14,0.07,-0.07,0.93,0.25,Radial Velocity
61,HIP 65407 c,HIP65407,WJ,1,2,5.0,67.3,0.316,,,249.17872,0.784,0.12,0.04,-0.04,0.93,0.25,Radial Velocity
62,HIP 14810 b,HIP14810,HJ,1,3,1.0,6.673892,0.0696,,,1239.537,3.9,0.14399,0.00087,-0.00087,1.01,0.24,Radial Velocity
63,HIP 14810 c,HIP14810,WJ,1,3,7.0,147.747,0.549,,,416.3573,1.31,0.1566,0.0099,-0.0099,1.01,0.24,Radial Velocity
64,HIP 14810 d,HIP14810,CJ,1,3,77.0,981.8,1.94,,,187.5197,0.59,0.185,0.035,-0.035,1.01,0.24,Radial Velocity
65,HD 99706 b,HD99706,CJ,1,2,1.0,841.0,1.98,,,390.9309,1.23,0.25,0.16,-0.16,1.46,0.14,Radial Velocity
66,HD 99706 c,HD99706,CJ,1,2,13.0,1278.0,2.7627068757200424,,,1808.4527,5.69,0.411,0.231,-0.178,1.72,0.14,Radial Velocity
67,HD 9446 b,HD9446,WJ,1,2,1.0,30.052,0.189,,,222.472,0.7,0.2,0.06,-0.06,1.0,0.09,Radial Velocity
68,HD 9446 c,HD9446,WJ,1,2,11.0,192.9,0.654,,,578.426,1.82,0.06,0.06,-0.06,1.0,0.09,Radial Velocity
69,HD 92788 b,HD92788,WJ,1,2,1.0,325.803,0.97,,,1195.0408,3.76,0.35,0.004,-0.005,1.15,0.27,Radial Velocity
70,HD 92788 c,HD92788,DG,1,2,11.0,11611.2975,10.5,,,1166.4361,3.67,0.46,0.12,-0.03,1.15,0.27,Radial Velocity
71,HD 83443 b,HD83443,HS,1,2,1.0,2.985628,0.0406,,,127.76701961,0.402,0.012,0.007,-0.006,1.0,0.34,Radial Velocity
72,HD 83443 c,HD83443,CJ,1,2,3.0,8241.0,8.0,,,476.7426105,1.5,0.76,0.046,-0.047,1.0,0.34,Radial Velocity
73,HD 80653 b,HD80653,SE,1,2,1.0,0.719573,0.01661,1.613,0.14390247,5.72,0.01799713,0.0,0.1,-0.1,1.18,0.255,Transit
74,K2-312 c,HD80653,CJ,1,2,2.0,921.2,1.961,,,1719.45168187,5.41,0.853,0.011,-0.011,1.18,0.255,Radial Velocity
75,HD 75898 b,HD75898,CJ,1,2,1.0,422.82,1.2025,,,810.46243785,2.55,0.105,0.009,-0.009,1.295,0.29,Radial Velocity
76,HD 75898 c,HD75898,CJ,1,2,13.0,6717.0,7.39,,,2698.36317543,8.49,0.08,0.01,-0.01,1.295,0.29,Radial Velocity
77,HD 75784 b,HD75784,CJ,1,2,1.0,341.2,1.032,,,317.83,1.0,0.097,0.063,-0.063,1.26,0.25,Radial Velocity
78,HD 75784 c,HD75784,CJ,1,2,13.0,7900.0,8.4,,,1792.5612,5.64,0.489,0.092,-0.092,1.26,0.25,Radial Velocity
79,HD 74156 b,HD74156,WJ,1,2,1.0,51.63564,0.28,,,532.36258173,1.675,0.636,0.008,-0.005,1.1,0.131,Radial Velocity
80,HD 74156 c,HD74156,CJ,1,2,11.0,2448.48726,3.678,,,2753.98314665,8.665,0.377,0.006,-0.006,1.1,0.131,Radial Velocity
81,HD 67087 b,HD67087,CJ,1,2,1.0,352.2,1.08,,,973.0,3.06,0.17,0.07,-0.07,1.36,0.25,Radial Velocity
82,HD 67087 c,HD67087,CJ,1,2,13.0,2374.0,3.86,,,1540.0,4.85,0.76,0.17,-0.24,1.36,0.25,Radial Velocity
83,HD 5319 b,HD5319,CJ,1,2,1.0,637.1,1.57,,,494.54348,1.556,0.092,0.025,-0.025,1.27,0.15,Radial Velocity
84,HD 5319 c,HD5319,CJ,1,2,13.0,872.2,1.93,,,334.67499,1.053,0.183,0.064,-0.064,1.27,0.15,Radial Velocity
85,HD 50499 b,HD50499,CJ,1,2,1.0,2447.1,3.833,,,519.96988,1.636,0.266,0.044,-0.044,1.253,0.26,Radial Velocity
86,HD 50499 c,HD50499,CJ,1,2,13.0,8619.9,9.02,,,931.2419,2.93,0.0,0.14,-0.02,1.31,0.38,Radial Velocity
87,HD 47366 b,HD47366,CJ,1,2,1.0,360.08,1.207,,,661.71874337,2.082,0.071,0.03,-0.046,1.81,-0.02,Radial Velocity
88,HD 47366 c,HD47366,CJ,1,2,13.0,677.53,1.84,,,483.73483545,1.522,0.161,0.045,-0.041,1.81,-0.02,Radial Velocity
89,HD 4732 b,HD4732,CJ,2,2,1.0,371.74,1.129,,,631.2072163,1.986,0.266,0.081,-0.068,1.39,-0.01,Radial Velocity
90,HD 4732 c,HD4732,CJ,2,2,13.0,3184.2,4.725,,,1069.49258955,3.365,0.187,0.034,-0.066,1.39,-0.01,Radial Velocity
91,HD 39091 b,HD39091,CJ,1,3,4.0,2088.8,3.28,,,4481.3805387,14.1,0.642,0.001,-0.001,1.07,0.09,Radial Velocity
92,pi Men c,HD39091,SE,1,3,1.0,6.267852,0.068,2.11,0.18824192,4.3,0.01352931,0.0,0.1,-0.1,1.07,0.09,Transit
93,pi Men d,HD39091,SE,1,3,2.0,124.64,0.49969420142317256,,,13.38,0.04209819,0.22,0.079,-0.079,1.07,0.09,Radial Velocity
94,HD 37605 b,HD37605,WJ,1,2,1.0,55.01292,0.277,,,854.9627,2.69,0.6745,0.0019,-0.0019,0.94,0.27,Radial Velocity
95,HD 37605 c,HD37605,CJ,1,2,11.0,2720.0,3.74,,,1013.8777,3.19,0.03,0.012,-0.012,0.94,0.27,Radial Velocity
96,HD 37124 b,HD37124,WJ,1,3,1.0,154.378,0.53364,,,214.53525,0.675,0.054,0.028,-0.028,0.85,-0.44,Radial Velocity
97,HD 37124 c,HD37124,CJ,1,3,11.0,885.5,1.71,,,207.22516,0.652,0.125,0.055,-0.055,0.85,-0.44,Radial Velocity
98,HD 37124 d,HD37124,CJ,1,3,143.0,1862.0,2.807,,,221.20968,0.696,0.16,0.14,-0.14,0.85,-0.44,Radial Velocity
99,HD 33142 b,HD33142,CJ,1,3,5.0,330.0,1.074,,,400.46379282,1.26,0.049,0.032,-0.03,1.52,0.06,Radial Velocity
100,HD 33142 c,HD33142,CJ,1,3,65.0,810.2,1.955,,,282.86728223,0.89,0.081,0.055,-0.047,1.52,0.06,Radial Velocity
101,HD 33142 d,HD33142,CS,1,3,1.0,89.9,0.452,,,63.5656814,0.2,0.191,0.14,-0.128,1.52,0.06,Radial Velocity
102,HD 207832 b,HD207832,WJ,3,2,1.0,160.07,0.586,,,177.9848,0.56,0.197,0.053,-0.053,1.05,0.14,Radial Velocity
103,HD 207832 c,HD207832,CJ,3,2,11.0,1155.7,2.112,,,232.0159,0.73,0.27,0.22,-0.1,0.94,0.06,Radial Velocity
104,HD 202696 b,HD202696,CJ,1,2,1.0,517.8,1.566,,,634.38868,1.996,0.011,0.078,-0.011,1.91,0.02,Radial Velocity
105,HD 202696 c,HD202696,CJ,1,2,13.0,946.6,2.342,,,592.43512,1.864,0.028,0.065,-0.012,1.91,0.02,Radial Velocity
106,HD 190360 b,HD190360,CJ,2,2,2.0,2854.0,3.9,,,572.0911326,1.8,0.34,0.018,-0.018,1.0,0.19,Radial Velocity
107,HD 190360 c,HD190360,SE,2,2,1.0,17.111,0.1304,,,19.069,0.06,0.237,0.082,-0.082,0.98,0.19,Radial Velocity
108,HD 191939 b,HD191939,SE,1,6,1.0,8.8803256,0.0804,3.41,0.30422035,10.0,0.03146352,0.031,0.01,-0.011,0.81,-0.15,Transit
109,HD 191939 c,HD191939,SE,1,6,2.0,28.579743,0.1752,3.195,0.2850393,8.0,0.02517081,0.034,0.034,-0.013,0.81,-0.15,Transit
110,HD 191939 d,HD191939,SE,1,6,4.0,38.353037,0.2132,2.995,0.26719646,2.8,0.00880979,0.031,0.018,-0.012,0.81,-0.15,Transit
111,HD 191939 e,HD191939,CS,1,6,8.0,101.12,0.407,,,112.2,0.35302068,0.031,0.008,-0.016,0.81,-0.15,Radial Velocity
112,HD 191939 f,HD191939,CJ,1,6,80.0,2898.0,3.71,,,915.34581216,2.88,,0.1,-0.1,0.81,-0.15,Radial Velocity
113,HD 191939 g,HD191939,SE,1,6,40.0,284.0,0.812,,,13.5,0.04247575,0.03,0.025,-0.011,0.81,-0.15,Radial Velocity
114,HD 187123 b,HD187123,HJ,1,2,1.0,3.0965828,0.0426,,,166.218,0.523,0.0103,0.0059,-0.0059,1.04,0.09,Radial Velocity
115,HD 187123 c,HD187123,CJ,1,2,7.0,3810.0,4.89,,,632.46,1.99,0.252,0.033,-0.033,1.04,0.09,Radial Velocity
116,HD 160691 b,HD160691,CJ,1,4,11.0,645.0,1.5224301682541388,,,1366.6621501,4.3,,0.1,-0.1,1.13,0.28,Radial Velocity
117,HD 160691 c,HD160691,CJ,1,4,143.0,3947.0,5.093414134061045,,,1398.4449908,4.4,,0.1,-0.1,1.13,0.28,Radial Velocity
118,HD 160691 d,HD160691,NA,1,4,1.0,9.6392,0.09236871440162327,,,,,,0.1,-0.1,1.13,0.28,Radial Velocity
119,HD 160691 e,HD160691,WJ,1,4,1.0,307.9,0.9299023904393895,,,2224.798849,7.0,,0.1,-0.1,1.13,0.28,Radial Velocity
120,HD 1605 b,HD1605,CJ,1,2,1.0,577.2,1.492,,,296.85322,0.934,0.095,0.057,-0.057,1.33,0.22,Radial Velocity
121,HD 1605 c,HD1605,CJ,1,2,13.0,2149.0,3.584,,,1150.5446,3.62,0.099,0.011,-0.011,1.33,0.22,Radial Velocity
122,HD 159868 b,HD159868,CJ,1,2,13.0,1184.1,2.32,,,704.94694,2.218,0.024,0.019,-0.019,1.19,-0.08,Radial Velocity
123,HD 159868 c,HD159868,CJ,1,2,1.0,351.0,1.032,,,244.09344,0.768,0.184,0.037,-0.037,1.19,-0.08,Radial Velocity
124,HD 159243 b,HD159243,WJ,1,2,1.0,12.62,0.11,,,359.13,1.13,0.02,0.018,-0.018,1.125,0.05,Radial Velocity
125,HD 159243 c,HD159243,WJ,1,2,11.0,248.4,0.8,,,603.9,1.9,0.075,0.05,-0.05,1.125,0.05,Radial Velocity
126,HD 148164 b,HD148164,WJ,1,2,1.0,328.55,0.993,,,390.9309,1.23,0.587,0.026,-0.026,1.21,0.24,Radial Velocity
127,HD 148164 c,HD148164,CJ,1,2,11.0,5062.0,6.15,,,1640.0028,5.16,0.125,0.017,-0.017,1.21,0.24,Radial Velocity
128,HD 147873 b,HD147873,WJ,2,2,1.0,116.596,0.522,,,1633.6462,5.14,0.207,0.013,-0.013,1.38,0.03,Radial Velocity
129,HD 147873 c,HD147873,CJ,2,2,11.0,491.54,1.36,,,731.009,2.3,0.23,0.03,-0.03,1.38,0.03,Radial Velocity
130,HD 141399 b,HD141399,CS,1,4,1.0,94.44,0.415,,,143.34133,0.451,0.04,0.02,-0.02,1.07,0.35,Radial Velocity
131,HD 141399 c,HD141399,WJ,1,4,5.0,201.99,0.689,,,422.7139,1.33,0.048,0.009,-0.009,1.07,0.35,Radial Velocity
132,HD 141399 d,HD141399,CJ,1,4,55.0,1069.8,2.09,,,375.0394,1.18,0.074,0.025,-0.025,1.07,0.35,Radial Velocity
133,HD 141399 e,HD141399,CJ,1,4,715.0,5000.0,5.0,,,209.7678,0.66,0.26,0.22,-0.22,1.07,0.35,Radial Velocity
134,HD 13908 b,HD13908,WJ,1,2,1.0,19.382,0.154,,,274.91,0.865,0.02,0.018,-0.018,1.29,0.01,Radial Velocity
135,HD 13908 c,HD13908,CJ,1,2,11.0,931.0,2.03,,,1630.4,5.13,0.12,0.02,-0.02,1.29,0.01,Radial Velocity
136,HD 137496 b,HD137496,SE,1,2,1.0,1.62116,0.02732,1.31,0.11687057,4.04,0.01271126,0.0,0.1,-0.1,1.04,-0.03,Transit
137,HD 137496 c,HD137496,CJ,1,2,2.0,479.9,1.2163,,,2434.56559762,7.66,0.477,0.004,-0.004,1.04,-0.03,Radial Velocity
138,HD 128311 b,HD128311,CJ,1,2,1.0,453.019,1.084,,,562.24127,1.769,0.303,0.011,-0.011,0.828,0.133805924451,Radial Velocity
139,HD 128311 c,HD128311,CJ,1,2,13.0,921.538,1.74,,,1204.25787,3.789,0.159,0.006,-0.006,0.828,0.133805924451,Radial Velocity
140,HD 11964 b,HD11964,CJ,2,2,5.0,1945.0,3.16,,,198.0,0.622,0.041,0.047,-0.047,0.91,0.1,Radial Velocity
141,HD 11964 c,HD11964,CS,2,2,1.0,37.91,0.229,,,25.0,0.0788,0.3,0.17,-0.17,0.91,0.1,Radial Velocity
142,HD 118203 b,HD118203,HJ,1,2,1.0,6.1349779,0.0713,12.778238,1.14,680.15279098,2.14,0.3136,0.0075,-0.0075,1.27,0.287,Radial Velocity
143,HD 118203 c,HD118203,CJ,1,2,7.0,5103.0,6.28,,,3747.19691853,11.79,0.26,0.03,-0.02,1.27,0.287,Radial Velocity
144,HD 11506 b,HD11506,CJ,1,3,5.0,1617.7,2.885,,,1525.5763536,4.8,0.379,0.009,-0.009,1.22,0.3,Radial Velocity
145,HD 11506 c,HD11506,CS,1,3,1.0,223.92,0.771,,,127.1313628,0.4,0.228,0.054,-0.054,1.22,0.3,Radial Velocity
146,HD 11506 d,HD11506,DG,1,3,65.0,26500.0,18.2,,,4068.2036096,12.8,0.29,0.02,-0.03,1.22,0.3,Radial Velocity
147,HD 114783 b,HD114783,CJ,1,2,1.0,493.7,1.16,,,349.6,1.1,0.144,0.032,-0.032,0.853,0.21,Radial Velocity
148,HD 114783 c,HD114783,CJ,1,2,13.0,4352.0,5.0,,,603.8739733,1.9,0.05,0.04,-0.03,0.9,0.21,Radial Velocity
149,HD 113538 b,HD113538,CS,1,2,1.0,663.2,1.24,,,114.41,0.36,0.14,0.08,-0.08,0.585,-0.24,Radial Velocity
150,HD 113538 c,HD113538,CJ,1,2,5.0,1818.0,2.44,,,295.57,0.93,0.2,0.04,-0.04,0.585,-0.24,Radial Velocity
151,HATS-59 b,HATS59,HJ,1,2,1.0,5.416081,0.06112,12.621334,1.126,256.17098,0.806,0.129,0.049,-0.049,1.038,0.18,Transit
152,HATS-59 c,HATS59,CJ,1,2,7.0,1422.0,2.504,,,4036.441,12.7,0.083,0.1,-0.1,1.038,0.18,Radial Velocity
153,HAT-P-44 b,HATP44,HS,1,2,1.0,4.301219,0.0507,13.922,1.242,111.871,0.352,0.044,0.052,-0.052,0.942,0.33,Transit
154,HAT-P-44 c,HATP44,CJ,1,2,3.0,872.2,1.752,,,1271.3,4.0,0.494,0.081,-0.081,0.942,0.33,Radial Velocity
155,HAT-P-2 b,HATP2,HJ,1,2,1.0,5.6335158,0.06814,,,2739.6946,8.62,0.5172,0.0019,-0.0019,1.33,0.18,Transit
156,HAT-P-2 c,HATP2,CJ,1,2,7.0,8500.0,8.968116772239023,,,3400.7639549,10.7,0.37,0.13,-0.12,1.33,0.18,Radial Velocity
157,HAT-P-13 b,HATP13,HJ,1,2,1.0,2.91625,,14.258,1.272,270.462,0.851,0.0133,0.0041,-0.0041,,0.41,Transit
158,HAT-P-13 c,HATP13,CJ,1,2,7.0,446.27,,,,4538.421,14.28,0.6616,0.0054,-0.0054,,0.41,Radial Velocity
159,HAT-P-11 b,HATP11,HS,1,2,1.0,4.888,0.05258,,,23.51930212,0.074,0.251,0.045,-0.047,0.811,0.31,Transit
160,HAT-P-11 c,HATP11,CJ,1,2,3.0,3361.0,4.1,,,851.78013076,2.68,0.652,0.017,-0.017,0.811,0.31,Radial Velocity
161,GJ 876 b,GJ876,WJ,1,4,22.0,61.1166,0.208317,,,723.2235,2.2756,0.0324,0.0013,-0.0013,0.32,0.212863544703,Radial Velocity
162,GJ 876 c,GJ876,WJ,1,4,2.0,30.0881,0.12959,,,226.9846,0.7142,0.25591,0.00093,-0.00093,0.32,0.212863544703,Radial Velocity
163,GJ 876 d,GJ876,SE,1,4,1.0,1.93778,0.02080665,,,6.83,0.021,0.207,0.055,-0.055,0.32,0.212863544703,Radial Velocity
164,GJ 876 e,GJ876,SE,1,4,242.0,124.26,0.3343,,,14.6,0.046,0.055,0.012,-0.012,0.32,0.212863544703,Radial Velocity
165,GJ 849 b,GJ849,CJ,1,2,1.0,1925.31,2.32,,,283.82076745,0.893,0.029,0.019,-0.019,0.45,0.09,Radial Velocity
166,GJ 849 c,GJ849,CJ,1,2,13.0,5990.0,4.95,,,314.65012293,0.99,0.092,0.038,-0.036,0.45,0.09,Radial Velocity
167,GJ 328 b,GJ328,CJ,1,2,5.0,3771.0,4.11,,,797.74930157,2.51,0.227,0.015,-0.015,0.65,-0.06,Radial Velocity
168,GJ 328 c,GJ328,CS,1,2,1.0,241.8,0.657,,,21.4,0.06733193,,0.1,-0.1,0.65,-0.06,Radial Velocity
169,GJ 317 b,GJ317,CJ,1,2,1.0,695.66,1.151,,,557.1,1.75282384,0.07,0.01,-0.01,0.42,0.300677973249,Radial Velocity
170,GJ 317 c,GJ317,CJ,1,2,13.0,6739.323,5.23,,,522.5,1.64396061,0.17,0.02,-0.02,0.42,0.300677973249,Radial Velocity
171,CoRoT-20 b,CoRoT20,HJ,1,2,1.0,9.24285,0.09,,,1366.669,4.3,0.59,0.02,-0.02,1.14,0.14,Transit
172,CoRoT-20 c,CoRoT20,CJ,1,2,7.0,1675.0,2.9,,,5403.11,17.0,0.6,0.03,-0.03,1.14,0.14,Radial Velocity
