,hostname,st_met,ref
0,upsAnd,0.121519701565
1,upsAnd,0.121519701565
2,upsAnd,0.121519701565
3,gamLib,-0.27
4,gamLib,-0.27
5,betPic,
6,betPic,
7,XO2S,0.39
8,XO2S,0.39
9,WASP8,0.17
10,WASP8,0.17
11,WASP53,0.22
12,WASP53,0.22
13,WASP47,0.38
14,WASP47,0.38
15,WASP47,0.38
16,WASP47,0.38
17,WASP41,0.06
18,WASP41,0.06
23,TYC14226141,-0.2
24,TYC14226141,-0.2
25,TOI969,0.175
26,TOI969,0.175
27,TOI4010,0.37
28,TOI4010,0.37
29,TOI4010,0.37
30,TOI4010,0.37
31,TOI2202,0.04
32,TOI2202,0.04
33,TOI1736,0.148
34,TOI1736,0.148
35,TOI1694,0.131
36,TOI1694,0.131
37,TOI1669,0.274
38,TOI1669,0.274
39,TOI1670,0.09
40,TOI1670,0.09
41,TOI1130,0.11
42,TOI1130,0.11
43,TIC279401253,0.2
44,TIC279401253,0.2
45,TIC139270665,0.156
46,TIC139270665,0.156
47,Pr0211,0.18
48,Pr0211,0.18
49,Kepler93,-0.18
50,Kepler93,-0.18
51,Kepler94,0.34
52,Kepler94,0.34
53,Kepler68,0.11
54,Kepler68,0.11
55,Kepler68,0.11
56,Kepler68,0.11
57,Kepler65,0.17
58,Kepler65,0.17
59,Kepler65,0.17
60,Kepler65,0.17
61,Kepler56,0.2
62,Kepler56,0.2
63,Kepler56,0.363
64,Kepler539,-0.01
65,Kepler539,-0.01
66,Kepler48,0.17
67,Kepler48,0.17
68,Kepler48,0.17
69,Kepler48,0.17
70,Kepler48,0.17
71,Kepler454,0.32
72,Kepler454,0.32
73,Kepler454,0.32
74,Kepler432,-0.07
75,Kepler432,-0.07
76,Kepler424,0.44
77,Kepler424,0.44
78,Kepler407,0.33
79,Kepler407,0.33
80,Kepler139,0.35
81,Kepler139,0.35
82,Kepler139,0.35
83,Kepler139,0.35
84,Kepler129,0.29
85,Kepler129,0.29
86,Kepler129,0.29
87,KOI351,-0.12
88,KOI351,-0.12
89,KOI351,-0.12
90,KOI351,-0.12
91,KOI351,-0.12
92,KOI351,-0.12
93,KOI351,-0.12
94,Kepler90,0.098
95,KOI142,0.27
96,KOI142,0.27
97,Kepler88,0.27
98,KELT6,-0.28
99,KELT6,-0.27
100,HD11343,-0.15
101,HIP8541,-0.15
102,HIP67851,-0.03
103,HIP67851,-0.03
104,HIP65407,0.25
105,HIP65407,0.25
106,HIP57274,0.01
107,HIP57274,0.09
108,HIP57274,0.09
109,HIP14810,0.24
110,HIP14810,0.24
111,HIP14810,0.24
112,HD99706,0.14
113,HD99706,0.14
114,HD9446,0.09
115,HD9446,0.09
116,HD92788,0.27
117,HD92788,0.27
118,HD83443,0.34
119,HD83443,0.34
120,HD82943,0.26
121,HD82943,0.26
122,HD80653,0.255
123,K2312,0.255
124,HD75898,0.29
125,HD75898,0.29
126,HD75784,0.25
127,HD75784,0.25
128,HD74156,0.131
129,HD74156,0.131
130,HD73526,0.22
131,HD72659,-0.01004439685648
132,HD72659,-0.01004439685648
133,HD68988,0.35
134,HD68988,0.305
135,HD67087,0.25
136,HD67087,0.25
137,HD65216,-0.16
138,HD65216,-0.16
139,HD62364,-0.11
140,HD60532,-0.26
141,HD60532,-0.26
142,HD5319,0.15
143,HD5319,0.15
144,HD50499,0.26
145,HD50499,0.38
146,HD47366,-0.02
147,HD47366,-0.02
148,HD4732,-0.01
149,HD4732,-0.01
150,HD45364,-0.17
151,HD45364,-0.17
152,HD4203,0.4
153,HD4203,0.34
154,HD39091,0.09
155,piMen,0.09
156,piMen,0.09
157,HD38529,0.377330333049
158,HD38529,0.377330333049
159,HD37605,0.27
160,HD37605,0.27
161,HD37124,-0.44
162,HD37124,-0.44
163,HD37124,-0.44
164,HD34445,0.18
165,HD34445,0.14
166,HD34445,0.14
167,HD34445,0.14
168,HD34445,0.14
169,HD34445,0.14
170,HD33844,0.27
171,HD33844,0.27
172,HD33142,0.06
173,HD33142,0.06
174,HD33142,0.06
175,HD30177,0.39
176,HD30177,0.39
177,HD28185,0.2272134075489999
178,HD28185,0.2272134075489999
179,HD27894,0.3
180,HD27894,0.3
181,HD27894,0.3
182,HD24040,0.19
183,HD24040,0.197
184,HD219828,0.19
185,HD219828,0.19
186,HD207832,0.14
187,HD207832,0.14
188,HD20782,-0.054
189,HD204313,0.18
190,HD204313,0.18
191,HD204313,0.18
192,HD202696,0.02
193,HD202696,0.02
194,HD200964,-0.15
195,HD200964,-0.15
196,HD191939,-0.15
197,HD191939,-0.15
198,HD191939,-0.15
199,HD191939,-0.15
200,HD191939,-0.15
201,HD191939,-0.15
202,HD190360,0.19
203,HD190360,0.19
204,HD187123,0.09
205,HD187123,0.09
206,HD183263,0.2775800598245
207,HD183263,0.2775800598245
208,HD181433,0.38
209,HD181433,0.33
210,HD181433,0.33
211,HD177830,0.42
212,HD177830,0.545
213,HD169830,0.119805597102
214,HD169830,0.119805597102
215,HD168443,0.0761566265112499
216,HD168443,0.0761566265112499
217,HD160691,0.28
218,HD160691,0.28
219,HD160691,0.28
220,HD160691,0.28
221,HD1605,0.22
222,HD1605,0.22
223,HD159868,-0.08
224,HD159868,-0.08
225,HD159243,0.05
226,HD159243,0.05
227,HD156279,0.19166574301
228,HD156279,0.19166574301
229,HD155358,-0.6
230,HD155358,-0.51
231,HD154857,-0.22
232,HD154857,-0.2
233,HD148164,0.24
234,HD148164,0.24
235,HD147873,0.03
236,HD147873,0.03
237,HD147018,0.1
238,HD147018,0.1
239,HD142A,0.09
