,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
43,TIC 279401253 b,TIC 279401253,1,2,WJ,76.8,0.369,1951.46642,6.14,0.448,,5951.0,1.06,1.13,0.2,0,0,0
44,TIC 279401253 c,TIC 279401253,1,2,WJ,155.3,0.591,2548.98382,8.02,0.254,,5951.0,1.06,1.13,0.2,0,0,1
45,TIC 139270665 b,TIC 139270665,1,2,CS,23.624,0.163,147.15455,0.463,0.105,G2,5844.0,1.02,1.03,0.156,0,0,0
46,TIC 139270665 c,TIC 139270665,1,2,CJ,1010.0,2.0,1554.18091,4.89,0.566,G2,5844.0,1.02,1.03,0.156,0,1,0
47,Pr0211 b,Pr0211,2,2,HJ,2.1461,0.03176,597.5204,1.88,0.011,,5300.0,0.83,0.94,0.18,0,0,0
48,Pr0211 c,Pr0211,2,2,CJ,4850.0,5.5,2475.8957,7.79,0.71,,5300.0,0.83,0.94,0.18,0,0,1
49,Kepler-93 b,Kepler-93,1,2,SE,4.72673978,0.05343,4.66,0.01466,0.0,,5669.0,0.92,0.91,-0.18,0,0,0
50,Kepler-93 c,Kepler-93,1,2,WJ,1460.0,0.3845685840490589,954.0,3.0,,,5669.0,0.92,0.91,-0.18,1,0,0
51,Kepler-94 b,Kepler-94,1,2,SE,2.50806,25.790809168017045,10.84,0.034,,,4781.0,0.76,0.81,0.34,0,0,0
52,Kepler-94 c,Kepler-94,1,2,WJ,820.3,0.5433025893931492,3126.0,9.836,,,4781.0,0.76,0.81,0.34,0,0,0
53,Kepler-68 b,Kepler-68,2,4,SE,5.39875259,0.06135,8.03,0.02527,0.09,,5847.0,1.26,1.06,0.11,0,0,0
54,Kepler-68 c,Kepler-68,2,4,SE,9.605027,0.09008,1.3,0.00409,0.099,,5847.0,1.26,1.06,0.11,0,0,0
55,Kepler-68 d,Kepler-68,2,4,CJ,632.62,1.469,238.05348,0.749,0.102,,5847.0,1.26,1.06,0.11,1,0,0
56,Kepler-68 e,Kepler-68,2,4,CS,3455.0,4.6,86.44933,0.272,0.33,,5847.0,1.26,1.06,0.11,0,0,0
57,Kepler-65 b,Kepler-65,1,4,CJ,2.15491,0.035,,,,,6211.0,1.41,1.25,0.17,0,0,0
58,Kepler-65 c,Kepler-65,1,4,CJ,5.859944,0.068,,,,,6211.0,1.41,1.25,0.17,0,0,0
59,Kepler-65 d,Kepler-65,1,4,CJ,8.13123,0.084,,,,,6211.0,1.41,1.25,0.17,0,0,0
60,Kepler-65 e,Kepler-65,1,4,CJ,258.8,1.3547393096347145,260.0,0.82,0.283,,,1.44,1.25,,0,0,1
61,Kepler-56 b,Kepler-56,1,3,CS,10.5016,0.1028,22.1,0.07,,,4840.0,4.23,1.32,0.2,0,0,0
62,Kepler-56 c,Kepler-56,1,3,WJ,21.40239,0.1652,181.0,0.57,,,4840.0,4.23,1.32,0.2,0,1,0
63,Kepler-56 d,Kepler-56,1,3,CJ,1002.0,2.16,1784.0,5.61,0.2,,4819.44,4.22,,0.363,0,1,1
64,Kepler-539 b,Kepler-539,1,2,WJ,125.63243,0.4988,308.2951,0.97,0.39,G2 V,5820.0,0.95,1.05,-0.01,0,0,0
65,Kepler-539 c,Kepler-539,1,2,CJ,1000.0,2.42,762.792,2.4,0.5,G2 V,5820.0,0.95,1.05,-0.01,0,0,1
66,Kepler-48 b,Kepler-48,1,5,SE,4.778,17.25276486419588,3.94,0.0124,,,5194.0,0.89,0.88,0.17,0,0,0
67,Kepler-48 c,Kepler-48,1,5,SE,9.67395,10.780036750604097,14.61,0.04597,,,5194.0,0.89,0.88,0.17,0,0,0
68,Kepler-48 d,Kepler-48,1,5,SE,42.8961,3.9940263674806187,7.93,0.025,,,5194.0,0.89,0.88,0.17,0,0,0
69,Kepler-48 e,Kepler-48,1,5,WJ,982.0,0.49539141392162506,657.0,2.067,,,5194.0,0.89,0.88,0.17,0,0,0
70,Kepler-48 f,Kepler-48,1,5,CJ,5219.681854,5.719188,298.581,0.93944,0.015283,,,,0.92,,1,0,1
