,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
192,HD 202696 b,HD 202696,1,2,CJ,517.8,1.566,634.38868,1.996,0.011,K0 III-IV,5040.0,6.43,1.91,0.02,0,0,0
193,HD 202696 c,HD 202696,1,2,CJ,946.6,2.342,592.43512,1.864,0.028,K0 III-IV,5040.0,6.43,1.91,0.02,0,0,1
194,HD 200964 b,HD 200964,1,2,CJ,606.3,1.565,508.21017,1.599,0.087,,4982.0,4.92,1.39,,0,0,0
195,HD 200964 c,HD 200964,1,2,CJ,852.5,1.96,385.84562,1.214,0.243,,4982.0,4.92,1.39,,0,0,1
196,HD 191939 b,HD 191939,1,6,SE,8.8803256,0.0804,10.0,0.03146,0.031,G9 V,5348.0,0.94,0.81,-0.15,0,0,0
197,HD 191939 c,HD 191939,1,6,SE,28.579743,0.1752,8.0,0.02517,0.034,G9 V,5348.0,0.94,0.81,-0.15,0,0,0
198,HD 191939 d,HD 191939,1,6,SE,38.353037,0.2132,2.8,0.00881,0.031,G9 V,5348.0,0.94,0.81,-0.15,0,0,0
199,HD 191939 e,HD 191939,1,6,CS,101.12,0.407,112.2,0.35302,0.031,G9 V,5348.0,0.94,0.81,-0.15,0,0,0
200,HD 191939 f,HD 191939,1,6,CJ,2200.0,3.2,660.0,2.07659,,G9 V,5348.0,0.94,0.81,-0.15,1,1,0
201,HD 191939 g,HD 191939,1,6,SE,284.0,0.812,13.5,0.04248,0.03,G9 V,5348.0,0.94,0.81,-0.15,0,0,0
202,HD 190360 b,HD 190360,2,2,CJ,2854.0,3.9,572.09113,1.8,0.34,G V,,,1.0,,1,0,0
203,HD 190360 c,HD 190360,2,2,SE,17.111,0.1304,19.069,0.06,0.237,,5549.0,1.17,0.98,0.19,0,0,0
204,HD 187123 b,HD 187123,1,2,HJ,3.0965828,0.0426,166.218,0.523,0.0103,,5790.0,1.15,1.04,0.09,0,0,0
205,HD 187123 c,HD 187123,1,2,CJ,3810.0,4.89,632.46,1.99,0.252,,5790.0,1.15,1.04,0.09,0,0,1
206,HD 183263 b,HD 183263,1,2,CJ,624.87404,1.46,1103.1824,3.471,0.383,,,,1.06,,0,0,0
207,HD 183263 c,HD 183263,1,2,CJ,4667.97841,5.585,2958.98247,9.31,0.051,,,,1.06,,0,0,1
208,HD 181433 b,HD 181433,1,3,SE,9.3743,0.08,6.3566,0.02,0.4,,4918.0,0.79,0.63,0.38,0,0,0
209,HD 181433 c,HD 181433,1,3,CJ,962.0,1.76,203.0,0.64,0.28,K3 IV,4962.0,,0.78,0.33,1,0,0
210,HD 181433 d,HD 181433,1,3,CJ,2172.0,3.0,171.0,0.54,0.48,K3 IV,4962.0,,0.78,0.33,1,0,1
211,HD 177830 b,HD 177830,2,2,CJ,410.10001,1.14,537.1327,1.69,0.1,,4901.0,3.26,1.7,0.42,0,1,0
212,HD 177830 c,HD 177830,2,2,CS,110.9,0.5137,47.6725,0.15,0.3,,4949.0,2.62,1.47,0.545,0,0,0
213,HD 169830 b,HD 169830,1,2,WJ,225.67372,0.765,804.4237,2.531,0.294,,,,1.17,,0,0,0
214,HD 169830 c,HD 169830,1,2,CJ,1818.82339,3.075,2437.42605,7.669,0.246,,,,1.17,,0,0,1
215,HD 168443 b,HD 168443,1,2,WJ,58.11187,0.292,2424.39509,7.628,0.53,,,,0.98,,0,0,0
216,HD 168443 c,HD 168443,1,2,CJ,1753.1096,2.842,5500.33841,17.306,0.21,,,,0.98,,0,0,1
217,HD 160691 b,HD 160691,1,4,WJ,645.0,0.7126039867062213,1366.66215,4.3,,G3 IV-V,5773.0,1.33,1.13,0.28,0,0,0
218,HD 160691 c,HD 160691,1,4,WJ,3947.0,0.21299854652005804,1398.44499,4.4,,G3 IV-V,5773.0,1.33,1.13,0.28,0,0,0
219,HD 160691 d,HD 160691,1,4,CJ,9.6392,11.74520847678548,,,,G3 IV-V,5773.0,1.33,1.13,0.28,0,0,0
220,HD 160691 e,HD 160691,1,4,CJ,307.9,1.1666706296637217,2224.79885,7.0,,G3 IV-V,5773.0,1.33,1.13,0.28,0,0,1
221,HD 1605 b,HD 1605,1,2,CJ,577.2,1.492,296.85322,0.934,0.095,K1 IV,4915.0,3.49,1.33,0.22,0,0,0
222,HD 1605 c,HD 1605,1,2,CJ,2149.0,3.584,1150.5446,3.62,0.099,K1 IV,4915.0,3.49,1.33,0.22,0,0,1
223,HD 159868 b,HD 159868,1,2,CJ,1184.1,2.32,704.94694,2.218,0.024,,5534.0,2.13,1.19,,0,0,1
224,HD 159868 c,HD 159868,1,2,CJ,351.0,1.032,244.09344,0.768,0.184,,5534.0,2.13,1.19,,0,0,0
225,HD 159243 b,HD 159243,1,2,WJ,12.62,0.11,359.13,1.13,0.02,G0 V,6123.0,1.12,1.12,0.05,0,0,0
226,HD 159243 c,HD 159243,1,2,WJ,248.4,0.8,603.9,1.9,0.075,G0 V,6123.0,1.12,1.12,0.05,0,0,1
227,HD 156279 b,HD 156279,1,2,WJ,133.40355,0.502,2997.75753,9.432,0.647,,,,0.94,,0,0,0
228,HD 156279 c,HD 156279,1,2,CJ,4818.25358,5.486,3098.82697,9.75,0.261,,,,0.94,,0,0,1
229,HD 155358 b,HD 155358,1,2,WJ,194.3,0.63,314.6517,0.99,0.17,,5905.0,1.38,1.15,-0.6,0,0,0
230,HD 155358 c,HD 155358,1,2,CJ,391.9,1.02,261.0,0.82,0.16,G0,5900.0,,0.92,-0.51,0,0,1
231,HD 154857 b,HD 154857,1,2,CJ,408.60001,1.29,778.6835,2.45,0.46,,5589.0,2.3,1.96,-0.22,0,0,0
232,HD 154857 c,HD 154857,1,2,CJ,3452.0,5.36,819.97,2.58,0.06,G5 V,5605.0,1.76,1.72,-0.2,0,0,1
233,HD 148164 b,HD 148164,1,2,WJ,328.55,0.993,390.9309,1.23,0.587,F8,6032.0,1.34,1.21,0.24,0,0,0
234,HD 148164 c,HD 148164,1,2,CJ,5062.0,6.15,1640.0028,5.16,0.125,F8,6032.0,1.34,1.21,0.24,0,0,1
235,HD 147873 b,HD 147873,2,2,WJ,116.596,0.522,1633.6462,5.14,0.207,G1 V,5972.0,2.29,1.38,0.03,0,0,0
236,HD 147873 c,HD 147873,2,2,CJ,491.54,1.36,731.009,2.3,0.23,G1 V,5972.0,2.29,1.38,0.03,0,0,1
237,HD 147018 b,HD 147018,1,2,WJ,44.236,0.2388,674.0,2.12,0.4686,G9 V,5441.0,,0.93,0.1,0,0,0
238,HD 147018 c,HD 147018,1,2,CJ,1008.0,1.922,2080.0,6.56,0.133,G9 V,5441.0,,0.93,0.1,0,0,1
239,HD 142 A d,HD 142,2,3,CS,108.45299,0.474,82.63539,0.26,0.13,,,,1.21,,0,0,0
240,HD 142 b,HD 142,2,3,CJ,351.43394,1.039,396.96768,1.249,0.158,,,,1.21,,0,1,0
241,HD 142 c,HD 142,2,3,CJ,10159.64279,9.811,3464.64746,10.901,0.277,,,,1.21,,0,1,1
242,HD 141399 b,HD 141399,1,4,CS,94.44,0.415,143.34133,0.451,0.04,K0,5600.0,,1.07,0.35,0,0,0
243,HD 141399 c,HD 141399,1,4,WJ,201.99,0.689,422.7139,1.33,0.048,K0,5600.0,,1.07,0.35,0,1,0
244,HD 141399 d,HD 141399,1,4,CJ,1069.8,2.09,375.0394,1.18,0.074,K0,5600.0,,1.07,0.35,0,1,1
245,HD 141399 e,HD 141399,1,4,CJ,5000.0,5.0,209.7678,0.66,0.26,K0,5600.0,,1.07,0.35,0,1,1
246,HD 140901 c,HD 140901,1,2,CJ,14386.0,11.8,572.09113,1.8,0.77,G7 IV,,,1.06,,0,0,0
247,HD 13908 b,HD 13908,1,2,WJ,19.382,0.154,274.91,0.865,0.02,F8 V,6255.0,1.67,1.29,0.01,0,0,0
248,HD 13908 c,HD 13908,1,2,CJ,931.0,2.03,1630.4,5.13,0.12,F8 V,6255.0,1.67,1.29,0.01,0,0,1
249,HD 137496 b,HD 137496,1,2,SE,1.62116,0.02732,4.04,0.01271,0.0,G,5799.0,1.59,1.04,-0.03,0,0,0
250,HD 137496 c,HD 137496,1,2,CJ,479.9,1.2163,2434.5656,7.66,0.477,G,5799.0,1.59,1.04,-0.03,1,0,0
251,HD 134987 b,HD 134987,1,2,WJ,258.17999,0.81,511.7063,1.61,0.23,,5736.0,1.22,1.1,0.28,0,0,0
252,HD 134987 c,HD 134987,1,2,CJ,5000.0,5.8,260.0,0.82,0.12,G5 V,5585.0,1.25,1.1,0.28,0,0,1
253,HD 128311 b,HD 128311,1,2,CJ,453.019,1.084,562.24127,1.769,0.303,,,0.76,0.83,,0,0,0
254,HD 128311 c,HD 128311,1,2,CJ,921.538,1.74,1204.25787,3.789,0.159,,,0.76,0.83,,0,0,1
255,HD 12661 b,HD 12661,1,2,WJ,262.70862,0.84,772.3269,2.43,0.38,,5645.0,1.2,1.2,0.36,0,0,0
256,HD 12661 c,HD 12661,1,2,CJ,1708.0,2.8145,575.884,1.812,0.031,,5748.0,1.11,1.02,0.36,0,0,1
257,HD 125612 b,HD 125612,2,3,CJ,557.69994,1.349,945.22168,2.974,0.446,,,,1.05,,1,0,0
258,HD 125612 c,HD 125612,2,3,SE,4.15466,0.051,15.57359,0.049,0.149,,,,1.05,,0,0,0
259,HD 125612 d,HD 125612,2,3,CJ,2822.72698,3.982,2281.37231,7.178,0.115,,,,1.05,,1,0,1
260,HD 11964 b,HD 11964,2,2,CJ,1945.0,3.16,198.0,0.622,0.041,,5303.0,2.01,0.91,0.1,0,1,0
261,HD 11964 c,HD 11964,2,2,CS,37.91,0.229,25.0,0.0788,0.3,,5303.0,2.01,0.91,0.1,0,0,0
262,HD 118203 b,HD 118203,1,2,HJ,6.134989,0.0701,693.50158,2.182,0.301,K0 IV,5788.0,2.03,1.22,0.22,0,0,0
263,HD 118203 c,HD 118203,1,2,CJ,5070.0,6.2,3527.89532,11.1,0.257,K0 IV,5788.0,2.03,1.22,0.22,0,0,1
264,HD 116029 b,HD 116029,2,2,CJ,670.0,1.65,444.962,1.4,0.0,,4819.0,4.89,0.83,0.09,0,0,0
265,HD 116029 c,HD 116029,2,2,WJ,907.0,0.5994333917991981,403.6441,1.27,0.038,,,,1.33,,0,0,0
266,HD 11506 b,HD 11506,1,3,CJ,1617.7,2.885,1525.57635,4.8,0.379,G0 V,6123.0,,1.22,0.3,0,1,0
267,HD 11506 c,HD 11506,1,3,CS,223.92,0.771,127.13136,0.4,0.228,G0 V,6123.0,,1.22,0.3,0,0,0
268,HD 11506 d,HD 11506,1,3,CJ,26500.0,18.2,4068.20361,12.8,0.29,G0 V,6123.0,,1.22,0.3,0,1,1
269,HD 114783 b,HD 114783,1,2,CJ,493.7,1.16,349.6,1.1,0.144,K0,5135.0,,0.85,0.21,0,0,0
270,HD 114783 c,HD 114783,1,2,CJ,4352.0,5.0,603.87397,1.9,0.05,K1 V,,,0.9,,0,0,1
271,HD 113538 b,HD 113538,1,2,CS,663.2,1.24,114.41,0.36,0.14,K9 V,4462.0,0.53,0.58,-0.24,0,0,0
272,HD 113538 c,HD 113538,1,2,CJ,1818.0,2.44,295.57,0.93,0.2,K9 V,4462.0,0.53,0.58,-0.24,0,1,0
273,HD 113337 b,HD 113337,1,2,CJ,317.58639,1.022,1035.80278,3.259,0.28,,,,1.41,,0,0,0
274,HD 113337 c,HD 113337,1,2,CJ,5429.93477,6.805,6299.67686,19.821,0.164,,,,1.41,,0,0,1
275,HD 111232 b,HD 111232,1,2,CJ,1169.13202,2.148,2531.50326,7.965,0.214,,,,0.96,,0,0,0
276,HD 111232 c,HD 111232,1,2,CJ,26472.44623,17.25,5740.93452,18.063,0.558,,,,0.96,,0,0,1
277,HD 108874 b,HD 108874,1,2,CJ,394.48123,1.04,451.3186,1.42,0.13,,5600.0,1.05,1.1,0.26,0,0,0
278,HD 108874 c,HD 108874,1,2,CJ,1624.0,2.659,314.64,0.99,0.239,G5,5551.0,,0.95,0.19,0,0,1
279,HD 102329 b,HD 102329,1,2,CJ,778.09998,1.81,2593.4928,8.16,0.21,,4745.0,9.82,3.21,0.05,0,0,0
280,HD 102329 c,HD 102329,1,2,WJ,1123.0,0.5159289005558901,483.1016,1.52,0.209,,,,1.3,,0,0,0
281,HATS-59 b,HATS-59,1,2,HJ,5.416081,0.06112,256.17098,0.806,0.129,,5670.0,1.04,1.04,0.18,0,0,0
282,HATS-59 c,HATS-59,1,2,CJ,1422.0,2.504,4036.441,12.7,0.083,,5670.0,1.04,1.04,0.18,0,0,1
283,HAT-P-44 b,HAT-P-44,1,2,HS,4.301219,0.0507,111.871,0.352,0.044,,5295.0,0.95,0.94,0.33,0,0,0
284,HAT-P-44 c,HAT-P-44,1,2,CJ,872.2,1.752,1271.3,4.0,0.494,,5295.0,0.95,0.94,0.33,0,1,0
285,HAT-P-2 b,HAT-P-2,1,2,HJ,5.6335158,0.06814,2739.6946,8.62,0.5172,F8,6380.0,1.39,1.33,0.18,0,0,0
286,HAT-P-2 c,HAT-P-2,1,2,WJ,8500.0,0.13485483008226487,3400.76395,10.7,0.37,,,,1.33,,0,0,1
287,HAT-P-17 b,HAT-P-17,1,2,CJ,10.33852,10.725924270711626,184.3414,0.58,0.35,,5246.0,0.87,0.99,0.0,0,0,1
288,HAT-P-17 c,HAT-P-17,1,2,CJ,5584.0,5.6,1080.6,3.4,0.39,,5336.96,0.84,0.92,0.051,0,0,0
289,HAT-P-13 b,HAT-P-13,1,2,CJ,2.91625,,270.462,0.851,0.0133,,,,,,0,0,0
290,HAT-P-13 c,HAT-P-13,1,2,CJ,446.27,,4538.421,14.28,0.6616,,,,,,0,0,0
291,HAT-P-11 b,HAT-P-11,1,2,HS,4.88780244,0.0532,25.0,0.0787,0.2577,,4780.0,0.76,0.86,0.31,0,0,0
292,HAT-P-11 c,HAT-P-11,1,2,CJ,3299.0,,,,0.617,,,,,,0,0,0
293,GJ 876 b,GJ 876,1,4,WJ,61.1166,0.208317,723.2235,2.2756,0.0324,,,0.3,0.32,,1,0,1
294,GJ 876 c,GJ 876,1,4,WJ,30.0881,0.12959,226.9846,0.7142,0.25591,,,0.3,0.32,,1,0,0
295,GJ 876 d,GJ 876,1,4,SE,1.93778,0.020807,6.83,0.021,0.207,,,0.3,0.32,,0,0,0
296,GJ 876 e,GJ 876,1,4,SE,124.26,0.3343,14.6,0.046,0.055,,,0.3,0.32,,0,0,0
297,GJ 849 b,GJ 849,1,2,CJ,1925.31,2.32,283.82077,0.893,0.029,M3.5,3467.0,0.45,0.45,0.09,0,0,0
298,GJ 849 c,GJ 849,1,2,CJ,5990.0,4.95,314.65012,0.99,0.092,M3.5,3467.0,0.45,0.45,0.09,0,0,1
299,GJ 676 A b,GJ 676 A,2,4,CJ,1051.44521,1.735,1840.86213,5.792,0.319,,,,0.63,,1,0,0
300,GJ 676 A c,GJ 676 A,2,4,CJ,13921.42302,9.726,4288.14087,13.492,0.295,,,,0.63,,1,0,1
301,GJ 676 A d,GJ 676 A,2,4,SE,3.60076,0.039,3.81394,0.012,0.192,,,,0.63,,0,0,0
302,GJ 676 A e,GJ 676 A,2,4,SE,35.47358,0.181,6.6744,0.021,0.152,,,,0.63,,0,0,0
303,GJ 328 b,GJ 328,1,2,CJ,3771.0,4.11,797.7493,2.51,0.227,M0.0,3897.0,0.63,0.65,-0.06,0,1,0
304,GJ 328 c,GJ 328,1,2,CS,241.8,0.657,21.4,0.06733,,M0.0,3897.0,0.63,0.65,-0.06,0,0,0
305,GJ 317 b,GJ 317,1,2,CJ,695.66,1.151,557.1,1.75282,0.07,,,,0.42,,0,0,0
306,GJ 317 c,GJ 317,1,2,CJ,6739.323,5.23,522.5,1.64396,0.17,,,,0.42,,0,0,1
307,CoRoT-20 b,CoRoT-20,1,2,HJ,9.24285,0.09,1366.669,4.3,0.59,,,,1.14,,0,0,0
308,CoRoT-20 c,CoRoT-20,1,2,CJ,1675.0,2.9,5403.11,17.0,0.6,,,,1.14,,0,0,1
309,BD-210397 b,BD-210397,1,2,CJ,1891.0,2.63,214.0,0.7,0.1,K7 V,4051.0,0.75,0.68,0.12,0,0,0
310,BD-210397 c,BD-210397,1,2,CJ,6240.0,5.9,1525.57635,4.8,0.43,K7 V,,,0.69,,0,0,1
311,BD-11 4672 b,BD-11 4672,1,2,CJ,1634.0,2.36,206.5895,0.65,0.05,,4550.0,0.64,0.65,-0.35,1,0,0
312,BD-11 4672 c,BD-11 4672,1,2,SE,74.2,0.3,15.37,0.04836,0.4,,4550.0,0.64,0.65,-0.35,0,0,0
313,BD+20 2457 b,BD+20 2457,1,2,CJ,379.63,1.45,6807.63,21.42,0.15,K2 II,4137.0,49.0,2.8,-1.0,0,0,0
314,BD+20 2457 c,BD+20 2457,1,2,CJ,621.99,2.01,3963.17,12.47,0.18,K2 II,4137.0,49.0,2.8,-1.0,0,0,1
315,75 Cet b,75 Cet,2,2,CJ,696.62,1.912,787.89662,2.479,0.093,G3 III,4809.0,10.38,1.92,0.1,0,0,0
316,75 Cet c,75 Cet,2,2,CJ,2051.62,3.929,289.85951,0.912,0.023,G3 III,4809.0,10.38,1.92,0.1,0,0,1
317,7 CMa b,7 CMa,1,2,CJ,735.1,1.758,587.9855,1.85,0.06,,4826.0,4.87,1.34,0.21,0,0,0
318,7 CMa c,7 CMa,1,2,CJ,996.0,2.153,276.5121,0.87,0.08,,4826.0,4.87,1.34,0.21,0,0,1
319,55 Cnc b,55 Cnc,2,5,WJ,14.6516,0.1134,255.4,0.8036,0.0,,5172.0,0.94,0.91,0.35,1,0,0
320,55 Cnc c,55 Cnc,2,5,CS,44.3989,0.2373,51.2,0.1611,0.03,,5172.0,0.94,0.91,0.35,0,0,0
321,55 Cnc d,55 Cnc,2,5,CJ,5574.2,5.957,991.6,3.12,0.13,,5172.0,0.94,0.91,0.35,1,1,1
322,55 Cnc e,55 Cnc,2,5,SE,0.7365474,0.01544,7.99,0.02514,0.05,,5172.0,0.94,0.91,0.35,0,0,0
323,55 Cnc f,55 Cnc,2,5,CS,259.88,0.7708,47.8,0.1503,0.08,,5172.0,0.94,0.91,0.35,0,0,0
324,47 UMa b,47 UMa,1,3,CJ,1078.0,2.1,804.08,2.53,0.032,,5872.0,1.21,1.06,0.04,0,0,0
325,47 UMa c,47 UMa,1,3,CJ,2391.0,3.6,171.621,0.54,0.098,,5872.0,1.21,1.06,0.04,0,0,1
326,47 UMa d,47 UMa,1,3,CJ,14002.0,11.6,521.22,1.64,0.16,,5872.0,1.21,1.06,0.04,0,0,1
327,24 Sex b,24 Sex,1,2,CJ,452.8,1.333,632.46,1.99,0.09,,5098.0,4.9,1.54,-0.03,0,0,0
328,24 Sex c,24 Sex,1,2,CJ,883.0,2.08,273.32,0.86,0.29,,5098.0,4.9,1.54,-0.03,0,0,1
329,14 Her b,14 Her,1,2,CJ,1765.0389,2.774,2559.47216,8.053,0.373,,,,0.91,,0,0,0
330,HD 145675 c,14 Her,1,2,CJ,15732.45889,11.924,1597.08775,5.025,0.393,,,,0.91,,0,0,1
331,xi Aql b,xi Aql,1,1,WJ,136.97,0.625,616.90494,1.941,0.059,K0 III,4841.0,10.86,1.74,-0.11,0,0,0
332,ups Leo b,ups Leo,1,1,CJ,385.2,1.18,162.09249,0.51,0.32,G9 III,4836.0,11.22,1.48,-0.2,0,0,0
333,tau Boo b,tau Boo,2,1,HJ,3.3124568,0.049,1373.0256,4.32,0.011,,6466.27,1.43,1.32,0.264,0,0,0
334,ome Ser b,ome Ser,2,1,WJ,278.59,0.838,233.92171,0.736,0.18,G8 III,4724.0,10.99,1.01,-0.12,0,0,0
335,mu Leo b,mu Leo,1,1,CJ,357.8,1.1,762.8,2.4,0.09,K2 III,4538.2,11.4,1.5,0.36,0,0,0
336,gam1 Leo b,gam1 Leo,2,1,CJ,428.5,1.19,2790.43,8.78,0.144,,4330.0,31.88,1.23,,0,0,0
337,gam Psc b,gam Psc,1,1,CJ,555.1,1.32,425.89007,1.34,0.204,G7 III,4742.0,11.2,0.99,-0.62,0,0,0
338,gam Cep b,gam Cep,2,1,WJ,913.0,0.5876913496164937,2097.66749,6.6,0.15,K1 III-IV,4775.0,4.74,1.27,0.18,0,0,0
339,eps Eri b,eps Eri,1,1,CJ,2671.0,3.53,209.76675,0.66,0.07,K2 V,,,0.82,,0,0,0
340,eps CrB b,eps CrB,1,1,CJ,417.9,1.3,2129.461,6.7,0.11,K2 III,4406.0,21.0,1.7,-0.094,0,0,0
341,bet UMi b,bet UMi,1,1,CJ,522.3,1.4,1938.7,6.1,0.19,K4 III,4126.0,38.3,1.4,-0.27,0,0,0
342,bet Cnc b,bet Cnc,2,1,CJ,605.2,1.7,2479.0,7.8,0.08,K4 III,4092.1,47.2,1.7,-0.29,0,0,0
343,alf Tau b,alf Tau,2,1,CJ,628.96,1.46,2056.3601,6.47,0.1,K5 III,4055.0,45.1,1.13,-0.27,0,0,0
344,alf Ari b,alf Ari,1,1,CJ,380.8,1.2,572.07,1.8,0.25,,4553.0,13.9,1.5,,0,0,0
345,XO-7 b,XO-7,1,1,HJ,2.8641424,0.04421,225.34147,0.709,0.038,G0 V,6250.0,1.48,1.41,0.432,0,0,0
346,XO-5 b,XO-5,1,1,HJ,4.1877558,0.0515,378.2,1.19,0.0,,5430.0,1.13,1.04,0.05,0,0,0
347,XO-4 b,XO-4,1,1,CJ,4.12508,20.497672708759634,451.3186,1.42,0.0,,6397.0,1.45,1.1,-0.04,0,0,0
348,XO-3 b,XO-3,1,1,CJ,3.19154,19.648876045094678,2316.9807,7.29,0.29,,6429.0,1.54,0.58,-0.18,0,0,0
349,WASP-93 b,WASP-93,1,1,HJ,2.7325321,0.04211,467.2101,1.47,0.0,F4,6700.0,1.52,1.33,0.07,0,0,0
350,WASP-89 b,WASP-89,1,1,HJ,3.3564227,0.0427,1875.197,5.9,0.193,K3,5130.0,0.88,0.92,0.15,0,0,0
351,WASP-81 b,WASP-81,1,1,HJ,2.7164762,0.03908,231.69807,0.729,0.066,,5870.0,1.28,1.08,-0.36,0,0,0
352,WASP-80 b,WASP-80,1,1,HJ,3.06785234,0.0344,170.99254,0.538,0.002,,4143.0,0.59,0.58,-0.13,0,0,0
353,WASP-76 b,WASP-76,2,1,HJ,1.80988198,0.033,284.1386,0.894,0.0,F7,6329.0,1.76,1.46,0.366,0,0,0
354,WASP-74 b,WASP-74,1,1,CJ,2.13775,30.57027354190357,228.8376,0.72,0.0,,5990.0,1.42,0.98,0.39,0,0,0
355,WASP-73 b,WASP-73,1,1,CJ,4.08722,27.187967787125427,908.9938,2.86,0.0,,6030.0,2.55,2.52,0.14,0,0,0
356,WASP-70 A b,WASP-70 A,2,1,HJ,3.7130203,0.04853,187.512,0.59,0.0,G4,5763.0,1.22,1.11,-0.006,0,0,0
357,WASP-7 b,WASP-7,1,1,HJ,4.9546416,0.0617,305.1168,0.96,,,6400.0,1.43,1.28,0.0,0,0,0
358,WASP-68 b,WASP-68,2,1,CJ,5.0843,19.728915843513377,343.2564,1.08,0.0,,5910.0,1.79,1.49,0.22,0,0,0
359,WASP-66 b,WASP-66,1,1,CJ,4.08605,21.9757314297629,746.9005,2.35,0.0,,6600.0,1.76,1.33,-0.31,0,0,0
360,WASP-62 b,WASP-62,1,1,CJ,4.41195,19.65844588034045,165.2716,0.52,0.0,,6230.0,1.23,1.11,0.04,0,0,0
361,WASP-60 b,WASP-60,1,1,CJ,4.305,20.451670772324356,174.8065,0.55,0.0,,5900.0,1.17,1.19,-0.04,0,0,0
362,WASP-54 b,WASP-54,2,1,CJ,3.69364,21.92973843237475,187.5197,0.59,0.07,,6100.0,1.76,1.08,-0.27,0,0,0
363,WASP-50 b,WASP-50,1,1,HJ,1.9551,0.0293,466.8287,1.4688,,,5400.0,0.84,0.89,,0,0,0
364,WASP-5 b,WASP-5,1,1,HJ,1.6284279,0.0267,502.15,1.58,0.038,,5700.0,1.03,0.96,0.09,0,0,0
365,WASP-48 b,WASP-48,1,1,CJ,2.14363,29.4389906835368,254.264,0.8,0.0,,5920.0,1.58,0.88,-0.12,0,0,0
366,WASP-42 b,WASP-42,1,1,HJ,4.9816819,0.0561,167.49641,0.527,,,5315.0,0.89,0.95,0.29,0,0,0
367,WASP-4 b,WASP-4,1,1,HJ,1.33823147,0.0226,376.94638,1.186,0.0,,5400.0,0.89,0.86,-0.07,0,0,0
368,WASP-38 b,WASP-38,1,1,CJ,6.87188,17.060133326104705,1093.3352,3.44,0.03,,6180.0,1.52,1.76,-0.02,0,0,0
369,WASP-34 b,WASP-34,1,1,CJ,4.31768,19.001389161171208,177.9848,0.56,0.04,,5700.0,0.91,0.96,-0.02,0,0,0
370,WASP-32 b,WASP-32,1,1,CJ,2.71866,23.5000873655273,835.8929,2.63,0.0,,6140.0,0.95,0.72,-0.13,0,0,0
371,WASP-3 b,WASP-3,3,1,CJ,1.84683,39.84883545435258,772.3269,2.43,0.0,,6400.0,1.44,1.62,0.0,0,0,0
372,WASP-26 b,WASP-26,2,1,CJ,2.7566,24.704660621353433,270.1555,0.85,0.0,,6034.0,1.22,0.86,0.16,0,0,0
373,WASP-24 b,WASP-24,3,1,CJ,2.34121,32.63475388620692,394.1092,1.24,0.0,,6075.0,1.42,1.43,0.0,0,0,0
374,WASP-22 b,WASP-22,1,1,CJ,3.53269,24.97904568224294,212.9461,0.67,0.02,,6000.0,1.24,1.46,-0.05,0,0,0
375,WASP-2 b,WASP-2,2,1,HJ,2.152175,0.03144,295.89973,0.931,,,5180.0,0.87,0.9,0.12,0,0,0
376,WASP-118 b,WASP-118,1,1,HJ,4.0460435,0.05453,163.36462,0.514,0.0,F6,6410.0,1.7,1.32,0.16,0,0,0
377,WASP-106 b,WASP-106,1,1,CJ,9.28971,11.281186734088939,514.8846,1.62,0.0,,6055.0,1.31,0.93,-0.09,0,0,0
378,TrES-4 b,TrES-4,2,1,CJ,3.55395,22.500678750585653,247.9074,0.78,0.0,,6200.0,1.66,1.08,0.14,0,0,0
379,TrES-2 b,TrES-2,2,1,CJ,2.47063,30.962527502702223,473.5667,1.49,0.0,,5850.0,1.12,1.36,-0.15,0,0,0
380,TrES-1 b,TrES-1,2,1,CJ,3.03007,24.71181145096093,266.9772,0.84,0.0,,5230.0,0.85,1.04,0.02,0,0,0
381,TYC 4282-00605-1 b,TYC 4282-00605-1,1,1,WJ,101.54,0.422,3426.2074,10.78,0.28,,4300.0,16.21,0.97,-0.07,0,0,0
382,TYC 3667-1280-1 b,TYC 3667-1280-1,1,1,WJ,26.468,0.21,1716.282,5.4,0.036,,5130.0,6.26,1.87,-0.08,0,0,0
383,TYC 3318-01333-1 b,TYC 3318-01333-1,1,1,CJ,562.0,1.414,1086.9786,3.42,0.098,,4776.0,5.9,1.19,-0.06,0,0,0
384,TYC 0434-04538-1 b,TYC 0434-04538-1,1,1,WJ,193.2,0.66,1938.763,6.1,0.08,,4679.0,9.99,1.04,-0.38,0,0,0
385,TOI-778 b,TOI-778,1,1,HJ,4.633611,0.06,878.0,2.8,0.21,F3 V,6643.0,1.71,1.4,0.0,0,0,0
386,TOI-6029 b,TOI-6029,1,1,CJ,5.7987,18.312685987375882,519.64945,1.635,0.091,,6223.0,2.34,1.55,0.37,0,0,0
387,TOI-5153 b,TOI-5153,1,1,WJ,20.33003,0.158,1036.12061,3.26,0.091,F8 V,6300.0,1.4,1.24,0.12,0,0,0
388,TOI-481 b,TOI-481,1,1,HJ,10.33111,0.097,486.2799,1.53,0.153,G,5735.0,1.66,1.14,0.26,0,0,0
389,TOI-4603 b,TOI-4603,1,1,HJ,7.24599,0.0888,4096.80817,12.89,0.325,F,6264.0,2.74,1.76,0.342,0,0,0
