Internal index number,CPS identifier,[Fe/H],mass,,err_[Fe/H],logg,err_logg,Radius,err_R,,err_mass,GG?,Teff,err_Teff
273,210277,0.213,0.964,,0.059,4.327,0.027,1.114,0.025,,0.036,,5505.8,76.5
274,210302,0.112,1.301,,0.058,4.226,0.024,1.453,0.036,,0.036,,6385.8,80.3
275,210312,0.253,1.065,,0.062,4.376,0.033,1.108,0.026,,0.051,,5703.2,93.5
276,210392,0.322,1.2,,0.06,4.191,0.03,1.451,0.036,,0.053,,5769,99.9
277,210460,-0.224,1.54,,0.062,3.542,0.01,3.477,0.014,,0.019,<20 points,5472.1,91.4
278,211038,-0.203,0.971,,0.059,3.537,0.037,2.777,0.067,,0.069,,4952,54.9
279,211080,0.33,1.26,,0.061,3.987,0.037,1.897,0.045,,0.082,,5764.6,90.2
280,211681,0.354,1.237,,0.056,4.082,0.035,1.672,0.039,,0.072,,5708.6,79.9
281,212291,-0.119,0.904,,0.058,4.516,0.027,0.869,0.018,,0.038,,5589.7,80
282,212801,0.022,1.487,,0.062,3.642,0.021,3.037,0.081,,0.033,,5279.6,97.8
283,21313,0.17,1.137,,0.06,4.236,0.028,1.343,0.034,,0.049,,5885.5,93.8
284,213472,0.125,1.048,,0.062,4.145,0.032,1.434,0.033,,0.051,,5729.5,99.4
285,213519,-0.01,0.96,,0.06,4.313,0.031,1.129,0.026,,0.044,,5759.1,93
286,213628,0.047,0.931,,0.059,4.448,0.034,0.952,0.022,,0.047,,5554.6,85.3
287,214683,-0.262,0.709,,0.057,4.622,0.017,0.68,0.011,,0.024,,4874.6,67.1
288,215152,0.041,0.796,,0.057,4.564,0.022,0.77,0.014,,0.029,,4916,64.5
289,215578,0.215,2.491,,0.056,2.801,0.035 1,0.252,0.469,,0.102,,4827.5,33.3
290,216259,-0.556,0.677,,0.043,4.612,0.012,0.673,0.005,,0.016,,5122.8,38.7
291,216520,-0.124,0.791,,0.057,4.545,0.023,0.783,0.014,,0.03,,5160,69.5
292,217004,-0.03,1.038,,0.062,3.995,0.098,1.675,0.251,,0.083,,5693.2,97.2
293,217014,0.206,1.069,,0.06,4.317,0.031,1.187,0.028,,0.047,,5760.8,95.5
294,217107,0.34,1.06,,0.06,4.325,0.03,1.172,0.028,,0.045,,5606.8,94.3
295,217165,0.044,1.071,,0.06,4.338,0.032,1.157,0.028,,0.05,,5967.1,96.4
296,21774,0.239,1.066,,0.061,4.276,0.03,1.243,0.03,,0.047,,5703.4,94.1
297,217877,-0.089,0.997,,0.06,4.262,0.03,1.22,0.029,,0.044,,5942.4,95.6
298,218168,-0.007,1.056,,0.056,4.451,0.022,1.01,0.021,,0.035,,5923.7,73.2
299,218209,-0.376,0.808,,0.059,4.389,0.016,0.949,0.017,,0.014,,5732.8,49.1
300,21847,0.186,1.321,,0.06,4.286,0.024,1.37,0.032,,0.046,,6364,91.5
301,218566,0.298,0.855,,0.058,4.529,0.024,0.831,0.015,,0.031,,4942.9,63.1
302,218868,0.231,0.999,,0.06,4.45,0.031,0.985,0.021,,0.047,,5515.7,83
303,219134,0.083,0.788,,0.058,4.575,0.021,0.757,0.013,,0.027,,4817.1,62
304,219538,0.008,0.827,,0.057,4.55,0.026,0.798,0.015,,0.033,,5094,70.9
305,219542,0.165,1.043,,0.061,4.383,0.078,1.076,0.1,,0.051,,5720.4,98.7
306,219834b,0.224,0.896,,0.06,4.503,0.029,0.877,0.017,,0.039,,5175,73.8
307,219953,-0.473,0.709,,0.05,4.569,0.009,0.722,0.006,,0.012,< 20 points,5243.9,33.7
308,220221,0.161,0.807,,0.058,4.577,0.022,0.765,0.013,,0.027,,4788.2,62.8
309,220339,-0.213,0.751,,0.057,4.587,0.02,0.727,0.012,,0.028,,5052.2,65.6
310,22049,-0.044,0.815,,0.058,4.59,0.018,0.759,0.012,,0.024,,5020.4,57.7
311,22072,-0.257,1.052,,0.058,3.381,0.057,3.456,0.083,,0.12,,4969.6,63.4
312,221354,0.099,0.864,,0.058,4.462,0.023,0.901,0.018,,0.027,,5271.8,63.9
313,221356,-0.218,0.969,,0.062,4.343,0.033,1.095,0.026,,0.048,,6042.3,95.5
314,221851,-0.025,0.835,,0.06,4.561,0.025,0.794,0.014,,0.033,,5139.9,77.4
315,222582,0.017,0.969,,0.061,4.305,0.031,1.145,0.027,,0.043,,5746.7,91.8
316,222697,0.206,0.984,,0.059,4.503,0.022,0.923,0.017,,0.036,,5439.8,71.9
317,22282,0.181,0.955,,0.06,4.438,0.033,0.976,0.022,,0.048,,5467.4,84.1
318,223238,0.02,0.985,,0.061,4.275,0.03,1.196,0.028,,0.044,,5777.5,94.4
319,223315,0.321,1.082,,0.06,4.43,0.027,1.046,0.022,,0.041,,5646.7,76
320,223498,0.184,0.974,,0.06,4.375,0.032,1.059,0.025,,0.046,,5551.4,87.5
321,223691,-0.169,1.058,,0.062,3.824,0.021,2.081,0.051,,0.031,,5431.6 1,2.1
322,224383,-0.042,0.946,,0.059,4.185,0.027,1.299,0.031,,0.036,,5717.4,86.5
323,224619,-0.091,0.859,,0.057,4.46,0.03,0.901,0.02,,0.037,,5494.8,81
324,224983,0.147,0.879,,0.058,4.518,0.029,0.854,0.017,,0.036,,5173.8,72.8
325,225261,-0.323,0.772,,0.061,4.5,0.015,0.815,0.012,,0.018,,5439.1,53.4
326,22879,-0.708,0.792,,0.056,4.262,0.017,1.088,0.021,,0.011,,6058.5,44.1
327,230409,-0.741,0.697,,0.057,4.583,0.014,0.704,0.007,,0.018,,5471.3,52.1
328,230999,0.137,0.973,,0.06,4.332,0.03,1.111,0.026,,0.043,,5612.5,87.7
329,23249,0.168,1.219,,0.061,3.784,0.027,2.338,0.057,,0.05,,5067.2 1,1.2
330,23356,-0.036,0.791,,0.057,4.572,0.023,0.761,0.014,,0.029,,4976.6,67.4
331,233641,-0.121,1.198,,0.062,3.879,0.023,2.07,0.052,,0.032,,6018.9,97
332,23439,-0.733,0.676,,0.036,4.6,0.009,0.681,0.004,,0.013,,5360.4,27.4
333,24040,0.197,1.104,,0.059,4.197,0.029,1.387,0.031,,0.053,,5776.5,84.6
334,24213,0.073,1.166,,0.06,4.144,0.028,1.507,0.036,,0.057,,5985,81.4
335,24238,-0.357,0.722,,0.044,4.557,0.008,0.739,0.005,,0.01,,5202.3,29.8
336,24341,-0.495,0.91,,0.06,3.781,0.025,2.025,0.048,,0.032,,5388.2,93.9
337,24365,-0.21,1.38,,0.059,3.518,0.035,3.381,0.089,,0.085,,5131,81.3
338,24496,0.03,0.927,,0.06,4.432,0.033,0.967,0.022,,0.046,,5575,86.7
339,24727,-0.094,1.182,,0.056,4.134,0.025,1.534,0.034,,0.052,,6224.5,89.2
340,24892,-0.271,0.953,,0.062,3.816,0.024,1.992,0.048,,0.034,,5286.3,98.2
341,25329,-1.614,0.508,,0.061,4.816,0.021,0.46,0.019,,0.021,M star,4574.0 1,5.5
342,25665,0.021,0.805,,0.059,4.567,0.024,0.772,0.014,,0.029,,4962.6,63.4
343,25682,0.114,0.927,,0.059,4.419,0.031,0.981,0.022,,0.043,,5486.6,83.6
344,25825,0.123,1.129,,0.059,4.398,0.025,1.112,0.021,,0.042,,5979.8,79.8
345,26151,0.308,0.979,,0.059,4.462,0.031,0.962,0.021,,0.046,,5384.7,80.7
346,26161,-0.009,1.133,,0.059,4.163,0.027,1.456,0.032,,0.054,,6057.6,87.6
347,26736,0.194,1.102,,0.057,4.433,0.021,1.06,0.022,,0.034,,5811,71.9
348,26794,0.067,0.797,,0.059,4.536,0.017,0.794,0.013,,0.023,,4956.8,58.5
349,26965,-0.198,0.771,,0.053,4.52,0.013,0.796,0.012,,0.017,,5246,60.7
350,28005,0.313,1.131,,0.058,4.27,0.03,1.292,0.031,,0.048,,5743.8,97.4
351,28185,0.227,1.023,,0.061,4.383,0.034,1.076,0.025,,0.05,,5622,93.8
352,28187,-0.35,0.844,,0.058,4.247,0.02,1.143,0.026,,0.015,,5840.7,49.2
353,283,-0.418,0.731,,0.058,4.572,0.019,0.73,0.009,,0.024,,5255.7,53
354,28946,-0.101,0.846,,0.056,4.534,0.029,0.822,0.016,,0.036,,5343.9,83.1
355,29461,0.215,1.117,,0.061,4.424,0.022,1.075,0.02,,0.039,,5831.3,73.1
356,29528,0.177,0.951,,0.06,4.401,0.032,1.016,0.023,,0.044,,5492.5,84.6
357,29883,-0.094,0.777,,0.053,4.556,0.021,0.766,0.013,,0.027,,5044.8,64.1
358,30649,-0.406,0.846,,0.058,4.193,0.023,1.219,0.03,,0.017,,5879.1,54.3
359,30708,0.152,1.016,,0.061,4.213,0.03,1.305,0.031,,0.045,,5665.9,96.2
360,3074a,0.056,1.136,,0.057,4.163,0.028,1.459,0.032,,0.055,,5982.4,82.3
361,31253,0.14,1.325,,0.058,4.032,0.03,1.829,0.042,,0.073,,6014.9,81.7
362,31412,0.036,1.099,,0.06,4.304,0.029,1.22,0.029,,0.046,,6044.5,96.1
363,31966,0.101,1.075,,0.063,4.041,0.026,1.632,0.039,,0.037,,5695.8,99.5
364,32923,-0.14,0.995,,0.061,3.975,0.023,1.697,0.041,,0.03,,5676.1,96.9
365,32963,0.075,0.981,,0.061,4.336,0.032,1.111,0.026,,0.046,,5706.1,92.6
366,33021,-0.159,0.955,,0.06,4.037,0.025,1.547,0.037,,0.032,,5708.3,98
367,33636,-0.071,1.017,,0.061,4.409,0.031,1.04,0.024,,0.049,,5949.3,90.3
368,34411,0.074,1.03,,0.062,4.232,0.03,1.285,0.03,,0.048,,5804.2,95.7
369,34445,0.138,1.11,,0.059,4.146,0.031,1.479,0.034,,0.06,,5829.5,86.2
370,34575,0.313,1.054,,0.06,4.29,0.03,1.215,0.028,,0.045,,5611.2,93.8
371,34721,-0.046,1.049,,0.062,4.178,0.029,1.381,0.032,,0.048,,5977.9,95.7
372,34745,-0.084,1.043,,0.061,4.274,0.028,1.231,0.029,,0.044,,6053.1,96
373,35627,0.015,1.14,,0.06,4.158,0.028,1.471,0.035,,0.055,,6037.3,85.3
374,35974,-0.161,1.101,,0.061,3.898,0.021,1.948,0.046,,0.031,,5844.5,97.5
375,36308,0.046,0.921,,0.055,4.543,0.019,0.851,0.015,,0.029,,5395.2,74.2
376,3651,0.168,0.888,,0.06,4.505,0.03,0.872,0.017,,0.039,,5205.9,74.5
377,37008,-0.322,0.733,,0.06,4.555,0.012,0.746,0.008,,0.016,,5208.4,48.8
378,37124,-0.326,0.813,,0.06,4.391,0.016,0.949,0.017,,0.015,,5698.6,48.7
379,37213,-0.419,0.928,,0.061,3.803,0.023,1.996,0.048,,0.031,,5388.7,96.9
380,37394,0.159,0.922,,0.056,4.547,0.016,0.85,0.014,,0.028,,5255.1,65.9
381,3765,0.172,0.852,,0.06,4.527,0.026,0.831,0.016,,0.033,,5049.8,64.9
382,377,0.138,1.113,,0.057,4.434,0.016,1.063,0.02,,0.033,,5903.3,66.4
383,3795,-0.513,0.855,,0.058,3.813,0.022,1.896,0.048,,0.019,,5356.5,67.8
384,37962,-0.181,0.9,,0.06,4.476,0.033,0.907,0.02,,0.046,,5719.1,84.8
385,38230,-0.006,0.828,,0.053,4.478,0.018,0.866,0.016,,0.021,,5244.1,59.3
386,38392,-0.026,0.754,,0.062,4.614,0.015,0.71,0.008,,0.022,,4719,63.9
387,38529,0.377,1.529,,0.059,3.709,0.012,2.858,0.04,,0.012,,5624.2 1,16.1
388,38858,-0.172,0.9,,0.06,4.451,0.034,0.932,0.021,,0.048,,5736.4,86.3
389,39881,-0.091,0.916,,0.058,4.195,0.025,1.265,0.03,,0.028,,5708.4,72
390,40397,-0.042,0.884,,0.056,4.338,0.02,1.053,0.023,,0.022,,5593.6,61.4
391,40647,-0.043,0.875,,0.057,4.545,0.025,0.829,0.016,,0.034,,5348.2,87.2
392,40979,0.203,1.235,,0.063,4.343,0.023,1.237,0.028,,0.032,,6149.7,58.7
393,41593,0.087,0.91,,0.058,4.55,0.017,0.842,0.014,,0.029,,5293.5,71.5
394,4203,0.38,1.137,,0.056,4.146,0.032,1.497,0.034,,0.063,,5625.1,77.6
395,4208,-0.22,0.847,,0.06,4.42,0.028,0.935,0.02,,0.034,,5669.8,76.2
396,42250,0.047,0.878,,0.058,4.425,0.025,0.948,0.02,,0.029,,5416.2,69.6
397,4256,0.256,0.848,,0.059,4.545,0.024,0.813,0.014,,0.03,,4921.8,63.5
398,42618,-0.086,0.92,,0.06,4.409,0.033,0.989,0.023,,0.046,,5716.7,88.3
399,4307,-0.199,1.023,,0.061,3.938,0.022,1.795,0.041,,0.03,,5767.2,96.9
400,43745,0.11,1.394,,0.059,3.935,0.036,2.087,0.048,,0.086,,6064.7,88.7
401,43947,-0.255,0.921,,0.06,4.295,0.03,1.127,0.026,,0.041,,5960.8,91.9
402,44420,0.29,1.101,,0.06,4.315,0.03,1.206,0.027,,0.045,,5744.8,91.4
403,44985,-0.067,1.003,,0.061,4.328,0.033,1.135,0.027,,0.047,,5940.9,95
404,45067,-0.049,1.168,,0.063,3.951,0.026,1.889,0.046,,0.039,,5990.3 1,4.1
405,45184,0.042,1.015,,0.059,4.38,0.033,1.075,0.025,,0.051,,5820.1,94.8
406,45350,0.292,1.047,,0.06,4.258,0.03,1.258,0.03,,0.047,,5607.8,92.9
407,45588,-0.006,1.156,,0.058,4.163,0.027,1.47,0.036,,0.052,,6089.9,91.3
408,4614,-0.241,0.909,,0.06,4.32,0.031,1.088,0.025,,0.042,,5913.2,90.8
409,4628,-0.235,0.738,,0.056,4.602,0.02,0.71,0.012,,0.026,,4997.9,64.2
410,46375,0.271,0.933,,0.06,4.485,0.031,0.914,0.019,,0.042,,5264.4,74.1
411,47157,0.351,1.092,,0.057,4.329,0.027,1.187,0.026,,0.044,,5674.2,90.1
412,4747,-0.166,0.832,,0.058,4.557,0.026,0.794,0.015,,0.033,,5331.9,74.7
413,48682,0.083,1.124,,0.059,4.385,0.024,1.13,0.024,,0.046,,6036.5,87.3
414,48938,-0.404,0.864,,0.058,4.214,0.025,1.199,0.028,,0.028,,5944.4,79.1
415,4915,-0.151,0.898,,0.057,4.486,0.033,0.895,0.019,,0.046,,5667.5,81.6
416,49674,0.3,1.064,,0.06,4.426,0.03,1.044,0.022,,0.046,,5628.4,82.7
417,50499,0.305,1.253,,0.061,4.222,0.024,1.433,0.034,,0.035,,5978.1 1,3.7
418,50554,-0.021,1.037,,0.062,4.333,0.032,1.146,0.026,,0.049,,5968.4,95.9
419,50639,-0.014,1.091,,0.06,4.257,0.029,1.282,0.031,,0.046,,6069.2,97.9
420,50692,-0.179,0.905,,0.061,4.295,0.028,1.119,0.026,,0.037,,5827.8,84.5
421,50806,0.063,1.037,,0.061,4.013,0.024,1.658,0.04,,0.033,,5591.9,97.3
422,51219,0.027,0.928,,0.06,4.351,0.029,1.062,0.024,,0.039,,5628.6,81.5
423,51419,-0.308,0.837,,0.059,4.36,0.023,0.997,0.02,,0.025,,5775.3,63.9
424,51866,0.088,0.806,,0.058,4.563,0.023,0.776,0.014,,0.029,,4905.1,63.6
425,52265,0.191,1.216,,0.061,4.239,0.025,1.38,0.033,,0.04,,6057.4,97.2
426,52456,0.056,0.86,,0.057,4.542,0.028,0.822,0.016,,0.034,,5170.4,73.9
427,52711,-0.119,0.929,,0.061,4.333,0.031,1.085,0.025,,0.044,,5814.8,90.8
428,531a,0.162,1.044,,0.058,4.456,0.024,1,0.021,,0.041,,5687.2,79.2
429,531b,0.166,1.043,,0.058,4.466,0.023,0.988,0.02,,0.034,,5670.9,71.7
430,53665,0.182,1.429,,0.062,4.055,0.022,1.854,0.043,,0.036,,6260.7 1,0.4
431,5372,0.238,1.135,,0.058,4.359,0.027,1.166,0.026,,0.048,,5876.3,91.9
432,5470,0.216,1.149,,0.061,4.291,0.028,1.268,0.031,,0.047,,5914.4,97.3
433,55575,-0.309,0.868,,0.059,4.241,0.024,1.167,0.027,,0.027,,5866.6,71.1
434,56274,-0.476,0.807,,0.06,4.451,0.027,0.88,0.017,,0.031,,5779.5,77.3
435,56303,0.145,1.109,,0.059,4.279,0.028,1.264,0.03,,0.046,,5904.3,91.6
436,58781,0.134,0.969,,0.06,4.36,0.032,1.074,0.025,,0.046,,5602.6,89.2
437,60491,-0.152,0.788,,0.053,4.596,0.02,0.74,0.013,,0.026,,5061.9,67.6
438,6101,-0.018,0.786,,0.052,4.529,0.017,0.797,0.017,,0.019,,5025.9,62.2
439,61606,0.033,0.81,,0.059,4.584,0.02,0.763,0.013,,0.027,,4925.5,67.7
440,62613,-0.063,0.893,,0.059,4.507,0.031,0.872,0.019,,0.04,,5501.2,80
441,63754,0.175,1.445,,0.059,3.934,0.031,2.135,0.048,,0.083,,6038.2,78.4
442,65430,-0.039,0.82,,0.054,4.488,0.019,0.852,0.016,,0.022,,5247.8,61.8
443,6558,0.24,1.29,,0.06,4.156,0.019,1.569,0.031,,0.033,,6014.3,90.9
444,65583,-0.541,0.733,,0.048,4.524,0.01,0.773,0.008,,0.013,,5485.7,43
445,66171,-0.239,0.865,,0.059,4.344,0.026,1.033,0.023,,0.032,,5789.2,73.6
446,66428,0.271,1.051,,0.061,4.323,0.031,1.169,0.027,,0.045,,5647.6,94.3
447,6734,-0.384,0.968,,0.06,3.398,0.046,3.251,0.076,,0.091,,5013.9,55.2
448,67458,-0.165,0.923,,0.06,4.381,0.034,1.023,0.024,,0.048,,5837.6,93.2
449,67767,-0.006,1.554,,0.059,3.586,0.025,3.316,0.098,,0.036,,5233.9 1,2.1
450,68017,-0.324,0.815,,0.06,4.381,0.016,0.961,0.018,,0.014,,5712.4,48.6
451,68168,0.117,0.997,,0.061,4.345,0.033,1.109,0.026,,0.048,,5694.8,94.3
452,6872a,-0.061,1.284,,0.063,4.132,0.023,1.608,0.039,,0.035,,6434.8 1,0.5
453,6872b,-0.136,1.174,,0.057,4.19,0.021,1.436,0.03,,0.036,,6356,98.6
454,68978,0.052,1.069,,0.06,4.386,0.032,1.096,0.025,,0.051,,5936.5,87.5
455,68988,0.305,1.172,,0.057,4.309,0.03,1.256,0.029,,0.049,,5883.4 1,3.8
456,69809,0.252,1.108,,0.059,4.242,0.029,1.32,0.03,,0.049,,5751.6,89.4
457,69830,0.012,0.89,,0.06,4.49,0.033,0.887,0.019,,0.041,,5420.6,81.3
458,71334,-0.053,0.911,,0.058,4.35,0.029,1.053,0.024,,0.038,,5682.5,80.5
459,71479,0.204,1.143,,0.061,4.257,0.029,1.316,0.031,,0.05,,5881,98.2
460,71881,-0.021,0.99,,0.061,4.241,0.03,1.245,0.029,,0.044,,5828.3,95.1
461,72659,-0.01,1.053,,0.061,4.094,0.03,1.522,0.036,,0.044,,5865.2 1,3.9
462,72673,-0.305,0.766,,0.057,4.554,0.024,0.763,0.013,,0.03,,5301,61
463,73344,0.131,1.184,,0.06,4.337,0.024,1.22,0.027,,0.046,,6120.5,85.1
464,73667,-0.409,0.713,,0.042,4.564,0.008,0.729,0.005,,0.011,,5208.1,26.9
465,74156,0.079,1.151,,0.06,4.139,0.029,1.511,0.034,,0.059,,5951.7,85.6
466,75732,0.383,0.975,,0.055,4.458,0.032,0.964,0.021,,0.045,,5317.9,80.5
467,76909,0.341,1.089,,0.058,4.262,0.029,1.281,0.03,,0.049,,5647.4,86.2
468,7924,-0.123,0.802,,0.058,4.555,0.026,0.78,0.015,,0.033,,5171.1,74.2
469,80367,0.076,0.839,,0.06,4.484,0.019,0.866,0.016,,0.023,,5184.7,57.9
470,8038,0.18,1.03,,0.06,4.448,0.029,1.004,0.022,,0.04,,5639.6,75.6
471,80606,0.348,1.047,,0.058,4.402,0.032,1.066,0.024,,0.048,,5565.9,92.2
472,82943,0.23,1.148,,0.061,4.337,0.03,1.199,0.027,,0.05,,5918.3,95.2
473,8328,0.324,1.26,,0.06,4.074,0.034,1.699,0.04,,0.074,,5752.9,79
474,83443,0.375,1.007,,0.057,4.427,0.032,1.015,0.022,,0.045,,5429.2,87.2
475,8375,-0.003,1.613,,0.062,3.503,0.03,3.743,0.081,,0.099,,5111.0 1,13.7
476,8389,0.406,0.945,,0.046,4.44,0.029,0.97,0.02,,0.039,,5244.5,75.6
477,84117,-0.035,1.106,,0.06,4.324,0.028,1.195,0.028,,0.046,,6158.8,93.6
478,84737,0.136,1.185,,0.058,4.083,0.033,1.645,0.039,,0.07,,5891.6,90.9
479,8574,-0.01,1.091,,0.06,4.169,0.029,1.423,0.033,,0.053,,6004.1,87.3
480,8648,0.188,1.084,,0.06,4.245,0.03,1.299,0.03,,0.049,,5782.7,90.5
481,86728,0.226,1.071,,0.062,4.311,0.03,1.196,0.028,,0.046,,5739,94.5
482,87359,0.07,0.982,,0.06,4.436,0.033,0.991,0.023,,0.05,,5668.2,85.4
483,87424,-0.086,0.795,,0.057,4.591,0.02,0.748,0.013,,0.028,,5010.7,64.5
484,8765,0.223,1.033,,0.061,4.341,0.035,1.133,0.034,,0.047,,5658,94.8
485,87836,0.329,1.175,,0.059,4.178,0.028,1.459,0.034,,0.055,,5713.7,77.2
486,87883,0.104,0.826,,0.057,4.549,0.024,0.799,0.014,,0.032,,4989.4,67.1
487,88072,0.03,0.973,,0.061,4.375,0.034,1.058,0.025,,0.049,,5731.1,94.4
488,88218,-0.143,1.035,,0.061,3.959,0.022,1.762,0.041,,0.031,,5766.5,96.2
489,88371,-0.203,0.868,,0.056,4.267,0.021,1.133,0.026,,0.019,,5749.8,55.2
490,88725,-0.528,0.789,,0.057,4.388,0.015,0.939,0.016,,0.013,,5825.7,49.9
491,88986,0.078,1.104,,0.063,4.063,0.036,1.614,0.038,,0.068,,5837.3 1,6.6
492,89269,-0.138,0.871,,0.059,4.424,0.031,0.945,0.021,,0.039,,5635.7,80.7
493,89391,-0.131,1.138,,0.06,3.196,0.064,4.445,0.101,,0.151,,4865.8,66.1
494,90125,-0.144,1.477,,0.059,2.927,0.056,6.923,0.185,,0.169,,4842.1,59.1
495,90156,-0.18,0.856,,0.06,4.44,0.03,0.92,0.02,,0.038,,5629.6,80.5
496,9070,0.35,1.122,,0.058,4.411,0.024,1.091,0.02,,0.043,,5726.7,78.6
497,90711,0.311,0.996,,0.059,4.437,0.033,0.999,0.022,,0.047,,5449.3,86.9
498,90722,0.335,1.124,,0.058,4.215,0.029,1.371,0.031,,0.052,,5677,79.6
499,91204,0.211,1.155,,0.059,4.21,0.028,1.396,0.033,,0.05,,5843,91.1
500,92222a,0.187,1.02,,0.058,4.502,0.016,0.942,0.017,,0.031,,5549.4,65
501,92719,-0.103,0.937,,0.058,4.425,0.034,0.98,0.023,,0.048,,5774.6,90.7
502,92788,0.277,1.076,,0.061,4.338,0.03,1.162,0.027,,0.044,,5702.3,92.4
503,9331,0.237,1.023,,0.061,4.328,0.031,1.146,0.027,,0.045,,5618.9,93.8
504,93745,0.113,1.217,,0.056,4.088,0.03,1.646,0.038,,0.066,,5952.2,78.7
505,9407,0.029,0.929,,0.06,4.366,0.03,1.045,0.024,,0.04,,5622.3,82.6
506,95128,0.026,1.005,,0.061,4.328,0.032,1.137,0.027,,0.047,,5829.2,94.8
507,9518a,0.105,1.44,,0.062,3.996,0.023,1.989,0.046,,0.041,,6258.2,99.2
508,9540a,-0.002,0.913,,0.054,4.531,0.026,0.858,0.018,,0.032,,5442.1,67.9
509,9562,0.222,1.331,,0.06,3.994,0.036,1.912,0.043,,0.082,,5891,84
510,96700,-0.181,0.9,,0.06,4.247,0.026,1.18,0.028,,0.033,,5804.3,78.5
511,97343,0.02,0.879,,0.059,4.421,0.026,0.953,0.02,,0.031,,5455.3,72.8
512,97658,-0.228,0.772,,0.057,4.567,0.024,0.754,0.013,,0.03,,5194,67.4
513,9826,0.122,1.294,,0.063,4.125,0.025,1.622,0.039,,0.041,,6156.8 1,12.2
514,98281,-0.161,0.83,,0.058,4.489,0.029,0.856,0.018,,0.035,,5452.7,77.6
515,98618,0.037,0.993,,0.06,4.296,0.031,1.172,0.028,,0.044,,5780.3,94.5
516,99109,0.384,0.969,,0.055,4.436,0.031,0.986,0.021,,0.044,,5323.9,82.5
517,99491,0.331,1.02,,0.06,4.462,0.028,0.982,0.019,,0.044,,5465.4,78.6
518,99492,0.278,0.856,,0.06,4.539,0.025,0.823,0.015,,0.031,,4936.5,63.4
519,9986,0.089,1.032,,0.06,4.397,0.032,1.064,0.025,,0.05,,5795.8,91.3
520,bd-103166,0.37,1,,0.057,4.465,0.03,0.97,0.021,,0.044,,5382.6,78.5
521,g161-29,0.047,0.784,,0.055,4.547,0.018,0.778,0.012,,0.023,,4909.2,59.2
522,g60-06,0.107,0.847,,0.058,4.535,0.027,0.821,0.016,,0.034,,5082.1,67.7
523,hip103269,-1.64,0.621,,0.061,4.743,0.018,0.555,0.013,,0.019,,5286.9,96.4
524,hip10449,-0.76,0.751,,0.053,4.428,0.01,0.875,0.01,,0.009,,5918.9,35.9
525,hip106924,-1.67,0.9,,0.06,4.484,0.01,0.9,0.05,,0.05,,0,0
526,hip114914,0.144,1.106,,0.06,4.321,0.087,1.185,0.134,,0.056,,5892.1,95.8
527,hip15904,-1.55,0.645,,0.062,4.723,0.021,0.58,0.015,,0.023,,5452.2 1,1
528,hip16404,-1.863,0.619,,0.061,4.75,0.1,0.578,0.005,,0.017,,5490.6,40.2
529,hip52942a,-0.161,1.223,,0.059,4.027,0.034,1.764,0.041,,0.072,,6283.4,90.4
530,hip57450,-1.392,0.636,,0.06,4.718,0.021,0.578,0.014,,0.021,,5332.2,99
531,hip80295,0.033,0.782,,0.058,4.58,0.021,0.749,0.013,,0.027,,4838,63.6
532,hip87062,-1.513,0.713,,0.061,4.678,0.028,0.642,0.02,,0.027,<20 points,5849.7,99.3
533,hip89215,-0.863,0.652,,0.249,4.625,0.008,0.651,0.005,,0.009,<20 points,5334.2,14.7
534,s101438b,0.085,0.933,,0.06,4.298,0.109,1.119,0.159,,0.038,,5540.5,78.5
535,s11844,0.049,1.207,,0.062,4.257,0.087,1.331,0.157,,0.064,,6238,98.6
536,103932,0.117,0.722,,0.074,4.618,0.016,0.69,0.012,,0.022,,4441.5,51.7
537,10436,-0.189,0.632,,0.072,4.655,0.011,0.618,0.009,,0.015,,4368.4,51.7
538,10853,-0.045,0.721,,0.077,4.614,0.017,0.693,0.013,,0.024,,4639.1,70.4
539,110315,0.068,0.718,,0.053,4.592,0.009,0.709,0.005,,0.014,,4555.8,38.8
540,111631,0.324,0.677,,0.075,4.642,0.012,0.649,0.008,,0.013,,4077.8,34.9
541,119850,-0.223,0.48,,0.055,4.8,0.007,0.456,0.005,,0.008,M star,3836.6,19.4
542,120467,0.242,0.732,,0.072,4.604,0.015,0.704,0.009,,0.019,,4380.9,45
543,120476a,0.039,0.737,,0.089,4.604,0.03,0.706,0.037,,0.044,,4599.1 1,11.6
544,122064,0.147,0.798,,0.081,4.556,0.019,0.776,0.012,,0.027,,4826.7,67.4
545,122120,0.185,0.738,,0.069,4.596,0.014,0.714,0.009,,0.018,,4479.4,51.9
546,122303,-0.009,0.518,,0.078,4.769,0.009,0.49,0.008,,0.01,M star,3807.5,32.4
547,124642,0.104,0.764,,0.081,4.594,0.018,0.729,0.013,,0.025,,4660.5,70.9
548,1326,-0.391,0.4,,0.087,4.888,0.009,0.375,0.007,,0.008 1,M star,3742.7,30.2
549,1326b,-0.302,0.157,,0.077,5.132,0.011,0.179,0.005,,0.005 1,M star,3342,47.7
550,139477,0.03,0.74,,0.078,4.608,0.017,0.708,0.012,,0.025,,4629.6,67.6
551,147379a,0.114,0.648,,0.071,4.65,0.01,0.628,0.007,,0.014,,4126.1,37.6
552,147379b,0.044,0.36,,0.089,4.9,0.044,0.351,0.042,,0.052 1,M star,3444.8,71.8
553,148467,0.012,0.675,,0.067,4.629,0.012,0.658,0.008,,0.016,,4361.2,47.2
