,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
328,328,HD112640 b,HD112640,CJ,1,1,613.2,1.7,,,1589.15,5.0,0.24,0.18,-0.18,K0 III,4155.0,39.0,1.8,-0.09,1.0,0.0,Radial Velocity,<a refstr=LEE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53...27L/abstract target=ref>Lee et al. 2020</a>,3455.739794,28.0
329,329,HD112570 b,HD112570,CJ,1,1,2615.0,3.9,,,1086.97315194,3.42,0.2,0.16,-0.14,K0 III,4750.0,9.85,1.15,-0.4,1.0,0.0,Radial Velocity,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231201388X/abstract target=ref>Xiao et al. 2023</a>,6245.9756,39.0
330,330,HD112300 b,HD112300,CJ,1,1,466.63,1.33,,,5031.22368281,15.83,0.36,0.06,-0.11,M1 III,3657.0,65.8,1.4,-0.06,1.0,0.0,Radial Velocity,<a refstr=LEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230715897L/abstract target=ref>Lee et al. 2023</a>,5662.327461999999,35.0
331,331,HD109286 b,HD109286,CJ,1,1,520.1,1.259,,,950.30693693,2.99,0.338,0.034,-0.035,G4 V,5694.0,1.089,0.98,0.05,1.0,0.0,Radial Velocity,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..78D/abstract target=ref>Demangeon et al. 2021</a>,2178.993699999999,45.0
332,332,HD108863 b,HD108863,CJ,1,1,437.7,1.32,,,767.24162,2.414,0.032,0.027,-0.027,,4878.0,5.74,1.59,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,2420.354000000001,41.0
333,333,HD108341 b,HD108341,CJ,2,1,1129.0,2.0,,,1112.4,3.5,0.85,0.09,-0.08,K2 V,5122.0,0.79,0.843,0.04,1.0,0.0,Radial Velocity,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,3715.779248000006,23.0
334,334,HD106270 b,HD106270,CJ,1,1,1888.0,3.34,,,3219.6179,10.13,0.185,0.027,-0.027,,5509.0,2.66,1.39,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,3195.3470000000016,29.0
335,335,HD104985 b,HD104985,WJ,1,1,199.68,0.715,,,1766.80811451,5.559,0.047,0.015,-0.028,G9 III,4738.0,11.12,1.22,-0.32,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,7300.026250000112,130.0
336,336,HD10442 b,HD10442,CJ,1,1,1032.3,2.01,,,472.61321,1.487,0.132,0.044,-0.044,,4912.0,1.97,1.01,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,4054.069999999998,50.0
337,337,HD103720 b,HD103720,HJ,1,1,4.5557,0.0498,,,197.046,0.62,0.086,0.024,-0.024,K3 V,5017.0,0.73,0.794,-0.02,1.0,0.0,Radial Velocity,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,3352.9246310000017,71.0
338,338,HD102956 b,HD102956,HJ,2,1,6.4947,0.0807,,,305.1168,0.96,0.037,0.019,-0.019,,4985.0,4.55,1.66,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,3579.184000000001,34.0
339,339,HATS70 b,HATS70,HJ,1,1,1.8882378,0.03632,15.513256,1.384,4100.007,12.9,0.18,0.1,-0.1,,7930.0,1.881,1.78,0.041,1.0,1.0,Transit,<a refstr=ZHOU_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...31Z/abstract target=ref>Zhou et al. 2019</a>,439.0472395196557,20.0
340,340,HATS68 b,HATS68,HJ,1,1,3.5862202,0.05071,13.809488,1.232,410.0007,1.29,0.036,0.1,-0.1,,6147.0,1.748,1.351,0.21,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,403.1175599999997,23.0
341,341,HATS64 b,HATS64,HJ,1,1,4.908897,0.06562,18.819911,1.679,305.1168,0.96,0.151,0.1,-0.1,,6554.0,2.113,1.564,0.22,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,1180.78719,30.0
342,342,HATS62 b,HATS62,HS,1,1,3.2768837,0.04163,11.825495,1.055,56.89157,0.179,0.298,0.1,-0.1,,5416.0,0.933,0.896,0.133,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,491.33597999999984,47.0
343,343,HATS56 b,HATS56,HJ,1,1,4.324799,0.06043,18.920792,1.688,191.33366,0.602,0.019,0.1,-0.1,,6536.0,2.201,1.573,0.19,1.0,1.0,Transit,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,431.9602999999188,59.0
344,344,HATS54 b,HATS54,HJ,1,1,2.5441765,0.037,11.37711541,1.015,239.32479047,0.753,0.0,0.1,-0.1,G6 V,5621.0,1.23,1.05,0.37,1.0,1.0,Transit,<a refstr=JACKSON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221101044J/abstract target=ref>Jackson et al. 2022</a>,95.95600000000013,19.0
345,345,HATS51 b,HATS51,HJ,1,1,3.3488702,0.04639,15.80469,1.41,244.09344,0.768,0.33,0.1,-0.1,,5758.0,1.44,1.187,,1.0,1.0,Transit,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,706.0629799999997,48.0
346,346,HATS50 b,HATS50,HS,1,1,3.8297015,0.05046,12.66617,1.13,123.9537,0.39,0.516,0.1,-0.1,,5990.0,1.117,1.168,,1.0,1.0,Transit,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,785.7060599999995,39.0
347,347,HATS41 b,HATS41,HJ,1,1,4.193649,0.0583,14.90797,1.33,3082.951,9.7,0.38,0.11,-0.11,,6424.0,1.71,1.496,0.47,1.0,0.0,Transit,<a refstr=BENTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.3406B/abstract target=ref>Bento et al. 2018</a>,528.6219700002111,24.0
348,348,HATS33 b,HATS33,HJ,1,1,2.5495551,0.03727,13.78707,1.23,378.85336,1.192,0.08,0.1,-0.1,,5659.0,1.022,1.062,0.29,1.0,1.0,Transit,<a refstr=DE_VAL_BORRO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..161D/abstract target=ref>de Val-Borro et al. 2016</a>,102.79220999999961,23.0
