,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
627,Kepler1655b,Kepler1655,SE,1,1,11.8728787,0.1029,2.213,0.19743098,5.4,0.0169903,0.19,0.1,-0.1,,6148.0,1.03,1.03,-0.24,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
628,Kepler20 b,Kepler20,SE,2,6,3.6961049,0.04565,1.773,0.15817674,9.7,0.03051961,0.083,0.1,-0.1,,5495.0,0.9164,0.929,0.07,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
629,Kepler20 c,Kepler20,SE,2,6,10.8540774,0.0936,2.894,0.25818583,11.1,0.03492451,0.076,0.1,-0.1,,5495.0,0.9164,0.929,0.07,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
630,Kepler20 d,Kepler20,SE,2,6,77.611455,0.3474,2.606,0.23249215,13.4,0.04216111,0.082,0.1,-0.1,,5495.0,0.9164,0.929,0.07,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
631,Kepler20 e,Kepler20,SE,2,6,6.0984882,0.0637,0.821,0.07324484,0.76,0.00239123,0.092,0.1,-0.1,,5495.0,0.9164,0.929,0.07,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
632,Kepler20 f,Kepler20,SE,2,6,19.578328,0.1387,0.952,0.0849319,1.4,0.00440489,0.094,0.1,-0.1,,5495.0,0.9164,0.929,0.07,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
633,Kepler20 g,Kepler20,SE,2,6,34.94,0.2055,,,19.96,0.06280087,0.15,0.01,-0.1,,5495.0,0.9639,0.948,0.07,1.0,0.0,Radial Velocity,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>
634,Kepler21 b,Kepler21,SE,2,1,2.7858212,0.0434,1.639,0.14622204,7.5,0.02359764,0.0,0.1,-0.1,,6305.0,1.902,1.408,-0.03,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
635,Kepler22 b,Kepler22,SE,1,1,289.863876,0.812,2.1,0.18734977,9.1,0.0286318,0.72,0.1,-0.1,,5596.0,0.869,0.857,-0.255,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
636,Kepler323 b,Kepler323,SE,1,2,1.678328,0.02778,1.381,0.12320478,3.9,0.01227077,0.095,0.1,-0.1,,6004.0,1.12,1.015,-0.14,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
637,Kepler323 c,Kepler323,SE,1,2,3.5538229,0.0458,1.57,0.14006626,6.8,0.02139519,0.095,0.1,-0.1,,6004.0,1.12,1.015,-0.14,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
638,Kepler538 b,Kepler538,SE,2,1,81.73778,0.3554,2.215,0.1976094,12.9,0.04058794,0.21,0.1,-0.1,,5534.0,0.8717,0.892,-0.09,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
639,Kepler78 b,Kepler78,SE,2,1,0.35500745,0.00901,1.201,0.10714623,1.68,0.00528587,0.0,0.1,-0.1,,5058.0,0.7475,0.779,-0.18,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
